"BBS_species","BL_name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size"
"Accipiter cooperii","Accipiter cooperii",3123,"Accipitridae","Accipitriformes","AVIBASE-EB98812F",5,2,3,0,4,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.67,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Carnivore","Vertivore","Aerial","23.28","53.31","41.25","-100.49","8393137.0600000005"
"Accipiter striatus","Accipiter striatus",3122,"Accipitridae","Accipitriformes","AVIBASE-3B024163",20,8,10,2,16,18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.59,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Vertivore","Aerial","-34.979999999999997","69.38","34.35","-96.11","16375303.869999999"
"Actitis macularius","Actitis macularius",2528,"Scolopacidae","Charadriiformes","AVIBASE-0D88C072",5,3,2,0,4,25.7,16.2,2.7,3.3,24.2,100.4,47.6,52.6,47.5,53,40.4,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Terrestrial","32.24","69.69","52.38","-107.73","13627000.390000001"
"Aechmophorus occidentalis","Aechmophorus occidentalis",570,"Podicipedidae","Podicipediformes","AVIBASE-C6E1197B",4,0,3,1,4,73.2,54.1,6.6,10.2,71.7,184.5,75.4,109,40.8,29.8,1136.95,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Aquatic","18.07","58.29","44.29","-110.04","4866227.5999999996"
"Aeronautes saxatalis","Aeronautes saxatalis",1172,"Apodidae","Caprimulgiformes","AVIBASE-B401C2DD",6,4,2,0,6,7,3,2.9,2.5,10.6,140.3,98.2,42.1,69.8,63.7,32.1,"Dunning","NA","NO","NA","NA","Rock",1,"1","Carnivore","Invertivore","Aerial","13.45","50.85","33.58","-109.21","4096268.29"
"Aimophila ruficeps","Aimophila ruficeps",10409,"Passerellidae","Passeriformes","AVIBASE-7784B060",4,2,2,0,4,14.9,8.2,4.1,5,19.8,59.9,7.7,52.2,12.8,62,18.69,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Granivore","Generalist","16.02","40.58","29.22","-105.07","1184786.97"
"Aix sponsa","Aix sponsa",467,"Anatidae","Anseriformes","AVIBASE-27B2749A",6,3,3,0,4,38.6,24.7,15.1,11.4,32.9,220.5,108.5,111,49.4,106.8,657.59,"Dunning","NA","NO","NA","NA","Wetland",3,"1","Herbivore","Omnivore","Generalist","19.829999999999998","55.22","42.14","-92.18","6191757.6600000001"
"Ammodramus savannarum","Ammodramus savannarum",10321,"Passerellidae","Passeriformes","AVIBASE-5BFFE091",6,3,3,0,5,13.8,8.2,4.5,6.1,20.1,58.2,12.3,46,21.1,41.4,17.61,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Omnivore","Invertivore","Generalist","3.31","51.58","40.299999999999997","-94.6","5240933.1399999997"
"Amphispiza bilineata","Amphispiza bilineata",10303,"Passerellidae","Passeriformes","AVIBASE-A0F29F1E",6,2,4,0,6,11.7,8.2,4.6,5.9,18.1,63.5,11.3,52.2,17.7,64.8,13.5,"Dunning","NA","NO","NA","NA","Shrubland",2,"2","Omnivore","Omnivore","Generalist","20.190000000000001","47.06","32.43","-108.96","2450691.64"
"Anas acuta","Anas acuta",541,"Anatidae","Anseriformes","AVIBASE-56CCA717",10,5,5,0,4,48.1,31.9,14.5,14.8,36.9,256.7,148.4,107.8,57.8,124.7,944.62,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Herbivore","Herbivore aquatic","Aquatic","38.65","75.28","59.6","26.95","28403500.77"
"Anas platyrhynchos","Anas platyrhynchos",525,"Anatidae","Anseriformes","AVIBASE-85625D75",12,6,6,0,4,58.5,41,20.8,17.8,40.6,263.4,133.5,129.9,50.7,86.9,843.42,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Herbivore","Herbivore aquatic","Aquatic","20.46","72.37","51.63","11.04","39707247.469999999"
"Antigone canadensis","Grus canadensis",1904,"Gruidae","Gruiformes","AVIBASE-E196D6F9",5,2,2,1,4,122.9,67.4,10.2,15.9,216.2,477.8,210,270,43.8,175.4,4296.22,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Omnivore","Omnivore","Terrestrial","21.44","75.64","60.34","-103.96","8593771.0899999999"
"Antrostomus carolinensis","Antrostomus carolinensis",1048,"Caprimulgidae","Caprimulgiformes","AVIBASE-8D3E8871",6,1,4,1,4,15.2,7.5,6.2,4,17.5,207.7,106.2,100.1,51.5,141.1,109,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Carnivore","Invertivore","Aerial","24.95","42.41","33.909999999999997","-88.6","1808676.44"
"Antrostomus vociferus","Antrostomus vociferus",1040,"Caprimulgidae","Caprimulgiformes","AVIBASE-1A09655B",5,1,1,3,4,16.1,6.7,3.8,2.7,15.1,154.4,72.3,84.4,46.1,114.2,53.3,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Generalist","31.65","54.53","42.29","-86.2","3403564.97"
"Aphelocoma californica","Aphelocoma californica",7024,"Corvidae","Passeriformes","AVIBASE-E5BA8469",36,9,27,0,16,34,20.7,9.1,9.8,42.4,128.5,18,109.8,14.1,140.2,85.74,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Omnivore","Omnivore","Terrestrial","16.16","46.82","34.81","-110.7","2323260.89"
"Aphelocoma woodhouseii","Aphelocoma californica",7024,"Corvidae","Passeriformes","AVIBASE-E5BA8469",36,9,27,0,16,34,20.7,9.1,9.8,42.4,128.5,18,109.8,14.1,140.2,85.74,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Omnivore","Omnivore","Terrestrial","16.16","46.82","34.81","-110.7","2323260.89"
"Aquila chrysaetos","Aquila chrysaetos",3050,"Accipitridae","Accipitriformes","AVIBASE-5F8E7CA8",8,2,6,0,8,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4247.97,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Carnivore","Vertivore","Aerial","6.36","71.12","50.67","38.049999999999997","39450257.979999997"
"Archilochus alexandri","Archilochus alexandri",1559,"Trochilidae","Caprimulgiformes","AVIBASE-4BB4F257",4,2,2,0,4,21.6,17.2,1.4,1.6,3.9,42.4,27.4,15,64.4,24.5,3.39,"Dunning","NA","NO","NA","NA","Forest",2,"3","Herbivore","Nectarivore","Aerial","25.5","50.68","36.81","-111.12","2369566.67"
"Archilochus colubris","Archilochus colubris",1560,"Trochilidae","Caprimulgiformes","AVIBASE-DEC3D8D0",11,4,6,1,4,20.7,15.1,1.8,1.9,3.4,40.7,27.6,14.7,65,24.3,3.09,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Omnivore","Nectarivore","Generalist","25.86","54.77","41.87","-87.72","4936988.47"
"Ardea alba","Ardea alba",2244,"Ardeidae","Pelecaniformes","AVIBASE-49D9148A",16,4,7,5,8,126.3,90.4,12,18.1,141.6,378.8,120.7,257.2,32.1,140.5,871.33,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Carnivore","Aquatic predator","Terrestrial","-52.61","57.34","10.02","28.87","74898555.489999995"
"Ardea herodias","Ardea herodias",2234,"Ardeidae","Pelecaniformes","AVIBASE-6A9DD06F",4,2,1,1,4,145.2,106,15.8,23.7,167.5,463.5,169.5,294,36.6,159.2,2523.41,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Carnivore","Aquatic predator","Terrestrial","-1.41","61.14","44.07","-99.18","12219055.66"
"Artemisiospiza nevadensis","Artemisiospiza nevadensis",10430,"Passerellidae","Passeriformes","AVIBASE-55572EBE",2,1,1,0,2,12.9,8.2,5,5.5,21.5,75,14.2,60.8,19,74,18.5,"Updated_literature","Dunning (2021)","NO","NA","NA","Shrubland",2,"3","Herbivore","Granivore","Terrestrial","35.380000000000003","48.24","40.4","-113.36","917710.58"
"Athene cunicularia","Athene cunicularia",2803,"Strigidae","Strigiformes","AVIBASE-B9EE9676",5,2,3,0,4,24.1,15.5,7.9,13.7,43.4,180,51,128.9,28.3,80.2,150.61,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Carnivore","Vertivore","Generalist","-53.49","53.84","3.15","-79.83","14303129.42"
"Auriparus flaviceps","Auriparus flaviceps",7257,"Remizidae","Passeriformes","AVIBASE-A5EFA84D",8,2,6,0,7,9.8,7,3.2,3.9,15,52.1,7.6,45,14.4,48.9,6.8,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Insessorial","19.05","37.57","28.91","-105.76","1879707.38"
"Aythya affinis","Aythya affinis",491,"Anatidae","Anseriformes","AVIBASE-50566E50",5,2,2,1,4,47.3,29.4,19.6,13.4,34.9,198.2,101,97,51,53.4,819.45,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Omnivore","Aquatic predator","Aquatic","36.75","69.180000000000007","56.73","-119.83","5052907.8600000003"
"Aythya americana","Aythya americana",481,"Anatidae","Anseriformes","AVIBASE-3072CC16",5,2,3,0,4,49.7,33,18.8,14.6,35.7,218.6,104.6,122.4,46,56,1075.69,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Herbivore","Herbivore aquatic","Aquatic","18.510000000000002","67.180000000000007","48.31","-111.33","5111761.2699999996"
"Aythya collaris","Aythya collaris",488,"Anatidae","Anseriformes","AVIBASE-0783A7EA",5,2,3,0,4,51.4,29.9,18.9,13.6,33.2,194.8,92.6,99.4,48.2,57.6,704.55,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Omnivore","Herbivore aquatic","Aquatic","10.039999999999999","68.13","52.28","-100.06","4899833.68"
"Aythya valisineria","Aythya valisineria",482,"Anatidae","Anseriformes","AVIBASE-1929E1E1",4,2,2,0,4,58.5,37,18.8,13.4,37.9,223.5,93.4,130.1,42,52.8,1202,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Herbivore","Herbivore aquatic","Aquatic","37.03","69.38","57","-122.37","3654390.23"
"Baeolophus bicolor","Baeolophus bicolor",7196,"Paridae","Passeriformes","AVIBASE-B488AB70",17,5,10,2,11,13.3,8.8,4.9,5.5,20.5,77.9,12.5,65.2,16.1,68.6,21.6,"Dunning","NA","NO","NA","NA","Forest",1,"1","Carnivore","Invertivore","Insessorial","25.84","45.77","36.97","-86.71","2969712.5"
"Baeolophus ridgwayi","Baeolophus ridgwayi",7198,"Paridae","Passeriformes","AVIBASE-E366AB90",4,2,2,0,4,11.7,8.3,4.2,5.1,20.8,72.5,7.7,64.8,10.5,63.4,15.86,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Omnivore","Invertivore","Insessorial","31","43.74","37.9","-111.91","1056208.76"
"Bartramia longicauda","Bartramia longicauda",2446,"Scolopacidae","Charadriiformes","AVIBASE-BF1DA86E",5,2,3,0,4,32.9,21.5,3.4,3.8,48.7,159,83.7,74.8,52.9,79.4,158.92,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Invertivore","Terrestrial","35.81","69.33","49.36","-105.81","3282893.45"
"Bombycilla cedrorum","Bombycilla cedrorum",9375,"Bombycillidae","Passeriformes","AVIBASE-9437D635",10,4,6,0,4,15.1,6.6,4.5,4.9,16.7,95.4,33.5,62,35.1,59.8,31.58,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Herbivore","Frugivore","Insessorial","33.450000000000003","60.2","47.88","-97.87","7437954.1399999997"
"Bonasa umbellus","Bonasa umbellus",352,"Phasianidae","Galliformes","AVIBASE-6D2B5CDA",5,1,3,1,4,25.4,13.3,10,9.7,42.2,183.2,69.8,112.2,38.3,152,530.91,"Dunning","NA","NO","NA","NA","Shrubland",1,"1","Herbivore","Herbivore terrestrial","Generalist","33.94","67.56","52.89","-105.75","8071254.3300000001"
"Botaurus lentiginosus","Botaurus lentiginosus",2202,"Ardeidae","Pelecaniformes","AVIBASE-13E9F9B4",5,2,3,0,4,82.4,58.6,10.7,15.2,89.7,270.8,84.7,180.1,32,88.6,706,"Dunning","NA","NO","NA","NA","Wetland",1,"3","Carnivore","Aquatic predator","Terrestrial","19.3","63.22","48.37","-97.84","8778053.1400000006"
"Branta canadensis","Branta canadensis",408,"Anatidae","Anseriformes","AVIBASE-B59E1863",10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.68,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Herbivore","Herbivore terrestrial","Terrestrial","26.42","73.069999999999993","53.3","-104.21","12236810.449999999"
"Bubo virginianus","Bubo virginianus",2926,"Strigidae","Strigiformes","AVIBASE-FC366114",4,2,2,0,4,44.7,24.7,17.8,25.4,75.4,371.2,112.7,258.5,30.4,197,1354.5,"Updated_literature","Earhart & Johnson (1970)","NO","NA","NA","Forest",2,"1","Carnivore","Vertivore","Insessorial","-35.799999999999997","68.52","34.04","-94.19","24426738.59"
"Bubulcus ibis","Bubulcus ibis",2232,"Ardeidae","Pelecaniformes","AVIBASE-6CCDAC53",14,7,7,0,10,63.3,43.5,8.6,11.5,76.8,244.4,73,171.2,29.9,90.9,365.95,"Dunning","NA","NO","NA","NA","Human Modified",3,"2","Carnivore","Omnivore","Terrestrial","-55.98","58.29","5.0999999999999996","-2.69","62451101.719999999"
"Buteo jamaicensis","Buteo jamaicensis",3196,"Accipitridae","Accipitriformes","AVIBASE-536A5157",5,2,3,0,4,37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.16,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Carnivore","Vertivore","Insessorial","8.36","68.66","45.5","-105.33","15462822.34"
"Buteo lineatus","Buteo lineatus",3188,"Accipitridae","Accipitriformes","AVIBASE-EA4D6C0B",5,2,2,1,4,33.1,20.3,11.8,16.3,74.1,319,106.9,212.8,33.4,172.8,603.72,"Dunning","NA","NO","NA","NA","Woodland",1,"3","Carnivore","Vertivore","Aerial","24.95","47.85","37.72","-86.88","3542030.5"
"Buteo platypterus","Buteo platypterus",3189,"Accipitridae","Accipitriformes","AVIBASE-79F3C681",13,6,7,0,4,28.3,17.8,11.1,14.4,53.4,277.7,103.7,177.4,36.9,178.8,453.65,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Vertivore","Insessorial","11.13","55.3","42.9","-87.09","4864047.78"
"Buteo regalis","Buteo regalis",3199,"Accipitridae","Accipitriformes","AVIBASE-BA9191BC",5,2,3,0,4,41.3,23.8,18.3,20.2,81.6,431,179.2,254.5,41.3,240.6,1437.18,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Vertivore","Generalist","33.21","53.3","43.14","-108.76","2780053.23"
"Buteo swainsoni","Buteo swainsoni",3193,"Accipitridae","Accipitriformes","AVIBASE-DE473F42",6,2,3,1,4,35.3,21,13.6,16.6,60.7,383.7,175.2,201.8,46.6,193.6,946.61,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Vertivore","Insessorial","24.73","57.08","40.950000000000003","-107.07","4303055.16"
"Butorides virescens","Butorides striata",2225,"Ardeidae","Pelecaniformes","AVIBASE-9973F7CE",31,11,11,9,13,69.2,51.8,9.1,11.2,49.7,175.9,53.2,125.5,29.8,63.6,201.5,"Dunning","NA","NO","NA","NA","Wetland",3,"1","Carnivore","Aquatic predator","Terrestrial","-41.16","54.29","7.56","7.37","53556698.289999999"
"Calamospiza melanocorys","Calamospiza melanocorys",10306,"Passerellidae","Passeriformes","AVIBASE-938C5572",5,2,3,0,4,17.6,10.6,6.5,9,24,86.6,20.9,64.9,24.3,64.5,37.6,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Omnivore","Omnivore","Generalist","32.369999999999997","52.04","43.6","-103.81","1660961.79"
"Calcarius ornatus","Calcarius ornatus",10247,"Calcariidae","Passeriformes","AVIBASE-B64C1B1D",6,2,4,0,5,11.6,7.5,4.4,5.2,20,78.6,21,57.9,26.7,56.5,20.3,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Omnivore","Granivore","Terrestrial","39.909999999999997","51.9","47.96","-105.5","799140.65"
