species,niche_breadth_zcor
Accipiter cooperii,6.129558041
Accipiter striatus,7.401024109
Actitis macularius,6.785655468
Aix sponsa,6.251526066
Ammodramus savannarum,6.09530614
Amphispiza bilineata,5.432649588
Anas platyrhynchos,7.116470694
Antrostomus carolinensis,5.194382468
Antrostomus vociferus,5.596643903
Aphelocoma californica,5.640790176
Aquila chrysaetos,7.283250106
Archilochus alexandri,5.596835348
Archilochus colubris,5.984649894
Ardea herodias,6.860254443
Athene cunicularia,6.994290362
Aythya americana,5.739097059
Baeolophus bicolor,5.443026352
Bartramia longicauda,5.724562844
Bombycilla cedrorum,6.360508287
Bonasa umbellus,6.367085968
Botaurus lentiginosus,6.018181913
Branta canadensis,6.998846501
Bubo virginianus,7.603546043
Buteo jamaicensis,7.067753006
Buteo lineatus,5.766850459
Buteo platypterus,6.040916829
Buteo regalis,4.729043046
Buteo swainsoni,5.390837226
Calamospiza melanocorys,4.708624155
Callipepla californica,6.592586601
Calypte anna,5.732071867
Cardellina canadensis,5.373890244
Cardinalis cardinalis,6.253079396
Cathartes aura,7.47151022
Catharus fuscescens,5.623077443
Catharus guttatus,6.695060326
Catharus ustulatus,6.01895597
Catherpes mexicanus,5.858448689
Centronyx henslowii,4.860474138
Certhia americana,6.835063604
Chaetura pelagica,6.116360428
Chamaea fasciata,5.372277203
Charadrius vociferus,6.922859862
Chondestes grammacus,5.711271097
Chordeiles minor,6.829190619
Circus hudsonius,6.718556708
Cistothorus palustris,5.883712956
Coccothraustes vespertinus,6.253976451
Coccyzus americanus,6.185731481
Coccyzus erythropthalmus,5.757978932
Colaptes auratus auratus,6.426533575
Colaptes auratus cafer,6.764464917
Colinus virginianus,6.005750773
Contopus cooperi,6.722279827
Contopus sordidulus,6.864275205
Contopus virens,5.784525774
Corvus brachyrhynchos,6.431157364
Corvus corax,7.375643552
Corvus ossifragus,5.074242751
Cyanocitta cristata,6.182360232
Cyanocitta stelleri,6.757700431
Dolichonyx oryzivorus,5.494871492
Dryobates pubescens,6.865632062
Dryobates villosus,6.968879193
Dryocopus pileatus,6.371207844
Dumetella carolinensis,6.008240565
Empidonax difficilis,6.472437024
Empidonax hammondii,6.51776243
Empidonax minimus,5.767427391
Empidonax oberholseri,5.964576078
Empidonax traillii,6.249452324
Empidonax virescens,5.50937003
Eremophila alpestris,7.158612233
Euphagus cyanocephalus,5.92997645
Falco mexicanus,5.450579123
Falco sparverius,7.430308119
Fulica americana,6.733174975
Gallinago delicata,6.70391222
Gallinula galeata,6.940930826
Geococcyx californianus,5.601943632
Geothlypis formosa,5.021352785
Geothlypis philadelphia,5.309057449
Geothlypis tolmiei,6.513847879
Geothlypis trichas,6.788910621
Haemorhous cassinii,5.393663084
Haemorhous mexicanus,6.36420022
Haemorhous purpureus,6.338937667
Haliaeetus leucocephalus,6.855568599
Helmitheros vermivorum,4.961558062
Hylocichla mustelina,5.60132087
Icteria virens,6.025421299
Icterus bullockii,5.613002409
Icterus galbula,5.731084432
Icterus spurius,5.930758563
Ictinia mississippiensis,5.357027504
Junco hyemalis hyemalis,6.752416427
Junco hyemalis oreganus,6.752416427
Lanius ludovicianus,6.200095396
Larus californicus,4.899166866
Larus delawarensis,5.645979021
Leiothlypis celata,6.656864248
Leiothlypis ruficapilla,5.453703413
Limnothlypis swainsonii,4.637563364
Loxia curvirostra,7.051807916
Mareca americana,6.551506636
Mareca strepera,6.190645931
Megaceryle alcyon,6.873862357
Megascops asio,5.974956239
Melanerpes carolinus,5.522407122
Melanerpes erythrocephalus,5.884078746
Melanerpes formicivorus,6.514284037
Meleagris gallopavo,6.24603961
Melospiza georgiana,5.768376977
Melospiza lincolnii,6.579498851
Melospiza melodia,6.778937201
Melozone crissalis,5.433437031
Mimus polyglottos,6.404293261
Mniotilta varia,5.948022908
Myadestes townsendi,6.49312065
Myiarchus cinerascens,5.623415705
Myiarchus crinitus,6.036621726
Nucifraga columbiana,5.730137246
Numenius americanus,5.023128135
Nycticorax nycticorax,7.678222513
Oreoscoptes montanus,4.766466478
Pandion haliaetus,7.615399683
Parkesia motacilla,5.20659286
Passerculus sandwichensis,6.85422294
Passerina amoena,5.270598576
Passerina caerulea,6.040036873
Passerina ciris,5.306100626
Passerina cyanea,6.090788402
Patagioenas fasciata,6.523011415
Pelecanus erythrorhynchos,4.864234058
Perisoreus canadensis,6.329892836
Petrochelidon pyrrhonota,6.823703688
Peucaea cassinii,5.132020009
Phalacrocorax auritus,6.58664783
Phalaropus tricolor,5.321483126
Pheucticus ludovicianus,5.721225075
Pheucticus melanocephalus,5.891923143
Pica hudsonia,6.514569597
Pipilo chlorurus,4.966410704
Pipilo erythrophthalmus,5.632857037
Pipilo maculatus,6.19156652
Piranga ludoviciana,6.356615297
Piranga olivacea,5.438514798
Piranga rubra,5.726198609
Podilymbus podiceps,7.240077538
Poecile atricapillus,6.599312367
Poecile carolinensis,5.240400266
Poecile gambeli,6.149324895
Poecile rufescens,6.513177557
Polioptila caerulea,6.233467642
Pooecetes gramineus,5.670827802
Porzana carolina,6.387148414
Progne subis,6.149741164
Protonotaria citrea,5.319411395
Psaltriparus minimus,6.109341076
Quiscalus major,4.989330379
Quiscalus mexicanus,6.718756027
Quiscalus quiscula,6.162301941
Recurvirostra americana,5.157377431
Regulus calendula,6.7039502
Regulus satrapa,6.730873291
Riparia riparia,6.887454261
Salpinctes obsoletus,5.979726434
Sayornis nigricans,6.956847608
Sayornis phoebe,5.985458178
Sayornis saya,6.628975259
Seiurus aurocapilla,5.819263774
Selasphorus rufus,6.52852064
Setophaga americana,5.883936919
Setophaga caerulescens,5.081290457
Setophaga cerulea,5.026215952
Setophaga citrina,5.08096036
Setophaga coronata audoboni,6.555517061
Setophaga discolor,5.046993406
Setophaga dominica,5.119310287
Setophaga fusca,5.372738287
Setophaga magnolia,5.354836472
Setophaga nigrescens,5.993239817
Setophaga pensylvanica,5.399196769
Setophaga petechia,7.20316462
Setophaga pinus,5.715567297
Setophaga ruticilla,6.299950222
Setophaga virens,5.730965922
Sialia currucoides,5.676765807
Sialia mexicana,5.8807783
Sialia sialis,6.244703929
Sitta canadensis,6.67536331
Sitta carolinensis,6.266338212
Sitta pusilla,4.519288738
Spatula clypeata,6.818374093
Spatula cyanoptera,6.918087363
Spatula discors,6.563928242
Sphyrapicus nuchalis,5.265136475
Sphyrapicus varius,5.493171742
Spinus pinus,6.745284378
Spinus psaltria,6.712539263
Spinus tristis,6.142772801
Spiza americana,5.68544321
Spizella breweri,5.901861371
Spizella pallida,5.110494551
Spizella passerina,6.948478015
Spizella pusilla,5.68116519
Stelgidopteryx serripennis,6.569664053
Strix varia,6.261503086
Sturnella magna,6.983682516
Sturnella neglecta,6.037533128
Tachycineta bicolor,6.71388144
Tachycineta thalassina,6.766506598
Thryomanes bewickii,5.92821583
Thryothorus ludovicianus,5.541089891
