"species","niche_breadth_zcor"
"Accipiter cooperii",6.129558041411
"Accipiter striatus",7.40102410926146
"Actitis macularius",6.78565546800761
"Aix sponsa",6.25152606580864
"Ammodramus savannarum",6.09530614008607
"Amphispiza bilineata",5.43264958834999
"Anas platyrhynchos",7.1164706935186
"Antrostomus carolinensis",5.19438246824082
"Antrostomus vociferus",5.59664390293356
"Aphelocoma californica",5.64079017591745
"Aquila chrysaetos",7.28325010600661
"Archilochus alexandri",5.59683534819887
"Archilochus colubris",5.98464989389596
"Ardea herodias",6.86025444318096
"Athene cunicularia",6.99429036238025
"Aythya americana",5.73909705852754
"Baeolophus bicolor",5.44302635162433
"Bartramia longicauda",5.72456284429376
"Bombycilla cedrorum",6.3605082874071
"Bonasa umbellus",6.36708596797012
"Botaurus lentiginosus",6.01818191297279
"Branta canadensis",6.9988465014728
"Bubo virginianus",7.60354604267807
"Buteo jamaicensis",7.06775300648738
"Buteo lineatus",5.76685045911209
"Buteo platypterus",6.04091682891388
"Buteo regalis",4.72904304587505
"Buteo swainsoni",5.39083722643445
"Calamospiza melanocorys",4.70862415526982
"Callipepla californica",6.59258660085971
"Calypte anna",5.73207186724284
"Cardellina canadensis",5.37389024373091
"Cardinalis cardinalis",6.25307939618957
"Cathartes aura",7.47151022037282
"Catharus fuscescens",5.62307744257229
"Catharus guttatus",6.69506032602404
"Catharus ustulatus",6.01895596971354
"Catherpes mexicanus",5.85844868896882
"Centronyx henslowii",4.86047413782763
"Certhia americana",6.83506360376443
"Chaetura pelagica",6.11636042768096
"Chamaea fasciata",5.37227720312087
"Charadrius vociferus",6.92285986168543
"Chondestes grammacus",5.71127109713483
"Chordeiles minor",6.82919061914796
"Circus hudsonius",6.71855670778787
"Cistothorus palustris",5.88371295629556
"Coccothraustes vespertinus",6.25397645055079
"Coccyzus americanus",6.18573148106934
"Coccyzus erythropthalmus",5.75797893161881
"Colaptes auratus auratus",6.42653357487819
"Colaptes auratus cafer",6.76446491728606
"Colinus virginianus",6.00575077264697
"Contopus cooperi",6.72227982738503
"Contopus sordidulus",6.86427520494303
"Contopus virens",5.7845257744853
"Corvus brachyrhynchos",6.43115736407269
"Corvus corax",7.37564355248693
"Corvus ossifragus",5.07424275146637
"Cyanocitta cristata",6.1823602316687
"Cyanocitta stelleri",6.75770043101553
"Dolichonyx oryzivorus",5.49487149199002
"Dryobates pubescens",6.86563206234674
"Dryobates villosus",6.96887919338609
"Dryocopus pileatus",6.37120784380759
"Dumetella carolinensis",6.00824056520014
"Empidonax difficilis",6.47243702402998
"Empidonax hammondii",6.51776242970991
"Empidonax minimus",5.76742739104811
"Empidonax oberholseri",5.96457607811879
"Empidonax traillii",6.24945232442578
"Empidonax virescens",5.5093700302773
"Eremophila alpestris",7.15861223317593
"Euphagus cyanocephalus",5.92997644989503
"Falco mexicanus",5.45057912270992
"Falco sparverius",7.43030811857082
"Fulica americana",6.73317497521798
"Gallinago delicata",6.7039122204757
"Gallinula galeata",6.94093082572805
"Geococcyx californianus",5.60194363156117
"Geothlypis formosa",5.02135278450404
"Geothlypis philadelphia",5.30905744908453
"Geothlypis tolmiei",6.51384787888604
"Geothlypis trichas",6.78891062149148
"Haemorhous cassinii",5.39366308411461
"Haemorhous mexicanus",6.36420022001773
"Haemorhous purpureus",6.33893766747219
"Haliaeetus leucocephalus",6.8555685990473
"Helmitheros vermivorum",4.9615580615589
"Hylocichla mustelina",5.60132086983387
"Icteria virens",6.02542129861587
"Icterus bullockii",5.61300240869869
"Icterus galbula",5.7310844322948
"Icterus spurius",5.93075856341889
"Ictinia mississippiensis",5.35702750363732
"Junco hyemalis hyemalis",6.7524164274457
"Junco hyemalis oreganus",6.7524164274457
"Lanius ludovicianus",6.20009539637079
"Larus californicus",4.89916686588587
"Larus delawarensis",5.64597902142145
"Leiothlypis celata",6.65686424814159
"Leiothlypis ruficapilla",5.45370341312001
"Limnothlypis swainsonii",4.63756336388422
"Loxia curvirostra",7.0518079156336
"Mareca americana",6.55150663550174
"Mareca strepera",6.19064593054246
"Megaceryle alcyon",6.87386235741701
"Megascops asio",5.97495623890892
"Melanerpes carolinus",5.52240712237865
"Melanerpes erythrocephalus",5.88407874618207
"Melanerpes formicivorus",6.5142840373914
"Meleagris gallopavo",6.24603960993899
"Melospiza georgiana",5.76837697741068
"Melospiza lincolnii",6.57949885102427
"Melospiza melodia",6.77893720058976
"Melozone crissalis",5.43343703108193
"Mimus polyglottos",6.40429326136681
"Mniotilta varia",5.94802290804511
"Myadestes townsendi",6.49312064993479
"Myiarchus cinerascens",5.62341570480376
"Myiarchus crinitus",6.03662172622108
"Nucifraga columbiana",5.73013724563544
"Numenius americanus",5.0231281350732
"Nycticorax nycticorax",7.67822251308218
"Oreoscoptes montanus",4.76646647805436
"Pandion haliaetus",7.61539968348456
"Parkesia motacilla",5.20659285982582
"Passer domesticus",7.50222508212371
"Passerculus sandwichensis",6.85422294027512
"Passerina amoena",5.27059857603095
"Passerina caerulea",6.04003687317085
"Passerina ciris",5.30610062626349
"Passerina cyanea",6.09078840246228
"Patagioenas fasciata",6.52301141543588
"Pelecanus erythrorhynchos",4.86423405791317
"Perdix perdix",5.67439853143426
"Perisoreus canadensis",6.32989283645883
"Petrochelidon pyrrhonota",6.82370368771439
"Peucaea cassinii",5.13202000856361
"Phalacrocorax auritus",6.58664783028713
"Phalaropus tricolor",5.32148312645463
"Phasianus colchicus",6.58561389520267
"Pheucticus ludovicianus",5.72122507547965
"Pheucticus melanocephalus",5.89192314286427
"Pica hudsonia",6.51456959687958
"Pipilo chlorurus",4.96641070400146
"Pipilo erythrophthalmus",5.6328570370594
"Pipilo maculatus",6.19156652026887
"Piranga ludoviciana",6.35661529664156
"Piranga olivacea",5.43851479804949
"Piranga rubra",5.72619860918325
"Podilymbus podiceps",7.24007753791989
"Poecile atricapillus",6.59931236704949
"Poecile carolinensis",5.24040026639558
"Poecile gambeli",6.14932489493022
"Poecile rufescens",6.51317755714651
