"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","nS_NA","nE_NA","nU_NA","nS_A","nE_A","nU_A","n_centroid_hist_X","n_centroid_hist_Y","n_centroid_rec_X","n_centroid_rec_Y","n_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Accipiter cooperii",0.695358652179801,0.976023976023976,0.913086913086913,0.913086913086913,0.991008991008991,0.99000999000999,0.928071928071928,0.928071928071928,0.995004995004995,0.015984015984016,0.0849150849150849,0.0849150849150849,0.00599400599400599,0.013986013986014,0.0539460539460539,0.0539460539460539,0.00699300699300699,0.91140584696303,0.0885941530369704,0.020734660825217,0.917047303229296,0.0829526967707041,0.020734660825217,-0.337921529568357,0.449009211294851,-0.939423935994014,0.696599000271414,0.650465870389304,0.894150683577902,0.0189324694839573,0.0808815535043449,0,0.00603529343379607
"Accipiter striatus",0.247987411816469,0.63036963036963,0.603396603396603,0.603396603396603,0.728271728271728,0.659340659340659,0.623376623376623,0.623376623376623,0.733266733266733,0.364635364635365,0.392607392607393,0.392607392607393,0.278721278721279,0.373626373626374,0.422577422577423,0.422577422577423,0.272727272727273,0.845488432855747,0.154511567144253,0.471326250384819,0.845488432855747,0.154511567144253,0.462748490853603,1.78546976207362,0.463549473474851,-0.284732450901125,1.76777619547825,2.44678248828809,0.482096381420626,0.415241966100439,0.0881022903604684,0.0145593621184667,0
"Actitis macularius",0.653741027261498,0.999000999000999,0.852147852147852,0.852147852147852,0.983016983016983,0.998001998001998,0.907092907092907,0.907092907092907,1,0.002997002997003,0.143856143856144,0.143856143856144,0.01998001998002,0.002997002997003,0.0869130869130869,0.0869130869130869,0.000999000999000999,0.974662442172484,0.0253375578275162,0.0820445836122568,0.981708251128426,0.0182917488715743,0.0743251379701855,1.91239348673349,0.426388027894778,1.55696734196127,-0.807529788170832,1.28408758314679,0.896560446208786,0.0719874564995293,0.0167052263352041,0.00814489762054078,0.00660197333593982
"Aix sponsa",0.766015649565587,0.997002997002997,0.858141858141858,0.858141858141858,0.991008991008991,0.995004995004995,0.902097902097902,0.902097902097902,0.998001998001998,0.00699300699300699,0.127872127872128,0.127872127872128,0.013986013986014,0.004995004995005,0.112887112887113,0.112887112887113,0.004995004995005,0.926669932302634,0.0733300676973662,0.0121286780581443,0.931478594157678,0.0685214058423221,0.0107424857180292,0.922391879559643,0.40127024370621,0.168395687215224,0.855136053074535,0.880059333785767,0.916245556878375,0.00994963866018017,0.0674008335219563,0.00129964769397617,0.00510432324551255
"Ammodramus savannarum",0.741144281857474,0.978021978021978,0.667332667332667,0.667332667332667,0.927072927072927,0.975024975024975,0.653346653346653,0.653346653346653,0.939060939060939,0.022977022977023,0.335664335664336,0.335664335664336,0.0699300699300699,0.020979020979021,0.340659340659341,0.340659340659341,0.0649350649350649,0.931769498824256,0.068230501175744,0.0323317123666155,0.934057176924289,0.0659428230757109,0.0317352445750909,0.987641796729635,0.317177863342274,-0.428910571332112,0.149361148120869,1.42645822279135,0.903637227196772,0.0296170528273148,0.0637952271764331,0.000575255101826499,0.00237523769765324
"Anas acuta",0.68174512498608,0.993006993006993,0.988011988011988,0.988011988011988,0.993006993006993,0.987012987012987,0.984015984015984,0.984015984015984,0.99000999000999,0.015984015984016,0.017982017982018,0.017982017982018,0.00899100899100899,0.012987012987013,0.01998001998002,0.01998001998002,0.014985014985015,0.888416200862772,0.111583799137228,0.0278186846349984,0.897961731438814,0.102038268561186,0.0278186846349984,4.26987643043464,-1.67311164849866,3.58620014538525,-2.64710139760197,1.18998709829026,0.866391007651961,0.0247915258517589,0.0984507860665006,3.46944695195361e-18,0.0103666804297798
"Anas platyrhynchos",0.791904010460158,1,0.754245754245754,0.754245754245754,0.999000999000999,0.999000999000999,0.862137862137862,0.862137862137862,1,0.003996003996004,0.278721278721279,0.278721278721279,0.002997002997003,0.000999000999000999,0.153846153846154,0.153846153846154,0.000999000999000999,0.957139917930679,0.0428600820693206,0.0252616538822125,0.967977829260435,0.0320221707395647,0.0233072626690459,1.80350303289183,0.449009211294851,0.743293721580273,0.804722178411836,1.11829133000613,0.933972207781701,0.0222878032571881,0.0308972133446943,0.00191734137732504,0.0109254342390913
"Antrostomus carolinensis",0.71197684448238,0.99000999000999,0.978021978021978,0.978021978021978,0.967032967032967,0.979020979020979,0.964035964035964,0.964035964035964,0.954045954045954,0.015984015984016,0.038961038961039,0.038961038961039,0.046953046953047,0.013986013986014,0.034965034965035,0.034965034965035,0.043956043956044,0.910045708606629,0.0899542913933708,0.0733798503899268,0.913813793481511,0.0861862065184887,0.0733798503899268,-2.19042667941861,-0.28121767390074,-3.53161005606014,0.223429020940231,1.43298329941192,0.848869938894793,0.0672227440152453,0.0800610369232775,0,0.00384628016668399
"Antrostomus vociferus",0.440953602625078,0.891108891108891,0.803196803196803,0.803196803196803,0.868131868131868,0.861138861138861,0.827172827172827,0.827172827172827,0.841158841158841,0.121878121878122,0.188811188811189,0.188811188811189,0.144855144855145,0.155844155844156,0.197802197802198,0.197802197802198,0.178821178821179,0.792717109528254,0.207282890471746,0.167296154303203,0.812546433640621,0.187453566359379,0.167296154303203,-0.223676348685487,0.491171468963882,-2.0237025986215,1.25829201076977,1.95667279485336,0.683811549862899,0.137382627871075,0.157754570609843,0,0.0210512516561828
"Aphelocoma californica",0.624252058046647,0.994005994005994,0.978021978021978,0.978021978021978,0.985014985014985,0.995004995004995,0.994005994005994,0.994005994005994,0.982017982017982,0.00899100899100899,0.033966033966034,0.033966033966034,0.021978021978022,0.002997002997003,0.00599400599400599,0.00599400599400599,0.015984015984016,0.938403594163159,0.0615964058368416,0.356370068166681,0.988232617009708,0.0117673829902926,0.35617687747932,-3.30194431595188,-3.52829774471569,-2.36334904937527,-4.70676628426909,1.506568675221,0.617540340591052,0.341636674010837,0.00735336354478902,0.000287904675631834,0.0331817171776897
