species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,nS_NA,nE_NA,nU_NA,nS_A,nE_A,nU_A,n_centroid_hist_X,n_centroid_hist_Y,n_centroid_rec_X,n_centroid_rec_Y,n_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Accipiter cooperii,0.671501017,0.988011988,0.914085914,0.914085914,0.998001998,0.991008991,0.946053946,0.946053946,0.995004995,0.002997003,0.068931069,0.068931069,0.001998002,0.008991009,0.043956044,0.043956044,0.003996004,0.921038895,0.078961105,0.024865767,0.928424878,0.071575122,0.024865767,-0.224068191,0.402635209,-0.81400685,0.544544339,0.606766695,0.899903452,0.022947394,0.069376317,0,0.007772836
Accipiter striatus,0.23132708,0.668331668,0.572427572,0.572427572,0.692307692,0.684315684,0.626373626,0.626373626,0.764235764,0.343656344,0.437562438,0.437562438,0.314685315,0.347652348,0.417582418,0.417582418,0.265734266,0.839121168,0.160878832,0.467066934,0.854385829,0.145614171,0.43999186,1.75975462,0.059851466,-0.291392452,1.632993013,2.584952347,0.483528306,0.379902547,0.082408405,0.043865648,0.010295094
Actitis macularius,0.63504701,0.996003996,0.861138861,0.861138861,0.992007992,0.997002997,0.974025974,0.974025974,1,0.010989011,0.130869131,0.130869131,0.010989011,0.007992008,0.021978022,0.021978022,0.000999001,0.978081616,0.021918384,0.069525097,0.988707101,0.011292899,0.031548553,-0.972053362,0.270953609,-0.408328453,-0.895577975,1.295600907,0.911469366,0.029692289,0.010410699,0.038412714,0.010014933
Aix sponsa,0.732912364,0.991008991,0.843156843,0.843156843,0.992007992,0.99000999,0.881118881,0.881118881,1,0.00999001,0.13986014,0.13986014,0.005994006,0.006993007,0.091908092,0.091908092,0.000999001,0.901255773,0.098744227,0.016818375,0.917910528,0.082089472,0.014569557,0.991215891,0.291450874,0.302008591,0.873941822,0.90238706,0.887572123,0.013122725,0.079376284,0.002060147,0.017868722
Ammodramus savannarum,0.740862603,0.975024975,0.585414585,0.585414585,0.927072927,0.977022977,0.619380619,0.619380619,0.96003996,0.027972028,0.445554446,0.445554446,0.064935065,0.031968032,0.373626374,0.373626374,0.074925075,0.922175865,0.077824135,0.027131216,0.931606076,0.068393924,0.026047751,0.964090123,0.301356498,-0.503063838,0.186523406,1.471641052,0.899054433,0.024044655,0.066004143,0.001028038,0.009868732
Anas platyrhynchos,0.787247377,0.999000999,0.713286713,0.713286713,0.999000999,1,0.87012987,0.87012987,1,0.000999001,0.300699301,0.300699301,0.002997003,0.003996004,0.116883117,0.116883117,0.000999001,0.956387427,0.043612573,0.026476732,0.97107414,0.02892586,0.02405797,1.724694858,0.51633254,0.700216082,0.837641518,1.073683483,0.932141775,0.022978249,0.027766162,0.002373037,0.014740776
Antrostomus carolinensis,0.662619699,0.973026973,0.952047952,0.952047952,0.937062937,0.96003996,0.947052947,0.947052947,0.906093906,0.03996004,0.070929071,0.070929071,0.077922078,0.036963037,0.040959041,0.040959041,0.07992008,0.884160571,0.115839429,0.065139692,0.908396124,0.091603876,0.065139692,-1.349559135,0.717016343,-3.361249089,-0.052733697,2.153929339,0.832851105,0.058031841,0.083985816,0,0.025131238
Antrostomus vociferus,0.431949673,0.791208791,0.594405594,0.594405594,0.728271728,0.837162837,0.9000999,0.9000999,0.789210789,0.167832168,0.376623377,0.376623377,0.23976024,0.17982018,0.108891109,0.108891109,0.226773227,0.826980267,0.173019733,0.216360751,0.920703757,0.079296243,0.215014813,-0.056431082,0.303108998,-2.584205982,-0.91096993,2.804217108,0.673257369,0.184411514,0.057984753,0.001473088,0.082873276
Aphelocoma californica,0.726326311,0.961038961,0.869130869,0.869130869,0.895104895,0.97002997,0.884115884,0.884115884,0.922077922,0.030969031,0.123876124,0.123876124,0.087912088,0.037962038,0.147852148,0.147852148,0.0999001,0.833091756,0.166908244,0.197435123,0.833091756,0.166908244,0.184639833,0.35624564,-1.407357401,1.745034708,-0.817904703,1.508704596,0.691394071,0.156567479,0.138519401,0.013519049,0
Archilochus alexandri,0.594322044,0.987012987,0.968031968,0.968031968,0.989010989,0.994005994,0.984015984,0.984015984,0.996003996,0.010989011,0.024975025,0.024975025,0.003996004,0.012987013,0.026973027,0.026973027,0.007992008,0.720032587,0.279967413,0.182710906,0.722210084,0.277789916,0.182710906,0.62845745,-1.538412282,1.538968948,-1.885610574,0.974462848,0.62019993,0.138650194,0.238552868,0,0.002597009
