"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","nS_NA","nE_NA","nU_NA","nS_A","nE_A","nU_A","n_centroid_hist_X","n_centroid_hist_Y","n_centroid_rec_X","n_centroid_rec_Y","n_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Accipiter cooperii",0.629725022884582,0.98001998001998,0.933066933066933,0.933066933066933,0.967032967032967,0.98001998001998,0.934065934065934,0.934065934065934,0.967032967032967,0.02997002997003,0.0619380619380619,0.0619380619380619,0.034965034965035,0.01998001998002,0.048951048951049,0.048951048951049,0.021978021978022,0.857727836330574,0.142272163669426,0.0259634823254502,0.85954584299471,0.14045415700529,0.0241221857958198,0.136972368506974,0.390362632467522,0.850346773156586,0.714575668406459,0.783592453946521,0.838555759838688,0.020727797624418,0.137024270793662,0.00162437013768509,0.00206780160554751
"Accipiter striatus",0.64025415262804,0.935064935064935,0.844155844155844,0.844155844155844,0.941058941058941,0.943056943056943,0.935064935064935,0.935064935064935,0.947052947052947,0.0629370629370629,0.158841158841159,0.158841158841159,0.0559440559440559,0.0709290709290709,0.0719280719280719,0.0719280719280719,0.0549450549450549,0.954683322377815,0.0453166776221855,0.122537377929416,0.967575607611144,0.0324243923888558,0.119290953540532,-0.788580400314354,-1.09442581973917,0.127771508273797,-1.89590194515953,1.21740083784758,0.842376637694492,0.114098876075833,0.0282288540812287,0.00353875522121619,0.0117568769272309
"Actitis macularius",0.643353938860872,0.993006993006993,0.939060939060939,0.939060939060939,0.989010989010989,0.996003996003996,0.945054945054945,0.945054945054945,0.999000999000999,0.002997002997003,0.0659340659340659,0.0659340659340659,0.010989010989011,0.003996003996004,0.0619380619380619,0.0619380619380619,0.003996003996004,0.965548861464763,0.0344511385352371,0.0336489149249999,0.966172169398008,0.033827830601992,0.032177252595285,-2.09283101256747,-0.103106175108467,-1.48555152082755,-0.725699578728381,0.869718878327313,0.934142088047325,0.0310574699836192,0.0327063864117975,0.00146990866171723,0.000624146895540988
"Aix sponsa",0.761987241133091,0.987012987012987,0.794205794205794,0.794205794205794,0.963036963036963,0.984015984015984,0.941058941058941,0.941058941058941,0.978021978021978,0.013986013986014,0.204795204795205,0.204795204795205,0.034965034965035,0.015984015984016,0.0759240759240759,0.0759240759240759,0.020979020979021,0.95343730283763,0.0465626971623697,0.0117681780675019,0.968502268247742,0.0314977317522578,0.00939541523869574,-0.453058260791762,-0.344345516008714,-0.0467568062192911,-1.1322938186687,0.886534488698805,0.942733661438417,0.00894138220735593,0.0306596824347503,0.00228498932998276,0.0153802845894941
"Ammodramus savannarum",0.769639842289867,0.999000999000999,0.839160839160839,0.839160839160839,0.983016983016983,0.999000999000999,0.817182817182817,0.817182817182817,0.979020979020979,0.002997002997003,0.180819180819181,0.180819180819181,0.022977022977023,0.003996003996004,0.154845154845155,0.154845154845155,0.022977022977023,0.918033715509973,0.0819662844900272,0.00109922770399183,0.920100028197116,0.0798999718028836,0.00109922770399183,-0.678610876628324,-0.229143790709307,0.380471517113802,-0.51433462261704,1.09680870134166,0.91710721842004,0.00100921902352825,0.0796400811285311,0,0.00224348142790076
"Amphispiza bilineata",0.868598463602435,1,0.995004995004995,0.995004995004995,0.998001998001998,1,0.992007992007992,0.992007992007992,0.994005994005994,0.003996003996004,0.011988011988012,0.011988011988012,0.00599400599400599,0.002997002997003,0.015984015984016,0.015984015984016,0.00999000999000999,0.947002553975722,0.0529974460242778,0.0318974449142046,0.947002553975722,0.0529974460242778,0.0318974449142046,-0.0240401608794186,2.04367630495046,0.0717395834085434,1.84064743286682,0.224487154009806,0.918348044038952,0.0302581126275449,0.0513938433335029,0,0
"Anas platyrhynchos",0.819038091656158,0.998001998001998,0.648351648351648,0.648351648351648,0.994005994005994,0.991008991008991,0.667332667332667,0.667332667332667,1,0.00699300699300699,0.377622377622378,0.377622377622378,0.00999000999000999,0.00799200799200799,0.324675324675325,0.324675324675325,0.000999000999000999,0.981118775326704,0.0188812246732955,0.00335590893686404,0.985064337263459,0.0149356627365409,0.00246419407512342,-1.20874749162562,-0.473742612894101,-0.837409259886824,-1.26710052552437,0.875961677177693,0.977888192645803,0.00241565894290556,0.0148268571776515,0.000877094964312438,0.00399219626932789
"Antrostomus carolinensis",0.666273110003544,0.986013986013986,0.957042957042957,0.957042957042957,0.969030969030969,0.991008991008991,1,1,0.994005994005994,0.022977022977023,0.0569430569430569,0.0569430569430569,0.033966033966034,0.022977022977023,0.000999000999000999,0.000999000999000999,0.00899100899100899,0.861678850051476,0.138321149948524,0.0226208361581466,0.90501119484811,0.0949888051518899,0.0127673221745918,-2.65028959169053,0.267557713019138,-3.05029670131374,-0.213740672166503,0.625822517437191,0.844830377584461,0.0109257137205606,0.0886723043644078,0.00862736277192695,0.0469442415586438
"Antrostomus vociferus",0.63381544538814,0.97002997002997,0.926073926073926,0.926073926073926,0.94005994005994,0.971028971028971,0.931068931068931,0.931068931068931,0.972027972027972,0.026973026973027,0.0709290709290709,0.0709290709290709,0.0549450549450549,0.042957042957043,0.0769230769230769,0.0769230769230769,0.038961038961039,0.898617657521266,0.101382342478734,0.17636665541298,0.905315315115357,0.094684684884643,0.157433364280288,-0.679927618905739,0.689626604742166,-1.66792890795982,-0.443011013173359,1.50300183655573,0.753606297540606,0.140811147433206,0.0788178147639341,0.0205604423268446,0.00620429793540904
"Aphelocoma californica",0.660367845205565,0.948051948051948,0.93006993006993,0.93006993006993,0.938061938061938,0.954045954045954,0.944055944055944,0.944055944055944,0.947052947052947,0.0669330669330669,0.0859140859140859,0.0859140859140859,0.0629370629370629,0.0589410589410589,0.0659340659340659,0.0659340659340659,0.0649350649350649,0.764374102977905,0.235625897022095,0.139506458791547,0.781897116057602,0.218102883942398,0.139506458791547,-1.30813417056042,1.30375233414223,-1.31565552325185,2.23474829542946,0.931026342634537,0.680094595619059,0.110259501244879,0.189706023480496,0,0.0199398796555656
"Aquila chrysaetos",0.78050185848217,0.996003996003996,0.992007992007992,0.992007992007992,0.998001998001998,0.998001998001998,0.991008991008991,0.991008991008991,0.996003996003996,0.003996003996004,0.010989010989011,0.010989010989011,0.004995004995005,0.00599400599400599,0.011988011988012,0.011988011988012,0.003996003996004,0.932922011159511,0.067077988840489,0.0201679224577988,0.932922011159511,0.067077988840489,0.0201679224577988,-1.54289681417935,-0.0696375357757068,-1.43977334823609,-0.328177368396144,0.278347434476328,0.915345213056637,0.0188405867721232,0.0658142001712403,0,0
"Archilochus alexandri",0.821201463522436,0.996003996003996,1,1,1,0.998001998001998,1,1,1,0.003996003996004,0.001998001998002,0.001998001998002,0.001998001998002,0.003996003996004,0.001998001998002,0.001998001998002,0.003996003996004,0.948300910136619,0.0516990898633812,0.0495567050803825,0.948300910136619,0.0516990898633812,0.0495567050803825,0.605149658485671,2.39030211565771,0.851836324754222,1.95754595461121,0.498128704491516,0.903621352537434,0.047115379856324,0.0492632676062418,0,0
"Archilochus colubris",0.787120909234874,0.999000999000999,0.935064935064935,0.935064935064935,0.969030969030969,1,1,1,0.969030969030969,0.002997002997003,0.0639360639360639,0.0639360639360639,0.041958041958042,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.03996003996004,0.986954811998344,0.0130451880016561,0.0410259498121033,0.99469951506201,0.00530048493799016,0.0409303129794324,-0.094294065959375,0.19875215697998,-0.254797529451455,0.693535501492562,0.520165281232811,0.946970863914257,0.040413970295344,0.00504615185278354,9.84701912972522e-05,0.0074705437463184
"Ardea herodias",0.78390132547484,0.988011988011988,0.673326673326673,0.673326673326673,0.988011988011988,0.989010989010989,0.844155844155844,0.844155844155844,1,0.015984015984016,0.341658341658342,0.341658341658342,0.015984015984016,0.00799200799200799,0.153846153846154,0.153846153846154,0.000999000999000999,0.973717952095698,0.0262820479043018,0.00767171964582984,0.988859704849678,0.0111402951503215,0.00172853322838603,-0.43359086966664,-0.125180928259336,0.415985907016984,-0.88218968582422,1.13791166551278,0.966442723352885,0.00167342092432011,0.0108877499317948,0.00579817670531653,0.0151979290856832
"Athene cunicularia",0.876124603872172,0.997002997002997,0.917082917082917,0.917082917082917,1,0.997002997002997,0.928071928071928,0.928071928071928,1,0.003996003996004,0.0939060939060939,0.0939060939060939,0.000999000999000999,0.002997002997003,0.0639360639360639,0.0639360639360639,0.000999000999000999,0.966527637047696,0.0334723629523041,0.0202955250207021,0.966527637047696,0.0334723629523041,0.0111388764764363,-1.79327589598413,-1.219110204625,-1.27971905852687,-1.3773343996211,0.537378378036626,0.947555162553739,0.0106735917301375,0.0328153165027014,0.00895592921342181,6.93889390390723e-18
"Aythya americana",0.596476857340339,0.982017982017982,0.951048951048951,0.951048951048951,0.986013986013986,0.979020979020979,0.944055944055944,0.944055944055944,0.978021978021978,0.022977022977023,0.0629370629370629,0.0629370629370629,0.020979020979021,0.01998001998002,0.0559440559440559,0.0559440559440559,0.017982017982018,0.747862846191846,0.252137153808154,0.00265985983368652,0.747862846191846,0.252137153808154,0.00265985983368652,1.24915490038538,-1.40856176405299,1.77101823501654,0.445150271370479,1.92576988508652,0.746374191315412,0.00199054530388105,0.251635263380707,0,0
"Baeolophus bicolor",0.773473846890468,0.984015984015984,0.924075924075924,0.924075924075924,0.874125874125874,0.985014985014985,1,1,0.883116883116883,0.021978021978022,0.0859140859140859,0.0859140859140859,0.14985014985015,0.017982017982018,0.000999000999000999,0.000999000999000999,0.120879120879121,0.96164774637105,0.0383522536289496,0.0228101609679351,0.989115367491378,0.0108846325086226,0.0194567439857222,-0.0205134110334181,-0.116535649820615,-0.567843712732866,-0.916459315816365,0.969251427947614,0.940535206505841,0.0186628714340737,0.0103500364271984,0.00329167475488272,0.0271602108780038
"Bartramia longicauda",0.752906195615799,0.99000999000999,0.985014985014985,0.985014985014985,0.986013986013986,0.986013986013986,0.974025974025974,0.974025974025974,0.985014985014985,0.013986013986014,0.022977022977023,0.022977022977023,0.016983016983017,0.013986013986014,0.025974025974026,0.025974025974026,0.014985014985015,0.989470557186553,0.0105294428134466,0.0956833211279666,0.989470557186553,0.0105294428134466,0.0947929987702722,-2.27741798572521,-0.734460829864513,-1.5761807573277,0.0598477360293006,1.05955639224295,0.89569713586738,0.0937971285943082,0.00953155372010261,0.000974181818209408,1.73472347597681e-18
"Bombycilla cedrorum",0.805889354529102,0.997002997002997,0.793206793206793,0.793206793206793,0.991008991008991,0.992007992007992,0.888111888111888,0.888111888111888,1,0.001998001998002,0.253746253746254,0.253746253746254,0.00899100899100899,0.003996003996004,0.142857142857143,0.142857142857143,0.000999000999000999,0.973730738007083,0.0262692619929171,0.00759669747585618,0.981932795810256,0.0180672041897439,0.00519113209353951,-0.589826376356,-0.867870016833818,-0.0193727311722224,-1.59536493478478,0.924481593623119,0.966526479840267,0.00504354835448285,0.0177837336125016,0.00235506594987864,0.00829117224286971
"Bonasa umbellus",0.635761009525099,0.975024975024975,0.795204795204795,0.795204795204795,0.969030969030969,0.973026973026973,0.883116883116883,0.883116883116883,0.988011988011988,0.031968031968032,0.197802197802198,0.197802197802198,0.03996003996004,0.025974025974026,0.0989010989010989,0.0989010989010989,0.01998001998002,0.964435955729156,0.0355640442708441,0.089942182110663,0.978035086015988,0.0219649139840123,0.0764259127799993,-2.61784255225303,-0.801300636958344,-0.514039509538614,-0.726704162808102,2.10512514508998,0.880508972235156,0.0728622671913716,0.0197746523757944,0.0141595645802854,0.0126945436173926
"Botaurus lentiginosus",0.673707766748672,0.996003996003996,0.933066933066933,0.933066933066933,0.996003996003996,0.998001998001998,0.941058941058941,0.941058941058941,1,0.001998001998002,0.0779220779220779,0.0779220779220779,0.004995004995005,0.00599400599400599,0.047952047952048,0.047952047952048,0.000999000999000999,0.999439704999662,0.000560295000337774,0.119858549924581,0.999717525324028,0.000282474675971668,0.106150906421879,-2.88803064163592,-0.545673547391086,-2.1955777554876,-1.55127774859607,1.22095487591321,0.879707388979441,0.104471478907452,0.000248565273046811,0.0153279601395107,0.00024460670054968
"Branta canadensis",0.749896388203875,0.979020979020979,0.679320679320679,0.679320679320679,0.941058941058941,0.984015984015984,0.705294705294705,0.705294705294705,0.943056943056943,0.013986013986014,0.320679320679321,0.320679320679321,0.0569430569430569,0.00799200799200799,0.314685314685315,0.314685314685315,0.0589410589410589,0.934068684743218,0.0659313152567825,0.0117608839365785,0.939234554819101,0.0607654451808991,0.0113445939098147,-0.861044570171997,-0.525949192139044,-0.00794469771001333,-0.989819500816775,0.971058729257621,0.923799535255668,0.0106003876750108,0.0597668492174781,0.000393610577240024,0.00543961727460271
"Bubo virginianus",0.761903575958413,0.997002997002997,0.801198801198801,0.801198801198801,1,0.996003996003996,0.814185814185814,0.814185814185814,1,0.00699300699300699,0.21978021978022,0.21978021978022,0.00999000999000999,0.00699300699300699,0.196803196803197,0.196803196803197,0.000999000999000999,0.929438405279535,0.0705615947204646,0.000407345056395457,0.935110663309525,0.0648893366904749,0,-0.625449795022244,0.400561250504758,-0.1023394290203,0.474958860465925,0.528374355345357,0.929086507796096,0,0.0644713076050154,0.000378613022057281,0.00606357157683086
"Buteo jamaicensis",0.860284899246654,0.998001998001998,0.645354645354645,0.645354645354645,0.984015984015984,0.998001998001998,0.726273726273726,0.726273726273726,1,0.003996003996004,0.356643356643357,0.356643356643357,0.013986013986014,0.00699300699300699,0.320679320679321,0.320679320679321,0.000999000999000999,0.978029684682884,0.0219703153171161,0.00490784998460914,0.985231861953177,0.0147681380468228,0.00234800621130187,-0.55774458203065,0.192522109359252,0.103459475562412,-0.467626840718669,0.934337969937276,0.973334613472712,0.00229077447079515,0.0145898041797181,0.00250976613007052,0.00727504174670438
"Buteo lineatus",0.689026616843618,0.987012987012987,0.942057942057942,0.942057942057942,0.949050949050949,0.986013986013986,1,1,1,0.010989010989011,0.0629370629370629,0.0629370629370629,0.0539460539460539,0.00799200799200799,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.925962898689208,0.0740371013107923,0.0276029728184519,0.957364982433633,0.0426350175663666,0.0160488887312873,-2.67651960343396,0.065310574419339,-1.97569478626655,0.795894442545582,1.01237750504643,0.902247442624177,0.0147162482453963,0.0401804288555727,0.0108954216158929,0.0319604586589608
"Buteo platypterus",0.654819807824024,0.978021978021978,0.917082917082917,0.917082917082917,0.969030969030969,0.977022977022977,1,1,0.971028971028971,0.020979020979021,0.0669330669330669,0.0669330669330669,0.030969030969031,0.02997002997003,0.000999000999000999,0.000999000999000999,0.032967032967033,0.918891631280413,0.0811083687195869,0.0120969679643125,0.949749482267598,0.0502505177324023,0.0120969679643125,0.181270393085711,0.124174321453952,-0.281040259302508,0.99374769633234,0.984829423610511,0.908667381592764,0.0111267197780463,0.0480768952488015,1.73472347597681e-18,0.032129003380388
