"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","niche_stability_NA","niche_expansion_NA","niche_unfilling_NA","niche_stability_A","niche_expansion_A","niche_unfilling_A","niche_centroid_hist_X","niche_centroid_hist_Y","niche_centroid_rec_X","niche_centroid_rec_Y","niche_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Accipiter cooperii",0.774779968692834,0.988011988011988,0.979020979020979,0.979020979020979,0.998001998001998,0.994005994005994,0.991008991008991,0.991008991008991,1,0.00599400599400599,0.015984015984016,0.015984015984016,0.001998001998002,0.003996003996004,0.00799200799200799,0.00799200799200799,0.000999000999000999,0.979155493528565,0.0208445064714346,0.008480862716359,0.979542303368715,0.0204576966312848,0.00826397276384605,0.595983302379703,-0.887417639709786,0.734804998800353,-0.486917278250823,0.423877344199791,0.971023067083005,0.00809137508274608,0.0202797727673905,0.000214176486242975,0.000391608580615533
"Accipiter striatus",0.697468465618938,0.991008991008991,0.981018981018981,0.981018981018981,0.999000999000999,0.992007992007992,0.975024975024975,0.975024975024975,1,0.004995004995005,0.035964035964036,0.035964035964036,0.002997002997003,0.00699300699300699,0.024975024975025,0.024975024975025,0.000999000999000999,0.991593618321852,0.00840638167814758,0.116685899133964,0.991593618321852,0.00840638167814758,0.106547063280872,-0.182793649309976,-1.45034328235363,0.259906354107119,-1.42185574573405,0.443615636298077,0.876748633566988,0.104555022769427,0.00743276632017028,0.0112635773434144,8.67361737988404e-19
"Actitis macularius",0.567323890622519,0.988011988011988,0.953046953046953,0.953046953046953,0.982017982017982,0.989010989010989,0.962037962037962,0.962037962037962,1,0.010989010989011,0.0569430569430569,0.0569430569430569,0.016983016983017,0.015984015984016,0.045954045954046,0.045954045954046,0.000999000999000999,0.997467683631568,0.00253231636843162,0.0855639732794922,0.997767968067892,0.00223203193210809,0.0660139521001069,1.41586219911528,1.06276882901498,2.13361942439262,0.71975751626459,0.79550750789201,0.912318061963928,0.0644824630710161,0.0020408783521941,0.0208833317962707,0.000275264816590914
"Aechmophorus occidentalis",0.529738459298437,0.997002997002997,0.788211788211788,0.788211788211788,0.963036963036963,0.999000999000999,0.796203796203796,0.796203796203796,0.994005994005994,0.00599400599400599,0.215784215784216,0.215784215784216,0.032967032967033,0.000999000999000999,0.211788211788212,0.211788211788212,0.00799200799200799,0.983479254719472,0.0165207452805277,0.182111512578051,0.983479254719472,0.0165207452805277,0.166206581300344,0.685910363463101,-1.10536317327324,1.44337514010877,-1.14966333045787,0.75875911314821,0.806803724189402,0.160826513822855,0.0135529028749225,0.0188168591128201,0
"Aeronautes saxatalis",0.6738263730939,1,1,1,0.992007992007992,1,1,1,1,0.003996003996004,0.31968031968032,0.31968031968032,0.00899100899100899,0.000999000999000999,0.313686313686314,0.313686313686314,0.000999000999000999,1,0,0.133964470088743,1,0,0.114369555366306,0.455348817323306,-1.07683839609833,0.42136406055492,-1.25557321847504,0.181937078196392,0.866035529911257,0.111839084899957,0,0.0221253851887867,0
"Aimophila ruficeps",0.592489063324629,0.991008991008991,1,1,0.994005994005994,0.981018981018981,1,1,0.991008991008991,0.00899100899100899,0.032967032967033,0.032967032967033,0.00899100899100899,0.014985014985015,0.03996003996004,0.03996003996004,0.004995004995005,1,0,0.254484214267987,1,0,0.25287988704133,1.86071554885245,-1.25754794286547,1.9905435682003,-1.15550603816878,0.165129842614573,0.745515785732013,0.252336865804427,0,0.00214734846356018,0
"Aix sponsa",0.826080092511623,0.998001998001998,0.981018981018981,0.981018981018981,0.999000999000999,0.999000999000999,0.997002997002997,0.997002997002997,1,0.004995004995005,0.026973026973027,0.026973026973027,0.003996003996004,0.000999000999000999,0.004995004995005,0.004995004995005,0.000999000999000999,0.981877270646249,0.0181227293537512,0.0153263787371775,0.983318713317138,0.0166812866828624,0.0131593049837982,-0.0205767769296069,-0.763209071956017,0.116214939674647,-1.02589498118872,0.296168635478084,0.96709726461068,0.0128960306544715,0.0164061016054108,0.00215677327268424,0.0014438298567535
"Ammodramus savannarum",0.810126828986457,0.998001998001998,0.997002997002997,0.997002997002997,0.995004995004995,0.995004995004995,0.997002997002997,0.997002997002997,0.997002997002997,0.002997002997003,0.002997002997003,0.002997002997003,0.00899100899100899,0.002997002997003,0.002997002997003,0.002997002997003,0.001998001998002,0.994575737087913,0.00542426291208719,0.0225639349203591,0.994575737087913,0.00542426291208719,0.0219218596480243,-0.43020187445626,-0.543352508658968,0.206079452316179,-0.272165129518982,0.69166214397212,0.972253191591009,0.0217913039143598,0.0053025191864693,0.000652985308161859,0
"Amphispiza bilineata",0.793616326820755,0.997002997002997,0.987012987012987,0.987012987012987,0.984015984015984,0.999000999000999,0.995004995004995,0.995004995004995,0.992007992007992,0.003996003996004,0.012987012987013,0.012987012987013,0.014985014985015,0.002997002997003,0.014985014985015,0.014985014985015,0.017982017982018,0.979238587592012,0.020761412407988,0.0826807075510173,0.979238587592012,0.020761412407988,0.0826807075510173,0.370397005919082,1.76011967484911,0.55300283037565,2.10810922001657,0.39299059870602,0.899819049135019,0.0811033587353714,0.01907759212961,0,0
"Anas acuta",0.716721808270171,0.989010989010989,0.933066933066933,0.933066933066933,0.947052947052947,0.988011988011988,0.938061938061938,0.938061938061938,0.97002997002997,0.016983016983017,0.0639360639360639,0.0639360639360639,0.043956043956044,0.010989010989011,0.0689310689310689,0.0689310689310689,0.027972027972028,0.981899378749886,0.0181006212501141,0.106680619841732,0.981899378749886,0.0181006212501141,0.094809209698143,1.53362442314844,-1.87834958946854,0.833677471333752,-2.0582195657287,0.72268869073378,0.87884678479595,0.0920499523470318,0.0162009194961759,0.0129023433608419,0
"Anas platyrhynchos",0.847034837784497,1,0.984015984015984,0.984015984015984,1,1,0.98001998001998,0.98001998001998,1,0.001998001998002,0.01998001998002,0.01998001998002,0.001998001998002,0.000999000999000999,0.014985014985015,0.014985014985015,0.000999000999000999,0.991551215722259,0.00844878427774155,0.00971463519782569,0.99174844528718,0.00825155471282018,0.00507412144336157,-0.972701993454643,-0.944696473090961,-1.17093577659873,-0.911462678078701,0.201000293309577,0.981999256794251,0.005008195679354,0.00817043942331579,0.00462515333635908,0.000196954766719803
"Antigone canadensis",0.751139284817793,1,0.975024975024975,0.975024975024975,1,1,0.973026973026973,0.973026973026973,1,0.003996003996004,0.033966033966034,0.033966033966034,0.001998001998002,0.000999000999000999,0.022977022977023,0.022977022977023,0.000999000999000999,0.968716153082417,0.0312838469175833,0.0156540101221402,0.971798751591557,0.0282012484084433,0.00404009064478436,-2.36555971095973,-0.252600849019178,-2.46366997692972,-0.647949028445573,0.407339916119776,0.954019060595011,0.00386995846464459,0.0276852882041337,0.0113017638614879,0.00312392887472281
