"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","nS_NA","nE_NA","nU_NA","nS_A","nE_A","nU_A","n_centroid_hist_X","n_centroid_hist_Y","n_centroid_rec_X","n_centroid_rec_Y","n_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Accipiter cooperii",0.652360872412687,0.99000999000999,0.921078921078921,0.921078921078921,0.989010989010989,0.991008991008991,0.939060939060939,0.939060939060939,0.991008991008991,0.012987012987013,0.0769230769230769,0.0769230769230769,0.013986013986014,0.010989010989011,0.0529470529470529,0.0529470529470529,0.010989010989011,0.926025073242019,0.0739749267579812,0.0346888055998541,0.929525569793292,0.0704744302067081,0.0346888055998541,-0.224064537656542,0.402635572390897,-0.695868360538902,0.544543555604319,0.492683187237103,0.896202115405251,0.0322053459442054,0.0679479247109651,0,0.00364461393957805
"Accipiter striatus",0.189101251452022,0.633366633366633,0.584415584415584,0.584415584415584,0.685314685314685,0.637362637362637,0.581418581418581,0.581418581418581,0.72027972027972,0.342657342657343,0.386613386613387,0.386613386613387,0.283716283716284,0.361638361638362,0.420579420579421,0.420579420579421,0.28971028971029,0.847931729493825,0.152068270506175,0.533703613394049,0.852454528127717,0.147545471872284,0.510013984824574,1.75975264379495,0.059851859123485,-0.0688990290826221,1.68815864925833,2.44854036999948,0.430311302407861,0.447900093592491,0.0744796139510123,0.0446164765036222,0.00269251354501332
"Actitis macularius",0.318270737642851,0.764235764235764,0.801198801198801,0.801198801198801,0.992007992007992,0.758241758241758,0.879120879120879,0.879120879120879,1,0.198801198801199,0.204795204795205,0.204795204795205,0.00599400599400599,0.232767232767233,0.117882117882118,0.117882117882118,0.000999000999000999,0.9898070811913,0.0101929188087,0.247614501101177,0.995141433459219,0.00485856654078112,0.21690677014123,-0.972052598972782,0.270951787451399,-0.389613954703023,0.822249499780837,0.801975025769797,0.746600851314215,0.206798849828474,0.0036451199734541,0.0389118896667104,0.00404328921714581
"Aix sponsa",0.655691300611965,0.997002997002997,0.853146853146853,0.853146853146853,0.979020979020979,0.993006993006993,0.907092907092907,0.907092907092907,0.99000999000999,0.00599400599400599,0.156843156843157,0.156843156843157,0.016983016983017,0.00699300699300699,0.0889110889110889,0.0889110889110889,0.010989010989011,0.874235186877218,0.125764813122782,0.0364897397942006,0.895689930331667,0.104310069668332,0.0342859546740244,0.991210048969313,0.291451357466352,0.367542364390571,0.623894865758922,0.706739037406086,0.846217972702152,0.0300434597558507,0.0985486748237431,0.00200422557599215,0.0231856671422616
"Ammodramus savannarum",0.511738858939731,0.749250749250749,0.46953046953047,0.46953046953047,0.74025974025974,0.733266733266733,0.464535464535465,0.464535464535465,0.72027972027972,0.238761238761239,0.561438561438561,0.561438561438561,0.271728271728272,0.244755244755245,0.525474525474525,0.525474525474525,0.257742257742258,0.843039249036251,0.156960750963749,0.0837909321520135,0.855840050195335,0.144159949804665,0.0827705816401263,0.96409351346187,0.301356913362389,-1.45223378666713,-0.10195905002301,2.44975537302609,0.782694109499113,0.0706301448610149,0.131839055103867,0.000950317858987373,0.013886372677018
"Anas platyrhynchos",0.466800983850371,0.756243756243756,0.506493506493506,0.506493506493506,0.745254745254745,0.769230769230769,0.616383616383616,0.616383616383616,0.749250749250749,0.228771228771229,0.461538461538462,0.461538461538462,0.226773226773227,0.24975024975025,0.377622377622378,0.377622377622378,0.252747252747253,0.924370206590215,0.0756297934097848,0.139283199599986,0.946857470198069,0.0531425298019306,0.13714473293797,1.72468787193483,0.51632436690693,-0.142038477591065,1.35143314061528,2.04501196278626,0.804091231154128,0.127804605666814,0.0451297513723375,0.00231531228225917,0.0206590995244607
"Antrostomus carolinensis",0.452149119888578,0.997002997002997,0.991008991008991,0.991008991008991,0.977022977022977,0.995004995004995,0.998001998001998,0.998001998001998,0.973026973026973,0.00599400599400599,0.012987012987013,0.012987012987013,0.01998001998002,0.00599400599400599,0.002997002997003,0.002997002997003,0.017982017982018,0.828945024546255,0.171054975453745,0.336218615469118,0.839209467927965,0.160790532072035,0.336218615469118,-1.34956071017622,0.717012862127634,-1.60756744724478,1.37363975872124,0.70549724145663,0.583814540296959,0.295713801266223,0.111857473197379,0,0.00861418523943915
"Antrostomus vociferus",0.32849854593851,0.656343656343656,0.358641358641359,0.358641358641359,0.529470529470529,0.626373626373626,0.657342657342657,0.657342657342657,0.505494505494505,0.353646353646354,0.632367632367632,0.632367632367632,0.466533466533467,0.363636363636364,0.308691308691309,0.308691308691309,0.480519480519481,0.744116960245078,0.255883039754922,0.48877029973769,0.874933900560908,0.125066099439092,0.487892241661279,-0.0564329758932471,0.303110152186589,-3.20423070868193,-1.25600093734564,3.51275646124976,0.434793450927464,0.414233816962277,0.0621508904093204,0.00145823931841377,0.0873636023825241
"Archilochus alexandri",0.379453479674735,0.979020979020979,0.961038961038961,0.961038961038961,0.977022977022977,0.974025974025974,0.984015984015984,0.984015984015984,0.977022977022977,0.023976023976024,0.041958041958042,0.041958041958042,0.025974025974026,0.021978021978022,0.011988011988012,0.011988011988012,0.015984015984016,0.465819695909285,0.534180304090715,0.254412338721696,0.47935915687732,0.52064084312268,0.254412338721696,0.628462984932258,-1.53841018952325,-0.00499736522385256,-1.68540161421529,0.650291084171463,0.401932931163316,0.137149127241735,0.43654678784658,0,0.0243711537483685
"Archilochus colubris",0.652481757986836,0.996003996003996,0.935064935064935,0.935064935064935,0.965034965034965,0.993006993006993,0.984015984015984,0.984015984015984,0.99000999000999,0.00699300699300699,0.0579420579420579,0.0579420579420579,0.037962037962038,0.00799200799200799,0.013986013986014,0.013986013986014,0.00699300699300699,0.966524242232219,0.0334757577677808,0.0778706327365973,0.975831506549209,0.0241684934507909,0.0687009654284007,0.101770300124677,0.00904892371653713,-0.420119817513369,-0.615516680338114,0.813911228977955,0.893589778501991,0.0659191926557482,0.0221316062911215,0.00954137061143302,0.00881805193970691
"Ardea herodias",0.541813119623741,0.952047952047952,0.681318681318681,0.681318681318681,0.962037962037962,0.956043956043956,0.963036963036963,0.963036963036963,0.979020979020979,0.040959040959041,0.33966033966034,0.33966033966034,0.047952047952048,0.037962037962038,0.0579420579420579,0.0579420579420579,0.023976023976024,0.991165263668537,0.00883473633146262,0.117824309703193,0.997697444210416,0.00230255578958425,0.113393227579476,0.997329976358959,0.308596303374608,-0.605009887795952,1.01061735681718,1.74937891828403,0.875293034078825,0.111946248663386,0.00202006234945903,0.00495880626241095,0.00578184864591901
