"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Accipiter cooperii",302462.080839035,351270.219409594,533371.860817337,206680.908546365,272443.379999463,-144589.31086323,230909.779978302,123.682278433028,49,140,0.686940810334026,0.969030969030969,0.848151848151848,0.848151848151848,1,0.969030969030969,0.854145854145854,0.854145854145854,1,0.025974025974026,0.122877122877123,0.122877122877123,0.000999000999000999,0.024975024975025,0.162837162837163,0.162837162837163,0.000999000999000999,0.936100248063598,0.0638997519364024,0.0277768678246494,0.936100248063598,0.0638997519364024,0.0277768678246494,0.91171655278892,0.0260481666628307,0.0622352805482494
"Accipiter striatus",359622.474228913,626141.194375656,1081573.28750914,388565.266502589,760036.3795903,-237575.927873067,721950.813280227,110.290073229545,30,24,0.359341982018444,0.773226773226773,0.796203796203796,0.796203796203796,0.978021978021978,0.764235764235764,0.805194805194805,0.805194805194805,0.983016983016983,0.24975024975025,0.187812187812188,0.187812187812188,0.015984015984016,0.250749250749251,0.212787212787213,0.212787212787213,0.013986013986014,0.949575749786437,0.050424250213563,0.379193093945904,0.949575749786437,0.050424250213563,0.379193093945904,0.60099451541728,0.367091550566191,0.0319139340165286
"Actitis macularius",-156745.205898897,769143.234764274,-383140.255539269,822543.236039003,232607.563586844,53400.0012747283,-226395.049640372,-77.828137600923,76,49,0.769001478994067,1,0.61038961038961,0.61038961038961,1,1,0.628371628371628,0.628371628371628,1,0.000999000999000999,0.36963036963037,0.36963036963037,0.000999000999000999,0.001998001998002,0.363636363636364,0.363636363636364,0.001998001998002,0.99183679839275,0.00816320160724976,0.0326629915536168,0.99183679839275,0.00816320160724976,0.0326629915536168,0.959696329657008,0.0324049972614702,0.007898673081522
"Aix sponsa",824642.101906872,348332.147392839,748185.825585757,415030.073887268,101460.21677262,66697.9264944292,-76456.2763211152,-43.4710366824659,144,196,0.838373046250538,0.99000999000999,0.783216783216783,0.783216783216783,1,0.994005994005994,0.8001998001998,0.8001998001998,1,0.003996003996004,0.198801198801199,0.198801198801199,0.000999000999000999,0.00799200799200799,0.207792207792208,0.207792207792208,0.000999000999000999,0.966413757423161,0.0335862425768385,7.68395798128718e-05,0.966413757423161,0.0335862425768385,7.68395798128718e-05,0.966341992485887,7.42590186899423e-05,0.0335837484954233
"Ammodramus savannarum",598838.925223829,374485.113620707,479070.265139976,305547.462399124,138191.648424318,-68937.6512215833,-119768.660083853,-115.185348907224,265,187,0.806316649106587,0.986013986013986,0.982017982017982,0.982017982017982,1,0.986013986013986,0.975024975024975,0.975024975024975,1,0.01998001998002,0.031968031968032,0.031968031968032,0.000999000999000999,0.011988011988012,0.021978021978022,0.021978021978022,0.000999000999000999,0.983408594202574,0.0165914057974263,0.00775433634492061,0.983408594202574,0.0165914057974263,0.00775433634492061,0.975908469035499,0.00762666221476015,0.0164648687497413
"Anas acuta",-685668.432125705,833287.200277388,-962077.227773919,868604.585396645,278655.952750623,35317.3851192569,-276408.795648213,-87.7773191451221,29,28,0.761198482040344,0.999000999000999,1,1,0.998001998001998,0.999000999000999,1,1,0.997002997002997,0.002997002997003,0.00699300699300699,0.00699300699300699,0.004995004995005,0.000999000999000999,0.002997002997003,0.002997002997003,0.002997002997003,1,0,0.210610346900913,1,0,0.210610346900913,0.789389653099087,0.210610346900913,0
"Anas platyrhynchos",350545.169035732,612816.265277309,431987.79503328,584796.160297979,86127.9722995336,-28020.10497933,81442.6259975485,111.316523133416,251,259,0.898653421169166,0.998001998001998,0.628371628371628,0.628371628371628,1,0.999000999000999,0.621378621378621,0.621378621378621,1,0.002997002997003,0.377622377622378,0.377622377622378,0.000999000999000999,0.000999000999000999,0.366633366633367,0.366633366633367,0.000999000999000999,0.990613400174169,0.009386599825831,0.00244823139225158,0.990613400174169,0.009386599825831,0.00244823139225158,0.988210858997477,0.00242530655881465,0.00936383444370845
"Antrostomus carolinensis",732863.186795792,-262831.964169492,733389.559965175,-308143.817730192,45314.9108111201,-45311.8535607,526.373169383151,-175.717744568271,97,63,0.869868088127706,1,0.986013986013986,0.986013986013986,1,1,0.988011988011988,0.988011988011988,1,0.000999000999000999,0.012987012987013,0.012987012987013,0.000999000999000999,0.000999000999000999,0.012987012987013,0.012987012987013,0.000999000999000999,0.975727695489159,0.0242723045108407,0.0213208170036238,0.975727695489159,0.0242723045108407,0.0213208170036238,0.955418818210346,0.0208140830404857,0.0237670987491681
"Antrostomus vociferus",964509.580602437,245521.375956779,1073601.59107992,136786.538987193,154027.048016969,-108734.836969586,109092.010477482,141.165494696454,94,37,0.757068666143461,0.991008991008991,0.978021978021978,0.978021978021978,0.994005994005994,0.991008991008991,0.989010989010989,0.989010989010989,0.998001998001998,0.00799200799200799,0.018981018981019,0.018981018981019,0.002997002997003,0.010989010989011,0.017982017982018,0.017982017982018,0.004995004995005,0.936631377954769,0.063368622045231,0.134666204126411,0.936631377954769,0.063368622045231,0.134666204126411,0.817474798197102,0.127218223265013,0.0553069785378846
"Aphelocoma californica",-2136499.94803227,458687.088500573,-2138459.35611492,441185.573743499,17610.8574131529,-17501.5147570738,-1959.40808264399,171.019901640608,27,26,0.956328043476511,1,0.998001998001998,0.998001998001998,1,1,0.997002997002997,0.997002997002997,1,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.995898773119891,0.00410122688010923,0.00342703411923227,0.995898773119891,0.00410122688010923,0.00342703411923227,0.99249974367312,0.00341302704503025,0.00408722928184961
