"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Accipiter cooperii",302462.080839035,351270.219409594,533371.860817337,206680.908546365,272443.379999463,-144589.31086323,230909.779978302,123.682278433028,49,140,0.662240774068947,0.982017982017982,0.878121878121878,0.878121878121878,1,0.985014985014985,0.998001998001998,0.998001998001998,1,0.013986013986014,0.127872127872128,0.127872127872128,0.001998001998002,0.020979020979021,0.002997002997003,0.002997002997003,0.000999000999000999,0.931545481773827,0.0684545182261729,0.0251145433704976,0.958268070769208,0.0417319292307923,0.0238927665021012,0.909714126505258,0.0234356300317172,0.0668502434630248
"Accipiter striatus",359622.474228913,626141.194375656,1081573.28750914,388565.266502589,760036.3795903,-237575.927873067,721950.813280227,110.290073229545,30,24,0.350038552665393,0.895104895104895,0.724275724275724,0.724275724275724,0.989010989010989,0.852147852147852,0.72027972027972,0.72027972027972,1,0.126873126873127,0.308691308691309,0.308691308691309,0.013986013986014,0.140859140859141,0.260739260739261,0.260739260739261,0.000999000999000999,0.947135472142895,0.0528645278571047,0.378934120680732,0.952871868947077,0.0471281310529227,0.288093371594327,0.600257997110996,0.366238500440796,0.033503502448208
"Actitis macularius",-156745.205898897,769143.234764274,-383140.255539269,822543.236039003,232607.563586844,53400.0012747283,-226395.049640372,-77.828137600923,76,49,0.731798732394926,1,0.507492507492508,0.507492507492508,1,1,0.516483516483517,0.516483516483517,1,0.000999000999000999,0.452547452547453,0.452547452547453,0.000999000999000999,0.000999000999000999,0.505494505494505,0.505494505494505,0.000999000999000999,0.994084143669679,0.00591585633032085,0.0461055083874111,0.994084143669679,0.00591585633032085,0.0367606537505574,0.948510098355415,0.0458452592816006,0.0056446423629846
"Aix sponsa",824642.101906872,348332.147392839,748185.825585757,415030.073887268,101460.21677262,66697.9264944292,-76456.2763211152,-43.4710366824659,144,196,0.854893323777534,0.996003996003996,0.543456543456543,0.543456543456543,1,0.996003996003996,0.577422577422577,0.577422577422577,1,0.00599400599400599,0.451548451548452,0.451548451548452,0.000999000999000999,0.003996003996004,0.418581418581419,0.418581418581419,0.000999000999000999,0.969723007027204,0.0302769929727962,0.000103300136519533,0.971712563249881,0.028287436750119,0.000103300136519533,0.96962586712703,0.000100172832314347,0.0302739600406561
"Ammodramus savannarum",598838.925223829,374485.113620707,479070.265139976,305547.462399124,138191.648424318,-68937.6512215833,-119768.660083853,-115.185348907224,265,187,0.801640878756127,0.983016983016983,0.967032967032967,0.967032967032967,1,0.981018981018981,0.966033966033966,0.966033966033966,1,0.018981018981019,0.031968031968032,0.031968031968032,0.002997002997003,0.014985014985015,0.021978021978022,0.021978021978022,0.000999000999000999,0.983265235148112,0.0167347648518876,0.0081323496838043,0.983307216385947,0.0166927836140528,0.00795719112630721,0.975401723731392,0.00799734510651741,0.0166009311620906
"Anas platyrhynchos",350545.169035732,612816.265277309,431987.79503328,584796.160297979,86127.9722995336,-28020.10497933,81442.6259975485,111.316523133416,251,259,0.896294686762188,0.999000999000999,0.605394605394605,0.605394605394605,1,1,0.598401598401598,0.598401598401598,1,0.001998001998002,0.397602397602398,0.397602397602398,0.000999000999000999,0.001998001998002,0.407592407592408,0.407592407592408,0.001998001998002,0.98924449053619,0.0107555094638097,0.00266983304022872,0.989325591870525,0.0106744081294746,0.00266983304022872,0.986631704448875,0.00264119346866306,0.0107271020824617
"Antrostomus carolinensis",732863.186795792,-262831.964169492,733389.559965175,-308143.817730192,45314.9108111201,-45311.8535607,526.373169383151,-175.717744568271,97,63,0.872406609799251,1,0.984015984015984,0.984015984015984,1,1,0.977022977022977,0.977022977022977,1,0.001998001998002,0.021978021978022,0.021978021978022,0.000999000999000999,0.001998001998002,0.012987012987013,0.012987012987013,0.001998001998002,0.976279075415134,0.0237209245848656,0.0311941588816054,0.976279075415134,0.0237209245848656,0.0311941588816054,0.946525256248104,0.030476755997642,0.0229979877542542
"Antrostomus vociferus",964509.580602437,245521.375956779,1073601.59107992,136786.538987193,154027.048016969,-108734.836969586,109092.010477482,141.165494696454,94,37,0.76489255080407,0.987012987012987,0.948051948051948,0.948051948051948,0.999000999000999,0.985014985014985,0.92007992007992,0.92007992007992,0.997002997002997,0.01998001998002,0.0729270729270729,0.0729270729270729,0.00599400599400599,0.011988011988012,0.0659340659340659,0.0659340659340659,0.002997002997003,0.940336345108652,0.0596636548913479,0.127022249210092,0.940336345108652,0.0596636548913479,0.127022249210092,0.827161442878438,0.120355767187897,0.0524827899336658
"Aphelocoma californica",-2136499.94803227,458687.088500573,-2138459.35611492,441185.573743499,17610.8574131529,-17501.5147570738,-1959.40808264399,171.019901640608,27,26,0.960099922512782,1,0.957042957042957,0.957042957042957,1,1,0.963036963036963,0.963036963036963,1,0.000999000999000999,0.033966033966034,0.033966033966034,0.000999000999000999,0.000999000999000999,0.048951048951049,0.048951048951049,0.000999000999000999,0.997330939503532,0.00266906049646782,0.00185710352323443,0.997330939503532,0.00266906049646782,0.00185710352323443,0.995483727037693,0.00185215598220437,0.00266411698010242
"Archilochus alexandri",-1022418.68834871,-328668.996545168,-749538.929092218,-278141.902764655,277518.19799391,50527.0937805127,272879.759256495,73.0703230735595,20,24,0.799248961807401,1,0.802197802197802,0.802197802197802,1,1,0.898101898101898,0.898101898101898,1,0.000999000999000999,0.200799200799201,0.200799200799201,0.000999000999000999,0.000999000999000999,0.130869130869131,0.130869130869131,0.000999000999000999,0.893547111351588,0.106452888648412,0.0422239615470353,0.922414546353917,0.0775854536460826,0.0332427813517741,0.859682165762263,0.0378994517010987,0.102418382536639
