species,centroid_hist_X,centroid_hist_Y,centroid_rec_X,centroid_rec_Y,Eucl_distance,NS_shift,EW_shift,shift_direction,n_routes_hist,n_routes_rec,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,rS_NA,rE_NA,rU_NA,rS_A,rE_A,rU_A,range_stability_std,range_unfilling_std,range_expansion_std
Accipiter cooperii,570179.0497,256067.5944,404024.9659,243428.8646,166634.0814,-12638.72985,-166154.0839,-90.25613769,79,189,0.752495532,0.988011988,0.858141858,0.858141858,1,0.982017982,0.875124875,0.875124875,1,0.018981019,0.145854146,0.145854146,0.001998002,0.017982018,0.132867133,0.132867133,0.000999001,0.918232588,0.081767412,0.005886597,0.920903867,0.079096133,0.005393603,0.913266907,0.005407868,0.081325225
Accipiter striatus,673100.1875,703452.1024,762998.0096,569760.9896,161105.3446,-133691.1128,89897.82208,150.8165684,47,31,0.744806459,0.993006993,0.978021978,0.978021978,1,0.995004995,1,1,1,0.007992008,0.027972028,0.027972028,0.000999001,0.003996004,0.000999001,0.000999001,0.000999001,0.921392594,0.078607406,0.061900668,0.963381003,0.036618997,0.059637495,0.868584178,0.057313697,0.074102125
Actitis macularius,-521667.5502,831879.7826,-617304.0777,864366.7098,101003.6921,32486.92716,-95636.52748,-75.20246734,112,87,0.832709568,0.997002997,0.974025974,0.974025974,1,1,1,1,1,0.000999001,0.018981019,0.018981019,0.000999001,0.000999001,0.007992008,0.007992008,0.000999001,0.998503088,0.001496912,0.04775689,1,0,0.04775689,0.950885662,0.047688812,0.001425526
Aix sponsa,740061.9791,347276.4109,772718.1732,326847.88,38519.50013,-20428.53092,32656.19412,126.8291945,228,237,0.924504253,1,0.976023976,0.976023976,1,1,0.981018981,0.981018981,1,0.000999001,0.021978022,0.021978022,0.000999001,0.000999001,0.026973027,0.026973027,0.000999001,0.991481676,0.008518324,0.006697035,0.991536608,0.008463392,0.006609538,0.984897874,0.006640367,0.008461759
Ammodramus savannarum,474862.1237,404877.1992,432961.5383,348466.5506,70269.62591,-56410.64854,-41900.5854,-139.4705089,313,232,0.857792389,0.992007992,0.982017982,0.982017982,1,1,0.99000999,0.99000999,1,0.004995005,0.018981019,0.018981019,0.000999001,0.008991009,0.016983017,0.016983017,0.000999001,0.990946642,0.009053358,0.004425348,0.99103085,0.00896915,0.00404181,0.986600886,0.004385459,0.009013655
Amphispiza bilineata,-1175290.744,-236243.1563,-1174062.469,-250805.5196,14614.07141,-14562.36333,1228.27417,167.1597645,33,34,0.952124336,1,0.997002997,0.997002997,1,1,0.999000999,0.999000999,1,0.000999001,0.006993007,0.006993007,0.000999001,0.000999001,0.002997003,0.002997003,0.000999001,0.997494882,0.002505118,0.032964398,0.997494882,0.002505118,0.031569411,0.964692728,0.032884534,0.002422739
Anas platyrhynchos,211536.9169,586326.8654,246530.5837,624758.6706,51976.53672,38431.80524,34993.66678,44.19798016,392,350,0.922228067,0.999000999,0.758241758,0.758241758,1,1,0.935064935,0.935064935,1,0.002997003,0.262737263,0.262737263,0.001998002,0.004995005,0.053946054,0.053946054,0.000999001,0.998250084,0.001749916,0.008297671,0.999981609,1.84E-05,0.007618309,0.989981308,0.008283271,0.001735421
Antrostomus carolinensis,788842.8722,-385189.825,781753.0336,-383708.7134,7242.893231,1481.11155,-7089.838568,-73.25488708,127,97,0.911961899,1,0.974025974,0.974025974,1,1,0.98001998,0.98001998,1,0.000999001,0.021978022,0.021978022,0.000999001,0.000999001,0.020979021,0.020979021,0.000999001,0.985413625,0.014586375,0.007027047,0.985413625,0.014586375,0.007027047,0.978589381,0.006925258,0.014485361
Antrostomus vociferus,903859.7172,141122.0383,1092422.256,147064.0032,188656.1372,5941.964894,188562.5391,94.38315117,79,42,0.814285152,1,0.884115884,0.884115884,1,1,0.873126873,0.873126873,1,0.000999001,0.103896104,0.103896104,0.000999001,0.000999001,0.111888112,0.111888112,0.000999001,0.927557334,0.072442666,0.100610683,0.927557334,0.072442666,0.100545947,0.840360127,0.09400735,0.065632523
Aphelocoma californica,-2146131.932,562708.0579,-2139845.501,625991.2291,63594.64571,63283.17113,6286.430954,-9.958377774,32,34,0.886430916,0.996003996,0.908091908,0.908091908,1,0.997002997,0.886113886,0.886113886,1,0.001998002,0.112887113,0.112887113,0.001998002,0.001998002,0.121878122,0.121878122,0.000999001,0.922004514,0.077995486,0,0.922004514,0.077995486,0,0.922004514,0,0.077995486
