species,stability,PCA_percent
Accipiter cooperii,0.988290485,0.675477816
Accipiter striatus,0.512917928,0.729777456
Actitis macularius,0.626325052,0.726371086
Aix sponsa,0.965571144,0.667705133
Ammodramus savannarum,0.942819578,0.694051896
Amphispiza bilineata,0.831440338,0.634456894
Anas acuta,0.369051784,0.694824638
Anas platyrhynchos,0.662364081,0.687358895
Anhinga anhinga,0.219778764,0.673440804
Antigone canadensis,0.428070358,0.732859638
Antrostomus carolinensis,0.999391716,0.652543054
Antrostomus vociferus,0.951990727,0.77210038
Aphelocoma californica,0.892269498,0.648971307
Aquila chrysaetos,0.562002028,0.692370097
Archilochus alexandri,0.995129738,0.664164585
Archilochus colubris,0.941443927,0.752185529
Ardea alba,0.409462038,0.709209893
Ardea herodias,0.870505994,0.716059162
Athene cunicularia,0.736266086,0.662367977
Aythya americana,0.85395558,0.673667549
Baeolophus bicolor,0.991218929,0.685574712
Bartramia longicauda,0.819407464,0.732617706
Bombycilla cedrorum,0.827974391,0.673013236
Bonasa umbellus,0.678788871,0.687875938
Botaurus lentiginosus,0.786513925,0.664043083
Branta canadensis,0.623972581,0.72213379
Bubo virginianus,0.657534667,0.731753645
Bubulcus ibis,0.483914764,0.688049682
Buteo jamaicensis,0.794215351,0.713910305
Buteo lineatus,0.988798665,0.68152753
Buteo platypterus,0.878975092,0.755119114
Buteo regalis,0.994796876,0.632565336
Buteo swainsoni,0.965404978,0.65767154
Butorides virescens,0.427332361,0.695006445
Calamospiza melanocorys,0.998164776,0.734952181
Callipepla californica,0.842709733,0.688363293
Calypte anna,0.993033601,0.73213633
Cardellina canadensis,0.776831185,0.717200011
Cardellina pusilla,0.421602952,0.738447628
Cardinalis cardinalis,0.870633376,0.722497507
Cathartes aura,0.58583036,0.707669297
Catharus fuscescens,0.927752715,0.642874018
Catharus guttatus,0.653884788,0.744845445
Catharus ustulatus,0.656416718,0.798499302
Catherpes mexicanus,0.828828209,0.673607327
Centronyx henslowii,0.999274905,0.743657057
Certhia americana,0.786681968,0.72883481
Chaetura pelagica,0.952145596,0.78953685
Chaetura vauxi,0.453406683,0.778471652
Chamaea fasciata,0.998507187,0.807057244
Charadrius vociferus,0.820364388,0.684618401
Chondestes grammacus,0.998192885,0.684532618
Chordeiles minor,0.839804369,0.711636065
Circus hudsonius,0.640239212,0.728707408
Cistothorus palustris,0.989126286,0.645139669
Coccothraustes vespertinus,0.88610912,0.692377799
Coccyzus americanus,0.917340357,0.725826628
Coccyzus erythropthalmus,0.974280322,0.783501419
Colaptes auratus auratus,0.670474902,0.792921636
Colaptes auratus cafer,0.764635915,0.730717713
Colinus virginianus,0.894368336,0.701175797
Columbina passerina,0.273036156,0.656095466
Contopus cooperi,0.703134165,0.743677944
Contopus sordidulus,0.774205993,0.734544092
Contopus virens,0.975936203,0.766630578
Coragyps atratus,0.367724419,0.672119181
Corvus brachyrhynchos,0.862976084,0.716096816
Corvus corax,0.566982125,0.676057497
Corvus ossifragus,0.998381721,0.627680749
Cyanocitta cristata,0.908201848,0.795473319
Cyanocitta stelleri,0.700398626,0.784134736
Dolichonyx oryzivorus,0.936783355,0.64920633
Dryobates pubescens,0.80709628,0.723254733
Dryobates scalaris,0.477976738,0.610333029
Dryobates villosus,0.77805571,0.707536933
Dryocopus pileatus,0.918061185,0.660018746
Dumetella carolinensis,0.982856509,0.746852245
Egretta caerulea,0.331964137,0.626005804
Egretta thula,0.445144829,0.705267271
Empidonax alnorum,0.465608385,0.782123185
Empidonax difficilis,0.642800945,0.801260329
Empidonax hammondii,0.651964107,0.755659257
Empidonax minimus,0.673997386,0.676860027
Empidonax oberholseri,0.931844337,0.741159844
Empidonax traillii,0.96760205,0.657985457
Empidonax virescens,0.998676995,0.709532865
Eremophila alpestris,0.51040457,0.707877125
Eudocimus albus,0.32078656,0.641724341
Euphagus cyanocephalus,0.95335898,0.703277549
Falco mexicanus,0.979794835,0.676513143
Falco sparverius,0.687972504,0.697672578
Fulica americana,0.869519798,0.681479953
Gallinago delicata,0.512200206,0.728695664
Gallinula galeata,0.554564143,0.662696173
Gavia immer,0.314015067,0.70721466
Geococcyx californianus,0.941198788,0.576364481
Geothlypis formosa,0.999811921,0.684866608
Geothlypis philadelphia,0.767884463,0.698545882
Geothlypis tolmiei,0.805733398,0.767285359
Geothlypis trichas,0.866123298,0.714537565
Haemorhous cassinii,0.977295214,0.711412224
Haemorhous mexicanus,0.955724319,0.670947441
Haemorhous purpureus,0.884032088,0.69731016
Haliaeetus leucocephalus,0.684883126,0.723259328
Helmitheros vermivorum,0.999911528,0.665555285
