"species","stability","PCA_percent"
"Accipiter cooperii",0.988290485194247,0.675477816270148
"Accipiter striatus",0.512917928313725,0.72977745596071
"Actitis macularius",0.626325051669215,0.726371086460425
"Aix sponsa",0.965571143777179,0.667705133392527
"Ammodramus savannarum",0.942819577535969,0.694051895728702
"Amphispiza bilineata",0.831440338222109,0.634456893808087
"Anas acuta",0.369051783855951,0.694824637817599
"Anas platyrhynchos",0.662364080963737,0.68735889501319
"Anhinga anhinga",0.21977876397221,0.673440804352056
"Antigone canadensis",0.428070357912411,0.7328596384144
"Antrostomus carolinensis",0.99939171607912,0.652543053918364
"Antrostomus vociferus",0.951990726595201,0.77210037958712
"Aphelocoma californica",0.892269498210807,0.648971306545026
"Aquila chrysaetos",0.562002027697992,0.692370097130577
"Archilochus alexandri",0.995129737633651,0.664164584776232
"Archilochus colubris",0.941443926835916,0.752185528867976
"Ardea alba",0.409462038262414,0.70920989252446
"Ardea herodias",0.870505994171408,0.716059162141774
"Athene cunicularia",0.736266086437311,0.662367976650593
"Aythya americana",0.853955580193432,0.673667548785595
"Baeolophus bicolor",0.991218929126651,0.685574711789061
"Bartramia longicauda",0.819407463894279,0.732617705752827
"Bombycilla cedrorum",0.827974390910612,0.673013235682921
"Bonasa umbellus",0.678788870821475,0.687875938179296
"Botaurus lentiginosus",0.786513924695717,0.664043083349429
"Branta canadensis",0.623972580872457,0.722133789519735
"Bubo virginianus",0.65753466703987,0.731753645063772
"Bubulcus ibis",0.483914763601222,0.688049681766003
"Buteo jamaicensis",0.794215351362141,0.713910305498886
"Buteo lineatus",0.988798664941477,0.681527529857731
"Buteo platypterus",0.878975092105941,0.755119114402934
"Buteo regalis",0.994796876023915,0.632565335969668
"Buteo swainsoni",0.965404978402541,0.657671539760273
"Butorides virescens",0.427332360522641,0.695006444533746
"Calamospiza melanocorys",0.998164775934253,0.734952181336172
"Callipepla californica",0.842709733030118,0.688363293391037
"Calypte anna",0.993033600646673,0.7321363298977
"Cardellina canadensis",0.776831185498426,0.717200010771777
"Cardellina pusilla",0.421602952368357,0.738447627870243
"Cardinalis cardinalis",0.870633375730204,0.722497506750125
"Cathartes aura",0.585830359645146,0.707669297117853
"Catharus fuscescens",0.927752714870481,0.642874017963562
"Catharus guttatus",0.653884787628304,0.744845444734431
"Catharus ustulatus",0.656416717786442,0.798499301749904
"Catherpes mexicanus",0.828828208622091,0.673607327321704
"Centronyx henslowii",0.999274904836577,0.743657056679985
"Certhia americana",0.786681968047294,0.728834810125282
"Chaetura pelagica",0.95214559624797,0.789536849569191
"Chaetura vauxi",0.453406683303391,0.778471652282078
"Chamaea fasciata",0.998507187326637,0.807057244334571
"Charadrius vociferus",0.82036438814982,0.684618401320408
"Chondestes grammacus",0.99819288477425,0.684532618223387
"Chordeiles minor",0.83980436890737,0.711636064795058
"Circus hudsonius",0.6402392122711,0.728707407566648
"Cistothorus palustris",0.989126286248967,0.645139668768063
"Coccothraustes vespertinus",0.886109119849687,0.692377799263626
"Coccyzus americanus",0.917340356808773,0.725826627834866
"Coccyzus erythropthalmus",0.974280322482831,0.78350141854452
"Colaptes auratus auratus",0.670474901861356,0.792921636451487
"Colaptes auratus cafer",0.764635915098336,0.730717713071101
"Colinus virginianus",0.894368335980209,0.70117579659697
"Columbina passerina",0.273036155934926,0.656095466253877
"Contopus cooperi",0.703134165383463,0.743677943958748
"Contopus sordidulus",0.774205993081388,0.734544091882474
"Contopus virens",0.975936203404633,0.766630577751087
"Coragyps atratus",0.367724418606614,0.672119181068562
"Corvus brachyrhynchos",0.862976084074729,0.716096815785591
"Corvus corax",0.566982125472729,0.676057497147755
"Corvus ossifragus",0.998381720553224,0.627680748808776
"Cyanocitta cristata",0.908201847719658,0.79547331924649
"Cyanocitta stelleri",0.700398625545231,0.784134736008482
"Dolichonyx oryzivorus",0.936783354558899,0.649206330345101
"Dryobates pubescens",0.80709628033743,0.723254733391841
"Dryobates scalaris",0.47797673778517,0.610333029115687
"Dryobates villosus",0.778055710374816,0.707536933447896
"Dryocopus pileatus",0.918061185240178,0.660018746041285
"Dumetella carolinensis",0.982856508545452,0.746852244951156
"Egretta caerulea",0.331964136732946,0.62600580353995
"Egretta thula",0.445144828610968,0.705267270721174
"Empidonax alnorum",0.465608385117472,0.782123184707705
"Empidonax difficilis",0.642800944796601,0.801260329332627
"Empidonax hammondii",0.651964107258447,0.755659257070635
"Empidonax minimus",0.673997386141425,0.676860027274008
"Empidonax oberholseri",0.931844336672594,0.74115984446072
"Empidonax traillii",0.967602049534052,0.657985456649914
"Empidonax virescens",0.998676995364909,0.709532864882739
"Eremophila alpestris",0.510404569995476,0.707877124613878
"Eudocimus albus",0.320786560375076,0.641724340962275
"Euphagus cyanocephalus",0.953358979725578,0.703277548944622
"Falco mexicanus",0.979794834730983,0.67651314252888
"Falco sparverius",0.687972503859934,0.697672577922377
"Fulica americana",0.869519797628992,0.681479952660685
"Gallinago delicata",0.512200206223259,0.728695664349781
"Gallinula galeata",0.554564143325156,0.662696173285797
"Gavia immer",0.314015067424963,0.707214659788755
"Geococcyx californianus",0.941198787883924,0.576364481264126
"Geothlypis formosa",0.999811920943789,0.68486660777688
"Geothlypis philadelphia",0.767884463357985,0.698545882465075
"Geothlypis tolmiei",0.805733397543883,0.767285359253046
"Geothlypis trichas",0.866123297936072,0.714537565074135
"Haemorhous cassinii",0.977295213836354,0.711412224003642
"Haemorhous mexicanus",0.955724319115086,0.670947440639027
"Haemorhous purpureus",0.884032087785275,0.697310160034169
"Haliaeetus leucocephalus",0.684883126350083,0.723259327857998
"Helmitheros vermivorum",0.999911527772172,0.66555528540254
"Hylocichla mustelina",0.986775986977076,0.742443360469312
"Icteria virens",0.976468565758824,0.691202883326884
"Icterus bullockii",0.991805033555636,0.656287332906878
"Icterus galbula",0.971951938787929,0.792155821059316
"Icterus spurius",0.98150018989697,0.740278086266956
"Ictinia mississippiensis",0.999157249826464,0.765536020046311
"Junco hyemalis hyemalis",0.624363367688462,0.751911444045922
"Junco hyemalis oreganus",0.624363367688462,0.751911444045922
"Lanius ludovicianus",0.951112471425766,0.682141009179115
"Larus californicus",0.809576961674068,0.737490096957099
"Larus delawarensis",0.800331300470366,0.701531137607518
"Leiothlypis celata",0.520881296290916,0.762304553892571
"Leiothlypis ruficapilla",0.915858271353533,0.670951388612819
"Limnothlypis swainsonii",0.999304258359516,0.624970452568864
"Loxia curvirostra",0.612541413186745,0.652510991828405
"Mareca americana",0.500186367846229,0.760500508286007
"Mareca strepera",0.784696514617938,0.681202627038582
"Megaceryle alcyon",0.719868184202329,0.724724566314666
"Megascops asio",0.994857417803417,0.774624632024529
"Melanerpes carolinus",0.99637196188881,0.693248080303014
"Melanerpes erythrocephalus",0.994403244854999,0.796031692960225
"Melanerpes formicivorus",0.590636233491176,0.67219588978541
"Meleagris gallopavo",0.959165846831571,0.688843896399038
"Melospiza georgiana",0.62274677064456,0.753076735297547
"Melospiza lincolnii",0.520379326011057,0.764745008271067
"Melospiza melodia",0.769834723414741,0.699766526008502
"Melozone crissalis",0.834033107577629,0.699894932329684
"Mergus merganser",0.488301514161459,0.676613599790082
"Mimus polyglottos",0.949696813624831,0.678269513317809
"Mniotilta varia",0.830788970290893,0.801027976469186
"Myadestes townsendi",0.656719163967582,0.750969368495185
"Myiarchus cinerascens",0.928925219080239,0.606842343990052
"Myiarchus crinitus",0.954191826743165,0.774012340222293
"Nucifraga columbiana",0.952680422592575,0.726474860041892
"Numenius americanus",0.987922991031709,0.670020762087445
"Nyctanassa violacea",0.431060549848584,0.65099565691138
"Nycticorax nycticorax",0.516687889567214,0.684400214718664
"Oreoscoptes montanus",0.995617849674383,0.653105773038956
"Pandion haliaetus",0.63367374173907,0.747455221786081
"Parkesia motacilla",0.998531130788531,0.724177575852002
"Parkesia noveboracensis",0.441154596149866,0.725616147751804
"Passer domesticus",0.69578885567305,0.694505035776996
"Passerculus sandwichensis",0.545187290889715,0.714511988422596
"Passerina amoena",0.99026506074691,0.673023292742211
"Passerina caerulea",0.904248161004393,0.66433309615938
"Passerina ciris",0.998632946293629,0.734305792718952
"Passerina cyanea",0.972279923129061,0.777868012309836
"Patagioenas fasciata",0.766279921336821,0.714329078785726
"Pelecanus erythrorhynchos",0.902835737505246,0.65420331905853
"Perdix perdix",0.878692046522128,0.641440990231145
"Perisoreus canadensis",0.520098936881304,0.727730390268275
"Petrochelidon pyrrhonota",0.820045057152925,0.696243618905807
"Peucaea cassinii",0.996283124431557,0.674216034514369
"Phalacrocorax auritus",0.835243499128023,0.740562488623561
"Phalaropus tricolor",0.918440966233872,0.674930725946362
"Phasianus colchicus",0.834927886947124,0.603049959487248
"Pheucticus ludovicianus",0.879898352808055,0.754649578604774
"Pheucticus melanocephalus",0.920623962334909,0.686791477260833
"Pica hudsonia",0.747254468854474,0.723799273485288
"Pipilo chlorurus",0.999431154725244,0.667382155809235
"Pipilo erythrophthalmus",0.988269173636154,0.734969604836629
"Pipilo maculatus",0.924570209532929,0.693111489685604
"Piranga ludoviciana",0.827564283305336,0.741491199307538
"Piranga olivacea",0.971554449918055,0.772231723464267
"Piranga rubra",0.988634798423451,0.725802427392321
"Podilymbus podiceps",0.778301170748837,0.693256036539554
"Poecile atricapillus",0.700941920455076,0.707311644867378
"Poecile carolinensis",0.999341735751758,0.691074819346305
"Poecile gambeli",0.906600950958291,0.760691870649492
"Poecile rufescens",0.621295779478401,0.815966000443747
"Polioptila caerulea",0.868621398069232,0.665357181476559
"Pooecetes gramineus",0.953391899352166,0.672976998170782
"Porzana carolina",0.777024823993202,0.703561189189772
"Progne subis",0.97190296087823,0.695197725024542
"Protonotaria citrea",0.994929426767035,0.687880144930667
"Psaltriparus minimus",0.836448991299712,0.663448474386519
"Quiscalus major",0.993853089837793,0.754100430236947
"Quiscalus mexicanus",0.72411706253949,0.68611032412872
"Quiscalus quiscula",0.887921685416964,0.792907792516255
"Recurvirostra americana",0.974170109672971,0.598067812837396
"Regulus calendula",0.53870191496644,0.772946530561313
"Regulus satrapa",0.702219634310996,0.721253100965713
"Riparia riparia",0.559809233392763,0.710825273407226
"Salpinctes obsoletus",0.878421953463096,0.662820262409535
"Sayornis nigricans",0.571739634335127,0.712484697242919
"Sayornis phoebe",0.80714197869685,0.810112363385902
"Sayornis saya",0.653460315815612,0.753561210084492
"Seiurus aurocapilla",0.878861595127438,0.770306334292602
"Selasphorus rufus",0.612760506657242,0.80304562226686
"Setophaga americana",0.941006150539596,0.732533529875724
"Setophaga caerulescens",0.933793203537579,0.694853080581882
"Setophaga cerulea",0.997051924806179,0.75525904942474
"Setophaga citrina",0.995352681152296,0.654332104803487
