"species","stability"
"Accipiter cooperii",0.973875826698863
"Accipiter striatus",0.862013405711236
"Actitis macularius",0.943911641035065
"Aechmophorus occidentalis",0.897348605663308
"Aeronautes saxatalis",0.73996214946823
"Aimophila ruficeps",0.749444951586934
"Aix sponsa",0.988468701742608
"Ammodramus savannarum",0.955563929833628
"Amphispiza bilineata",0.838213553483881
"Anas acuta",0.953851534496021
"Anas platyrhynchos",0.929283174024113
"Anhinga anhinga",0.305238732038122
"Antigone canadensis",0.951604140954545
"Antrostomus carolinensis",0.999884482636922
"Antrostomus vociferus",0.989683822450513
"Aphelocoma californica",0.875233375271942
"Aphelocoma woodhouseii",0.875233375271942
"Aquila chrysaetos",0.865808078544502
"Archilochus alexandri",0.992630801398214
"Archilochus colubris",0.986086575646912
"Ardea alba",0.595643215753231
"Ardea herodias",0.921786495726745
"Artemisiospiza nevadensis",1
"Athene cunicularia",0.657011980294639
"Auriparus flaviceps",0.795537766884927
"Aythya affinis",0.880306306089377
"Aythya americana",0.960691187146544
"Aythya collaris",0.989534884997621
"Aythya valisineria",0.925370133449896
"Baeolophus bicolor",0.998704051408885
"Baeolophus ridgwayi",1
"Bartramia longicauda",0.98970517834811
"Bombycilla cedrorum",0.97040487890146
"Bonasa umbellus",0.943200489070264
"Botaurus lentiginosus",0.981042798453881
"Branta canadensis",0.946088934334242
"Bubo virginianus",0.863672430136448
"Bubulcus ibis",0.616798646393828
"Buteo jamaicensis",0.892298708221137
"Buteo lineatus",0.982333974962096
"Buteo platypterus",0.932426957959589
"Buteo regalis",0.998632431403612
"Buteo swainsoni",0.956424348921003
"Butorides virescens",0.584878101513729
"Calamospiza melanocorys",0.99777016066535
"Calcarius ornatus",0.998950560424266
"Callipepla californica",0.7119377339666
"Callipepla gambelii",0.758884294009413
"Callipepla squamata",0.804715612632939
"Calypte anna",0.993052744945697
"Campylorhynchus brunneicapillus",0.832853166909583
"Cardellina canadensis",0.796664079347346
"Cardellina pusilla",0.812629084664231
"Cardinalis cardinalis",0.883248498468192
"Cardinalis sinuatus",0.694823048263445
"Cathartes aura",0.692619910165862
"Catharus fuscescens",0.992313906898814
"Catharus guttatus",0.913044828259082
"Catharus ustulatus",0.667803683611481
"Catherpes mexicanus",0.818732035245411
"Centronyx henslowii",0.999440370400217
"Certhia americana",0.8089269152611
"Chaetura pelagica",0.999017471568468
"Chaetura vauxi",0.452211246126432
"Chamaea fasciata",0.985353632399084
"Charadrius vociferus",0.923619885468171
"Chlidonias niger",0.995366832581879
"Chondestes grammacus",0.976760616706324
"Chordeiles acutipennis",0.208455172620379
"Chordeiles minor",0.917283322444327
"Cinclus mexicanus",0.708988026879964
"Circus hudsonius",0.939894683985637
"Cistothorus palustris",0.993959457374404
"Coccothraustes vespertinus",0.908501079335838
"Coccyzus americanus",0.924757120189775
"Coccyzus erythropthalmus",0.996588900384256
"Colaptes auratus auratus",0.991878721898067
"Colaptes auratus cafer",0.791566175623327
"Colinus virginianus",0.873076030916032
"Columbina inca",0.557208775906695
"Columbina passerina",0.464603471060973
"Contopus cooperi",0.907612812318867
"Contopus sordidulus",0.779144543372593
"Contopus virens",0.996740555376753
"Coragyps atratus",0.369777904455266
"Corvus brachyrhynchos",0.99611429497846
"Corvus corax",0.914694379729325
"Corvus cryptoleucus",0.78208649098122
"Corvus ossifragus",0.997860077104932
"Cyanocitta cristata",0.999307121132287
"Cyanocitta stelleri",0.655561220265113
"Dolichonyx oryzivorus",0.987086876428006
"Dryobates pubescens",0.96337753166704
"Dryobates scalaris",0.559488533668208
"Dryobates villosus",0.913373574197665
"Dryocopus pileatus",0.978367679162937
"Dumetella carolinensis",0.997168798244792
"Egretta caerulea",0.326569058051033
"Egretta thula",0.58859099224649
"Empidonax alnorum",0.870529784673557
"Empidonax difficilis",0.734414414938941
"Empidonax hammondii",0.863546837132156
"Empidonax minimus",0.971460167310386
"Empidonax oberholseri",0.938734006341509
"Empidonax occidentalis",0.753860239530397
"Empidonax traillii",0.969910166172782
"Empidonax virescens",0.99907090739046
"Empidonax wrightii",0.99901349920145
"Eremophila alpestris",0.948418162358619
"Eudocimus albus",0.404988462367116
"Euphagus cyanocephalus",0.970448736054599
"Falco mexicanus",0.950605128451541
"Falco sparverius",0.849592812771334
"Fulica americana",0.897941574155541
"Gallinago delicata",0.92243934413702
"Gallinula galeata",0.639651112467733
"Gavia immer",0.892995493732103
"Geococcyx californianus",0.862051621052917
"Geothlypis formosa",0.999460741837664
"Geothlypis philadelphia",0.806507169647663
"Geothlypis tolmiei",0.851947139269549
"Geothlypis trichas",0.940987600075965
"Gymnorhinus cyanocephalus",0.999771330017119
"Haemorhous cassinii",0.975905557521002
"Haemorhous mexicanus",0.915415834907949
"Haemorhous purpureus",0.935743942377553
"Haliaeetus leucocephalus",0.952980445197485
"Helmitheros vermivorum",1
"Himantopus mexicanus",0.671095451835226
"Hylocichla mustelina",0.997474736380298
"Icteria virens",0.947833085079399
"Icterus bullockii",0.96436149636106
"Icterus galbula",0.988707003407431
"Icterus parisorum",0.764722065560074
"Icterus spurius",0.950704737723784
"Ictinia mississippiensis",0.999433024959257
"Junco hyemalis caniceps",0.923604181172534
"Junco hyemalis hyemalis",0.923604181172534
"Junco hyemalis oreganus",0.923604181172534
"Lanius ludovicianus",0.917915119021499
"Larus californicus",1
"Larus delawarensis",0.981340749053179
"Leiothlypis celata",0.883550954251867
"Leiothlypis ruficapilla",0.981860691255471
"Leiothlypis virginiae",1
"Leucophaeus atricilla",0.734354652333321
"Leucophaeus pipixcan",0.998171803630333
"Limnothlypis swainsonii",0.999505479640353
"Limosa fedoa",0.959268069698584
"Lophodytes cucullatus",0.969511958862039
"Loxia curvirostra",0.876597296754771
"Mareca americana",0.904836123752608
"Mareca strepera",0.944761986938441
"Megaceryle alcyon",0.959786156668107
"Megascops asio",0.984854599027394
"Melanerpes carolinus",0.999955830707292
"Melanerpes erythrocephalus",0.999946694863196
"Melanerpes formicivorus",0.416072404495518
"Meleagris gallopavo",0.926201366133101
"Melospiza georgiana",0.865776850960288
"Melospiza lincolnii",0.915725640394479
"Melospiza melodia",0.921829231107483
"Melozone fusca",0.687005575569808
"Mergus merganser",0.842638502526623
"Mimus polyglottos",0.907545994964135
"Mniotilta varia",0.968688417991571
"Myadestes townsendi",0.807795599052854
"Myiarchus cinerascens",0.879337712947682
"Myiarchus crinitus",0.997595740984639
"Nucifraga columbiana",0.957468703031072
"Numenius americanus",0.991067891461088
"Nyctanassa violacea",0.449024298348491
"Nycticorax nycticorax",0.632281769306502
"Oreortyx pictus",0.908867880243195
"Oreoscoptes montanus",0.998013470720318
"Oxyura jamaicensis",0.858931223472038
