"species","niche_breadth_zcor"
"Accipiter cooperii",5.59914642676188
"Accipiter striatus",7.08975362297802
"Actitis macularius",6.4119324802356
"Aechmophorus occidentalis",5.40027623020545
"Aeronautes saxatalis",6.20246333098441
"Aimophila ruficeps",5.3639559086865
"Aix sponsa",5.54159502554522
"Ammodramus savannarum",5.92047690740504
"Amphispiza bilineata",4.45946730884821
"Anas acuta",5.910195894706
"Anas crecca",5.55151819706665
"Anas platyrhynchos",6.53177600439953
"Anhinga anhinga",7.38283885093023
"Antigone canadensis",6.26280802121557
"Antrostomus carolinensis",4.82750199132176
"Antrostomus vociferus",4.53991702799136
"Aphelocoma californica",5.38528737432519
"Aphelocoma woodhouseii",5.38528737432519
"Aquila chrysaetos",6.80867979497012
"Archilochus alexandri",4.33912985709702
"Archilochus colubris",4.84644392334824
"Ardea alba",8.19499279743384
"Ardea herodias",6.69094535776624
"Artemisiospiza nevadensis",3.8120909300832
"Athene cunicularia",6.87913569473596
"Auriparus flaviceps",4.367099744415
"Aythya affinis",5.40486368722519
"Aythya americana",4.87274823053125
"Aythya collaris",5.57515459088415
"Aythya valisineria",5.09769162004134
"Baeolophus bicolor",4.7406119203124
"Baeolophus ridgwayi",4.38488075338342
"Bartramia longicauda",4.61699396123326
"Bombycilla cedrorum",6.23244076641319
"Bonasa umbellus",6.37586056690751
"Botaurus lentiginosus",5.48735689097468
"Branta canadensis",6.4875067366367
"Bubo virginianus",7.31014671038593
"Bubulcus ibis",8.02520576773948
"Buteo jamaicensis",6.82572385887115
"Buteo lineatus",4.60286812655111
"Buteo platypterus",5.07534589169445
"Buteo regalis",4.23704832509085
"Buteo swainsoni",5.11864664033002
"Butorides virescens",8.10926555075925
"Calamospiza melanocorys",3.26154954600607
"Calcarius ornatus",2.85761112633831
"Callipepla californica",5.99305234910375
"Callipepla gambelii",4.9928774933285
"Callipepla squamata",4.79349242118684
"Calypte anna",4.7405791957375
"Campylorhynchus brunneicapillus",4.20278781655897
"Cardellina canadensis",4.52714772553759
"Cardellina pusilla",6.46983299855974
"Cardinalis cardinalis",6.0942267524455
"Cardinalis sinuatus",5.0685106132324
"Cathartes aura",7.65309730033699
"Catharus fuscescens",5.29578401073187
"Catharus guttatus",6.42560637555252
"Catharus ustulatus",6.19342965239804
"Catherpes mexicanus",5.65551357543721
"Centronyx henslowii",3.94596443121135
"Certhia americana",6.76515568947839
"Chaetura pelagica",4.94425562348376
"Chaetura vauxi",6.72656032411256
"Chamaea fasciata",4.42538314433278
"Charadrius vociferus",6.5976850677351
"Chlidonias niger",4.79025223903046
"Chondestes grammacus",4.8478454720973
"Chordeiles acutipennis",7.15283417296985
"Chordeiles minor",6.72323181185547
"Cinclus mexicanus",6.91484899278089
"Circus hudsonius",6.36477522411306
"Cistothorus palustris",5.29721883685018
"Cistothorus platensis",7.04967113461587
"Coccothraustes vespertinus",6.32143542158611
"Coccyzus americanus",5.76090428372962
"Coccyzus erythropthalmus",4.67261304458766
"Colaptes auratus auratus",5.08152673589471
"Colaptes auratus cafer",6.70660211329115
"Colinus virginianus",6.16188549860115
"Columba livia",6.98063340713919
"Columbina inca",6.43815566028119
"Columbina passerina",7.05620137230037
"Contopus cooperi",6.46713237295482
"Contopus sordidulus",6.82375700060592
"Contopus virens",4.63331084991891
"Coragyps atratus",7.54059958496982
"Corvus brachyrhynchos",5.63104595065437
"Corvus corax",6.84899542360851
"Corvus cryptoleucus",4.36787610553652
"Corvus ossifragus",4.7057093249693
"Cyanocitta cristata",4.92657413661363
"Cyanocitta stelleri",6.74970869398857
"Dolichonyx oryzivorus",4.9086835820104
"Dryobates pubescens",6.4510583810275
"Dryobates scalaris",6.37928445248803
"Dryobates villosus",6.73987501805451
"Dryocopus pileatus",5.98043972802167
"Dumetella carolinensis",5.10730987038821
"Egretta caerulea",7.25458296099777
"Egretta thula",7.4102557899831
"Empidonax alnorum",5.92317396244804
"Empidonax difficilis",6.22556398153077
"Empidonax hammondii",6.39014932414284
"Empidonax minimus",5.46733616724415
"Empidonax oberholseri",5.41054979844831
"Empidonax occidentalis",5.85053580193427
"Empidonax traillii",6.07337632224811
"Empidonax virescens",4.77340556119721
"Empidonax wrightii",5.03941828120561
"Eremophila alpestris",6.33238439870514
"Eudocimus albus",6.60250735636435
"Euphagus cyanocephalus",5.75681177889386
"Falco mexicanus",4.51568237381851
"Falco sparverius",7.30859178801667
"Fulica americana",6.65350846492481
"Gallinago delicata",6.41676896130454
"Gallinula galeata",7.14256488286033
"Gavia immer",6.49132467018099
"Geococcyx californianus",5.10042020745742
"Geothlypis formosa",4.49709803892323
"Geothlypis philadelphia",4.4569092073631
"Geothlypis tolmiei",6.24941205851479
"Geothlypis trichas",6.43953438882946
"Gymnorhinus cyanocephalus",4.61733951679509
"Haemorhous cassinii",4.23909829881909
"Haemorhous mexicanus",6.17828947703563
"Haemorhous purpureus",6.36335737719494
"Haliaeetus leucocephalus",6.50713857117639
"Helmitheros vermivorum",4.42437050692638
"Himantopus mexicanus",7.90364990717803
"Hylocichla mustelina",4.53761203824235
"Icteria virens",5.49532380311209
"Icterus bullockii",4.81460602065324
"Icterus galbula",4.62859655567306
"Icterus parisorum",4.64463971889037
"Icterus spurius",5.29584426867636
"Ictinia mississippiensis",4.99240595639804
"Junco hyemalis caniceps",6.43125694485862
"Junco hyemalis hyemalis",6.43125694485862
"Junco hyemalis oreganus",6.43125694485862
"Lanius ludovicianus",5.73796377598892
"Larus californicus",4.50478417200111
"Larus delawarensis",5.42486532725838
"Leiothlypis celata",6.49839255186777
"Leiothlypis ruficapilla",5.11342833521798
"Leiothlypis virginiae",4.14621636252093
"Leucophaeus atricilla",6.10480642469873
"Leucophaeus pipixcan",2.86340759681051
"Limnothlypis swainsonii",4.52594463506953
"Limosa fedoa",3.51474548338999
"Lophodytes cucullatus",6.0284268608888
"Loxia curvirostra",6.85702191415334
"Mareca americana",6.20502605384945
"Mareca strepera",5.61453181986399
"Megaceryle alcyon",6.43768863243623
"Megascops asio",5.25255117867307
"Melanerpes carolinus",4.81147424873465
"Melanerpes erythrocephalus",5.0250226534381
"Melanerpes formicivorus",6.75309670685609
"Meleagris gallopavo",5.82818777872604
"Melospiza georgiana",4.61221774185793
"Melospiza lincolnii",6.26957126972815
"Melospiza melodia",6.50416758416866
"Melozone fusca",5.15466020023047
"Mergus merganser",6.46307124409329
"Mimus polyglottos",6.16698810229381
"Mniotilta varia",4.61082907936298
"Myadestes townsendi",6.38741041517878
"Myiarchus cinerascens",5.03391100331029
"Myiarchus crinitus",4.91348420856108
"Nucifraga columbiana",5.07347811116848
"Numenius americanus",5.30870733275827
"Nyctanassa violacea",7.02116755473918
"Nycticorax nycticorax",8.03690519371252
"Oreortyx pictus",4.74279380229624
"Oreoscoptes montanus",4.85373296780096
"Oxyura jamaicensis",5.74951115694773
"Pandion haliaetus",7.60554601511429
"Parkesia motacilla",4.39708113835951
"Parkesia noveboracensis",5.94575721262633
"Passer domesticus",7.49262747347113
"Passerculus sandwichensis",6.48409578710744
"Passerella iliaca",5.19528962304572
"Passerina amoena",4.38409394109529
"Passerina caerulea",6.12254121905805
"Passerina ciris",5.28392644340129
"Passerina cyanea",5.02489338468865
"Patagioenas fasciata",6.43476527028678
"Pelecanus erythrorhynchos",4.4016183758219
"Perdix perdix",5.23734298288268
"Perisoreus canadensis",6.38220937390999
"Petrochelidon pyrrhonota",6.55741802112413
"Peucaea aestivalis",4.62145660027148
"Peucaea cassinii",4.72444390452172
"Phainopepla nitens",4.39269639802202
"Phalacrocorax auritus",6.30542820016898
"Phalaenoptilus nuttallii",4.71923019490504
"Phalaropus tricolor",5.28235533574464
"Phasianus colchicus",6.50859531660885
"Pheucticus ludovicianus",4.63424017181207
"Pheucticus melanocephalus",5.89982222466708
"Pica hudsonia",6.15197115641739
"Pipilo chlorurus",3.4846918717379
"Pipilo erythrophthalmus",4.75863080932208
"Pipilo maculatus",6.26555030793338
"Piranga ludoviciana",6.31997378397603
"Piranga olivacea",4.3853383129598
"Piranga rubra",5.42922695520209
"Podiceps nigricollis",5.60524922704569
"Podilymbus podiceps",7.31424542419271
"Poecile atricapillus",6.2144226819738
"Poecile carolinensis",4.78263463990014
"Poecile gambeli",6.04181911645373
"Poecile rufescens",6.40810971232259
"Polioptila caerulea",6.27616770841751
"Polioptila melanura",4.62388976820617
"Pooecetes gramineus",4.75293813184312
"Porzana carolina",6.20806459489221
"Progne subis",5.56409074404745
"Protonotaria citrea",4.68394888180864
