"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","niche_stability_NA","niche_expansion_NA","niche_unfilling_NA","niche_stability_A","niche_expansion_A","niche_unfilling_A","niche_centroid_hist_X","niche_centroid_hist_Y","niche_centroid_rec_X","niche_centroid_rec_Y","niche_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Accipiter cooperii",0.682286711722647,0.994005994005994,0.943056943056943,0.943056943056943,0.996003996003996,0.983016983016983,0.958041958041958,0.958041958041958,0.997002997002997,0.014985014985015,0.0639360639360639,0.0639360639360639,0.001998001998002,0.015984015984016,0.041958041958042,0.041958041958042,0.002997002997003,0.919982767133256,0.0800172328667442,0.0215184081686929,0.927698945935467,0.0723010540645335,0.0214555143079332,-0.211071765578355,0.422005320089709,-0.796357122831149,0.549448698846653,0.598999803174856,0.901738855608727,0.0197714781508877,0.0702778310109155,5.92319192347854e-05,0.0081526033102348
"Accipiter striatus",0.237680367928382,0.647352647352647,0.575424575424575,0.575424575424575,0.694305694305694,0.633366633366633,0.551448551448551,0.551448551448551,0.713286713286713,0.363636363636364,0.437562437562438,0.437562437562438,0.31968031968032,0.352647352647353,0.453546453546454,0.453546453546454,0.288711288711289,0.842465518842999,0.157534481157001,0.470743241606497,0.851133467318509,0.148866532681491,0.451637761567409,1.7269191177868,0.23319337224995,-0.291274049261884,1.80367420222392,2.55724728894914,0.481594818925022,0.396647308581035,0.0842327949770419,0.0317033975862379,0.00582167993066246
"Actitis macularius",0.603477925099079,0.998001998001998,0.837162837162837,0.837162837162837,0.994005994005994,0.996003996003996,0.939060939060939,0.939060939060939,1,0.00699300699300699,0.154845154845155,0.154845154845155,0.011988011988012,0.00599400599400599,0.0589410589410589,0.0589410589410589,0.000999000999000999,0.975510881510304,0.0244891184896958,0.0811278884806407,0.985746595312528,0.0142534046874719,0.0440813208051406,1.13836548794144,0.364292919939737,0.540635068453793,-0.819062799709897,1.32574975527374,0.898154151689919,0.0414175621366236,0.0129868615896266,0.0378811225696094,0.00956030201422121
"Aix sponsa",0.730077203120371,0.984015984015984,0.845154845154845,0.845154845154845,0.982017982017982,0.997002997002997,0.901098901098901,0.901098901098901,1,0.00899100899100899,0.144855144855145,0.144855144855145,0.011988011988012,0.004995004995005,0.0799200799200799,0.0799200799200799,0.000999000999000999,0.899046536614823,0.100953463385177,0.0167394012195705,0.917466627021016,0.0825333729789844,0.0151731249617197,0.972140137113567,0.3714969707778,0.279544784768626,0.917164719817368,0.88172649638747,0.885493431741299,0.0136427049597631,0.0796571314093929,0.00143227094143436,0.0197744609481102
"Ammodramus savannarum",0.737574854565996,0.98001998001998,0.634365634365634,0.634365634365634,0.937062937062937,0.979020979020979,0.624375624375624,0.624375624375624,0.933066933066933,0.014985014985015,0.344655344655345,0.344655344655345,0.0549450549450549,0.024975024975025,0.33966033966034,0.33966033966034,0.0729270729270729,0.93153378074762,0.0684662192523798,0.0331466325541164,0.93460590957106,0.0653940904289399,0.0324326048364991,0.954792573122368,0.302971199690841,-0.473746533266803,0.155636735088437,1.43611678596932,0.902705194190443,0.0302584409038365,0.0631620071037816,0.000688999922238604,0.00318535787970002
"Amphispiza bilineata",0.736506632210361,0.993006993006993,0.982017982017982,0.982017982017982,0.989010989010989,0.99000999000999,0.981018981018981,0.981018981018981,0.988011988011988,0.012987012987013,0.025974025974026,0.025974025974026,0.018981018981019,0.00999000999000999,0.016983016983017,0.016983016983017,0.014985014985015,0.93402345764131,0.0659765423586899,0.155719913642353,0.93402345764131,0.0659765423586899,0.155719913642353,1.09342063318368,-0.746173635759152,1.70176257666043,-0.187996662806303,0.825615802494037,0.796763240643013,0.14695585627466,0.0562809030823272,0,0
"Anas acuta",0.501781444992766,0.915084915084915,0.91008991008991,0.91008991008991,0.92007992007992,0.928071928071928,0.922077922077922,0.922077922077922,0.932067932067932,0.0879120879120879,0.0839160839160839,0.0839160839160839,0.0799200799200799,0.102897102897103,0.0859140859140859,0.0859140859140859,0.0709290709290709,0.746836052373609,0.253163947626391,0.0202231371930183,0.753614793063972,0.246385206936028,0.0202231371930183,1.94399862425872,1.70972778667363,0.696855039154472,2.10678986939352,1.30882596986785,0.735498265827025,0.0151810916338991,0.240462228309123,1.73472347597681e-18,0.00885841422995276
"Anas platyrhynchos",0.792195915259932,1,0.697302697302697,0.697302697302697,1,1,0.855144855144855,0.855144855144855,1,0.003996003996004,0.295704295704296,0.295704295704296,0.002997002997003,0.003996003996004,0.127872127872128,0.127872127872128,0.000999000999000999,0.957216056711815,0.0427839432881847,0.0275656260707764,0.970594572732464,0.0294054272675357,0.0251079622362876,1.76206708358464,0.526674459321371,0.747724371949881,0.848305980489665,1.06411370259742,0.931928882231768,0.0240014630088221,0.0282339997923476,0.002415952686139,0.0134197022809235
"Antrostomus carolinensis",0.648839840448483,0.963036963036963,0.949050949050949,0.949050949050949,0.926073926073926,0.961038961038961,0.97002997002997,0.97002997002997,0.927072927072927,0.037962037962038,0.0549450549450549,0.0549450549450549,0.0569430569430569,0.028971028971029,0.030969030969031,0.030969030969031,0.0699300699300699,0.874919730405237,0.125080269594763,0.0610594831784512,0.898457211393388,0.101542788606612,0.0610594831784512,-1.62239812824504,0.767884596944075,-3.60042855455227,0.00976842441022975,2.11833531303581,0.827819923256462,0.0538332895144105,0.0935594287692432,0,0.0247873584598846
"Antrostomus vociferus",0.43897328156648,0.84015984015984,0.665334665334665,0.665334665334665,0.806193806193806,0.826173826173826,0.89010989010989,0.89010989010989,0.79020979020979,0.161838161838162,0.332667332667333,0.332667332667333,0.195804195804196,0.15984015984016,0.0919080919080919,0.0919080919080919,0.188811188811189,0.829595107210603,0.170404892789397,0.206846379109438,0.920725444047191,0.0792745559528089,0.206114966736121,-0.0954861399003448,0.210759935718581,-2.57833612708,-1.00356546872507,2.7638976548916,0.68203653814872,0.177075939818878,0.0587234164700238,0.000792236812524744,0.0813718687498533
