"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","niche_stability_NA","niche_expansion_NA","niche_unfilling_NA","niche_stability_A","niche_expansion_A","niche_unfilling_A","niche_centroid_hist_X","niche_centroid_hist_Y","niche_centroid_rec_X","niche_centroid_rec_Y","niche_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Accipiter cooperii",0.774779968692834,0.99000999000999,0.981018981018981,0.981018981018981,0.999000999000999,0.992007992007992,0.989010989010989,0.989010989010989,1,0.004995004995005,0.00899100899100899,0.00899100899100899,0.002997002997003,0.011988011988012,0.010989010989011,0.010989010989011,0.000999000999000999,0.979155493528565,0.0208445064714346,0.008480862716359,0.979542303368715,0.0204576966312848,0.00826397276384605,0.595983302379703,-0.887417639709786,0.734804998800353,-0.486917278250823,0.423877344199791,0.971023067083005,0.00809137508274608,0.0202797727673905,0.000214176486242975,0.000391608580615533
"Accipiter striatus",0.678259904107852,0.984015984015984,0.979020979020979,0.979020979020979,1,0.98001998001998,0.98001998001998,0.98001998001998,1,0.015984015984016,0.028971028971029,0.028971028971029,0.000999000999000999,0.012987012987013,0.022977022977023,0.022977022977023,0.000999000999000999,0.992106225290012,0.00789377470998799,0.11866796756417,0.992106225290012,0.00789377470998799,0.11403509864086,-0.463218071801943,-1.55079794045384,-0.0430350940368481,-1.62302378060391,0.426345290567312,0.875194824352588,0.112648850955509,0.00696355954098294,0.0051927651509206,0
"Actitis macularius",0.546184255142681,0.985014985014985,0.978021978021978,0.978021978021978,0.987012987012987,0.974025974025974,0.991008991008991,0.991008991008991,0.998001998001998,0.016983016983017,0.010989010989011,0.010989010989011,0.018981018981019,0.026973026973027,0.01998001998002,0.01998001998002,0.002997002997003,0.998619863835581,0.0013801361644185,0.0933235619874458,0.998619863835581,0.0013801361644185,0.0824367123869816,-2.27266714444159,-1.06815049394038,-2.7822638374887,-0.369025751100481,0.865138252313184,0.90554173414268,0.0813566589898398,0.00125149813351432,0.0118501087339658,0
"Aechmophorus occidentalis",0.57549512224747,0.978021978021978,0.967032967032967,0.967032967032967,0.996003996003996,0.985014985014985,0.977022977022977,0.977022977022977,0.997002997002997,0.02997002997003,0.033966033966034,0.033966033966034,0.004995004995005,0.024975024975025,0.037962037962038,0.037962037962038,0.001998001998002,0.992465355041979,0.00753464495802122,0.185522041181668,0.992465355041979,0.00753464495802122,0.182004669662622,-2.95945483825333,1.18402599012818,-3.35979285322368,0.810954379028595,0.54722294655729,0.809472672047842,0.180108370809676,0.00614539253800276,0.00427356460447884,0
"Aeronautes saxatalis",0.81539561168429,1,0.998001998001998,0.998001998001998,0.997002997002997,0.999000999000999,0.998001998001998,0.998001998001998,1,0.004995004995005,0.00599400599400599,0.00599400599400599,0.00799200799200799,0.004995004995005,0.003996003996004,0.003996003996004,0.000999000999000999,0.999763130442131,0.000236869557869392,0.102447042371362,0.999763130442131,0.000236869557869392,0.0955752204327711,-1.75744094206445,3.25354528673526,-1.58161403097401,3.28949900969022,0.17946524136425,0.897362130571384,0.0948288739705035,0.00021260813151129,0.00759638732660078,0
"Aimophila ruficeps",0.612329359180292,0.995004995004995,1,1,0.999000999000999,0.997002997002997,1,1,1,0.00599400599400599,0.00899100899100899,0.00899100899100899,0.003996003996004,0.00899100899100899,0.012987012987013,0.012987012987013,0.003996003996004,1,0,0.252590022668567,1,0,0.251849588230725,0.604950518169934,3.82505813324508,1.01362405661136,3.97652620886182,0.43584015298418,0.747409977331433,0.251600336067859,0,0.000989686600707917,0
"Aix sponsa",0.835617920639966,0.999000999000999,0.977022977022977,0.977022977022977,1,0.999000999000999,0.993006993006993,0.993006993006993,1,0.001998001998002,0.015984015984016,0.015984015984016,0.001998001998002,0.000999000999000999,0.00799200799200799,0.00799200799200799,0.000999000999000999,0.983665236826018,0.0163347631739819,0.0139120599822954,0.985087966309648,0.0149120336903519,0.0112267764422027,0.169435805484698,-0.912652852434061,0.298166527264762,-1.17319013270705,0.29060501224525,0.970200905403511,0.0110159017350768,0.0146866768071344,0.00267201862485435,0.00142449742942369
"Ammodramus savannarum",0.809682387159938,1,0.996003996003996,0.996003996003996,0.998001998001998,0.996003996003996,1,1,0.998001998001998,0.002997002997003,0.002997002997003,0.002997002997003,0.003996003996004,0.001998001998002,0.004995004995005,0.004995004995005,0.004995004995005,0.994374801451999,0.00562519854800132,0.023238119050495,0.994374801451999,0.00562519854800132,0.0225801083475596,-0.452088214088496,-0.567914924515,0.201563953965307,-0.263662810207222,0.720992722475194,0.971394381169739,0.0224409085208416,0.00549519784141114,0.000669512468008674,8.67361737988404e-19
"Amphispiza bilineata",0.86461909841174,1,0.999000999000999,0.999000999000999,0.999000999000999,1,1,1,1,0.000999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.98515559044472,0.01484440955528,0.0307017787286183,0.98515559044472,0.01484440955528,0.0292729269981421,-0.862796090425716,4.11156051767683,-0.685615716845423,4.10180089402851,0.17744896459492,0.955344959746487,0.0288090690395821,0.0143952203962498,0.00145075081768094,0
"Anas acuta",0.795984219604659,0.995004995004995,0.984015984015984,0.984015984015984,0.993006993006993,0.996003996003996,0.976023976023976,0.976023976023976,0.988011988011988,0.00599400599400599,0.024975024975025,0.024975024975025,0.010989010989011,0.00599400599400599,0.021978021978022,0.021978021978022,0.015984015984016,0.962889273099172,0.0371107269008285,0.0862226917967599,0.962889273099172,0.0371107269008285,0.0848850436123307,-3.54669985005902,0.758429513756562,-3.53457349555836,1.28227632388747,0.523987145794441,0.882690790381567,0.0818774141049014,0.0340197962267183,0.00141199928681364,0
