"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Accipiter cooperii",302462.080839035,351270.219409594,533371.860817337,206680.908546365,272443.379999463,-144589.31086323,230909.779978302,49,140,0.686940810334026,0.963036963036963,0.857142857142857,0.857142857142857,1,0.968031968031968,0.851148851148851,0.851148851148851,1,0.034965034965035,0.146853146853147,0.146853146853147,0.001998001998002,0.037962037962038,0.132867132867133,0.132867132867133,0.001998001998002,0.936100248063598,0.0638997519364024,0.0277768678246494,0.936100248063598,0.0638997519364024,0.0277768678246494,0.91171655278892,0.0260481666628307,0.0622352805482494
"Accipiter striatus",359622.474228913,626141.194375656,1081573.28750914,388565.266502589,760036.3795903,-237575.927873067,721950.813280227,30,24,0.359341982018444,0.743256743256743,0.795204795204795,0.795204795204795,0.989010989010989,0.745254745254745,0.786213786213786,0.786213786213786,0.985014985014985,0.235764235764236,0.217782217782218,0.217782217782218,0.017982017982018,0.251748251748252,0.21978021978022,0.21978021978022,0.01998001998002,0.949575749786437,0.050424250213563,0.379193093945904,0.949575749786437,0.050424250213563,0.379193093945904,0.60099451541728,0.367091550566191,0.0319139340165286
"Actitis macularius",-156745.205898897,769143.234764274,-383140.255539269,822543.236039003,232607.563586844,53400.0012747283,-226395.049640372,76,49,0.769001478994067,1,0.641358641358641,0.641358641358641,1,1,0.649350649350649,0.649350649350649,1,0.001998001998002,0.381618381618382,0.381618381618382,0.001998001998002,0.000999000999000999,0.364635364635365,0.364635364635365,0.000999000999000999,0.99183679839275,0.00816320160724976,0.0326629915536168,0.99183679839275,0.00816320160724976,0.0326629915536168,0.959696329657008,0.0324049972614702,0.007898673081522
"Aix sponsa",824642.101906872,348332.147392839,748185.825585757,415030.073887268,101460.21677262,66697.9264944292,-76456.2763211152,144,196,0.838373046250538,0.993006993006993,0.8001998001998,0.8001998001998,1,0.994005994005994,0.801198801198801,0.801198801198801,1,0.00699300699300699,0.202797202797203,0.202797202797203,0.000999000999000999,0.00599400599400599,0.191808191808192,0.191808191808192,0.001998001998002,0.966413757423161,0.0335862425768385,7.68395798128718e-05,0.966413757423161,0.0335862425768385,7.68395798128718e-05,0.966341992485887,7.42590186899423e-05,0.0335837484954233
"Ammodramus savannarum",598838.925223829,374485.113620707,479070.265139976,305547.462399124,138191.648424318,-68937.6512215833,-119768.660083853,265,187,0.806316649106587,0.987012987012987,0.972027972027972,0.972027972027972,1,0.972027972027972,0.963036963036963,0.963036963036963,1,0.011988011988012,0.021978021978022,0.021978021978022,0.001998001998002,0.021978021978022,0.027972027972028,0.027972027972028,0.000999000999000999,0.983408594202574,0.0165914057974263,0.00775433634492061,0.983408594202574,0.0165914057974263,0.00775433634492061,0.975908469035499,0.00762666221476015,0.0164648687497413
"Amphispiza bilineata",-965833.368912733,-425982.988609547,-903747.164985647,-529417.162486491,120637.162780304,-103434.173876944,62086.203927086,15,13,0.870535106875158,1,0.997002997002997,0.997002997002997,1,1,0.998001998001998,0.998001998001998,1,0.001998001998002,0.00599400599400599,0.00599400599400599,0.001998001998002,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.992953301875504,0.00704669812449653,0.0751250630675634,0.992953301875504,0.00704669812449653,0.0751250630675634,0.918844043454215,0.0746351900752129,0.00652076647057208
"Anas acuta",-685668.432125705,833287.200277388,-962077.227773919,868604.585396645,278655.952750623,35317.3851192569,-276408.795648213,29,28,0.761198482040344,0.999000999000999,1,1,0.999000999000999,0.999000999000999,1,1,0.999000999000999,0.001998001998002,0.00699300699300699,0.00699300699300699,0.003996003996004,0.00599400599400599,0.011988011988012,0.011988011988012,0.00799200799200799,1,0,0.210610346900913,1,0,0.210610346900913,0.789389653099087,0.210610346900913,0
"Anas platyrhynchos",350545.169035732,612816.265277309,431987.79503328,584796.160297979,86127.9722995336,-28020.10497933,81442.6259975485,251,259,0.898653421169166,1,0.634365634365634,0.634365634365634,1,0.999000999000999,0.612387612387612,0.612387612387612,1,0.001998001998002,0.376623376623377,0.376623376623377,0.001998001998002,0.002997002997003,0.351648351648352,0.351648351648352,0.001998001998002,0.990613400174169,0.009386599825831,0.00244823139225158,0.990613400174169,0.009386599825831,0.00244823139225158,0.988210858997477,0.00242530655881465,0.00936383444370845
"Antrostomus carolinensis",732863.186795792,-262831.964169492,733389.559965175,-308143.817730192,45314.9108111201,-45311.8535607,526.373169383151,97,63,0.869868088127706,1,0.984015984015984,0.984015984015984,1,1,0.985014985014985,0.985014985014985,1,0.001998001998002,0.014985014985015,0.014985014985015,0.001998001998002,0.000999000999000999,0.013986013986014,0.013986013986014,0.000999000999000999,0.975727695489159,0.0242723045108407,0.0213208170036238,0.975727695489159,0.0242723045108407,0.0213208170036238,0.955418818210346,0.0208140830404857,0.0237670987491681
"Antrostomus vociferus",964509.580602437,245521.375956779,1073601.59107992,136786.538987193,154027.048016969,-108734.836969586,109092.010477482,94,37,0.757068666143461,0.987012987012987,0.976023976023976,0.976023976023976,0.996003996003996,0.993006993006993,0.984015984015984,0.984015984015984,0.997002997002997,0.010989010989011,0.023976023976024,0.023976023976024,0.00699300699300699,0.014985014985015,0.018981018981019,0.018981018981019,0.00699300699300699,0.936631377954769,0.063368622045231,0.134666204126411,0.936631377954769,0.063368622045231,0.134666204126411,0.817474798197102,0.127218223265013,0.0553069785378846
