"species","niche_breadth_zcor"
"Acrocephalus arundinaceus",5.94319332323409
"Acrocephalus paludicola",2.21912273573005
"Acrocephalus palustris",5.33965792029917
"Acrocephalus schoenobaenus",6.07776904253876
"Acrocephalus scirpaceus",6.52742412983522
"Aegithalos caudatus",6.59361426573584
"Alectoris graeca",6.00046727002287
"Alectoris rufa",5.40903311043027
"Anthus campestris",6.02099977499937
"Anthus petrosus",5.81525264390656
"Anthus pratensis",6.32008486800619
"Anthus trivialis",6.46930866600257
"Apus apus",6.44126347175356
"Apus pallidus",5.7168366404915
"Aquila adalberti",3.74858252419781
"Aquila chrysaetos",7.14034702489271
"Branta leucopsis",5.59992829226881
"Buteo buteo",6.08482104238463
"Caprimulgus ruficollis",4.44274078415562
"Carduelis carduelis",6.3261254868346
"Carduelis citrinella",5.1618968799194
"Certhia brachydactyla",5.42619437887827
"Cettia cetti",6.01134883911463
"Charadrius hiaticula",6.58982416861178
"Ciconia ciconia",5.53234221677396
"Cinclus cinclus",6.90761392159311
"Circus aeruginosus",5.98897815943889
"Circus pygargus",5.60574404402521
"Coccothraustes coccothraustes",5.96354268043758
"Columba oenas",5.71373746647454
"Columba palumbus",6.32111774934143
"Coracias garrulus",5.91606007866811
"Crex crex",6.11995689454769
"Cyanistes caeruleus",6.09022817435615
"Cygnus olor",5.83988589609637
"Dendrocopos major",6.77992954650803
"Emberiza calandra",5.71459916558016
"Emberiza cia",6.55088637708465
"Emberiza cirlus",5.4437340510435
"Emberiza citrinella",6.47668914058331
"Emberiza hortulana",5.82987370166562
"Emberiza melanocephala",5.45394485284541
"Erithacus rubecula",6.13384955708253
"Ficedula albicollis",4.62193771598038
"Ficedula hypoleuca",5.98464653217426
"Ficedula parva",5.22912271548196
"Ficedula semitorquata",5.66678776024695
"Garrulus glandarius",6.45547077887148
"Hieraaetus pennatus",6.2230257474666
"Hippolais icterina",5.7539320360464
"Hippolais olivetorum",5.07952372332863
"Hippolais polyglotta",5.36761649004091
"Lanius collurio",5.85749537626049
"Lanius senator",5.551272926883
"Linaria cannabina",6.20750098730258
"Locustella fluviatilis",4.74024299326868
"Locustella luscinioides",5.54882530919949
"Locustella naevia",5.83503919983856
"Lophophanes cristatus",5.77842604669846
"Loxia pytyopsittacus",5.46551306527638
"Lullula arborea",5.57251755794566
"Luscinia luscinia",4.92854691466703
"Luscinia megarhynchos",6.04098900120189
"Melanocorypha calandra",5.685305541986
"Merops apiaster",6.04063446911211
"Milvus milvus",5.12686382275425
"Monticola solitarius",7.07682435253787
"Numenius arquata",6.05021642942698
"Numenius phaeopus",6.11038958829268
"Oenanthe hispanica",5.7060879272587
"Oenanthe leucura",4.84627931457848
"Oriolus oriolus",5.94996026354852
"Otus scops",6.09986038492371
"Passer hispaniolensis",5.80986665428264
"Passer italiae",5.27591989443944
"Perdix perdix",5.59075831729216
"Periparus ater",6.79901604647687
"Pernis apivorus",5.65378099935185
"Phasianus colchicus",6.53309444508801
"Phoenicurus phoenicurus",6.36376549113241
"Phylloscopus bonelli",5.43145884044751
"Phylloscopus trochilus",6.26344922668635
"Pluvialis apricaria",6.19089942272342
"Poecile lugubris",5.56110454296781
"Poecile palustris",6.14035285171652
"Porzana porzana",5.90420139998359
"Prunella modularis",6.25615979886607
"Rallus aquaticus",6.33926421173112
"Regulus ignicapilla",5.35172195865246
"Regulus regulus",6.6914610660912
"Remiz pendulinus",5.48108532766691
"Saxicola rubetra",6.11660476992328
"Serinus serinus",5.49983550038391
"Sitta neumayer",5.62358149481563
"Somateria mollissima",6.41227392068463
"Spinus spinus",6.24317815318297
"Streptopelia decaocto",6.9424852578834
"Strix aluco",6.2250511833346
"Sturnus unicolor",4.97216014765902
"Sturnus vulgaris",6.94603001186925
"Sylvia atricapilla",6.08583083876196
"Sylvia borin",6.04520988680206
"Sylvia communis",6.36238336352686
"Sylvia conspicillata",5.0991279064397
"Sylvia hortensis",5.11317271345738
"Sylvia melanocephala",5.22519423116619
"Sylvia undata",4.98852037799601
"Tetrao urogallus",6.1529563278844
"Tringa totanus",6.65454144787889
"Troglodytes troglodytes",6.83408596292252
"Turdus iliacus",6.09232163552884
"Turdus philomelos",6.48077916029485
"Turdus torquatus",6.14082763974949
"Turdus viscivorus",6.43336407256729
"Vanellus vanellus",6.18697234592893
