species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,nS_NA,nE_NA,nU_NA,nS_A,nE_A,nU_A,n_centroid_hist_X,n_centroid_hist_Y,n_centroid_rec_X,n_centroid_rec_Y,n_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Acrocephalus arundinaceus,0.889544732,0.999000999,0.999000999,0.999000999,1,0.999000999,0.998001998,0.998001998,1,0.001998002,0.001998002,0.001998002,0.000999001,0.000999001,0.002997003,0.002997003,0.000999001,0.997875494,0.002124506,0.001927612,0.997875494,0.002124506,0.001927612,-0.02367553,0.823267232,-0.140219846,0.85431286,0.120608492,0.995956056,0.001923524,0.00212042,0,0
Acrocephalus paludicola,0.555677002,0.996003996,1,1,0.988011988,0.994005994,1,1,0.991008991,0.005994006,0.018981019,0.018981019,0.014985015,0.005994006,0.016983017,0.016983017,0.00999001,1,0,0.325321146,1,0,0.325321146,1.331285618,0.571720715,1.712329613,0.767537066,0.428414016,0.674678854,0.325321146,0,0,0
Acrocephalus palustris,0.914328285,1,1,1,0.996003996,1,0.999000999,0.999000999,0.997002997,0.001998002,0.003996004,0.003996004,0.005994006,0.000999001,0.000999001,0.000999001,0.002997003,0.995468815,0.004531185,0.004569694,0.995549894,0.004450106,0.004569694,-0.021384778,1.025599942,-0.067346333,1.021306525,0.04616165,0.990940346,0.004549082,0.004429502,0,8.11E-05
Acrocephalus schoenobaenus,0.922926136,1,1,1,1,1,0.999000999,0.999000999,1,0.000999001,0.001998002,0.001998002,0.000999001,0.001998002,0.005994006,0.005994006,0.001998002,0.999810501,0.000189499,0.008968884,0.999810501,0.000189499,0.008893754,0.157586524,1.13409096,0.189800748,1.181165428,0.057041755,0.990845,0.00889141,0.0001878,7.58E-05,0
Acrocephalus scirpaceus,0.925629008,1,1,1,1,1,1,1,1,0.000999001,0.000999001,0.000999001,0.000999001,0.001998002,0.001998002,0.001998002,0.001998002,0.997498348,0.002501652,0.00061169,0.997498348,0.002501652,0.00061169,-0.039135189,0.372559365,-0.066143015,0.437647245,0.070468822,0.996889714,0.00061016,0.002500125,0,0
Aegithalos caudatus,0.944133471,1,1,1,1,1,1,1,1,0.003996004,0.003996004,0.003996004,0.003996004,0.003996004,0.003996004,0.003996004,0.003996004,0.998336622,0.001663378,0.000390776,0.998336622,0.001663378,0.000390776,-0.180411373,0.204966943,-0.176265441,0.320045132,0.115152848,0.997947145,0.000390126,0.001662729,0,0
Alectoris graeca,0.915070029,1,0.632367632,0.632367632,1,1,0.655344655,0.655344655,1,0.002997003,0.333666334,0.333666334,0.002997003,0.001998002,0.340659341,0.340659341,0.000999001,0.998668586,0.001331414,0.00050687,0.998805729,0.001194271,0.000439836,-0.887605082,1.108419351,-1.345383164,1.398075305,0.541720725,0.998163065,0.000439222,0.001193503,6.70E-05,0.000137237
Alectoris rufa,0.897508397,1,0.981018981,0.981018981,1,0.999000999,1,1,0.999000999,0.002997003,0.01998002,0.01998002,0.002997003,0.001998002,0.000999001,0.000999001,0.001998002,0.993169156,0.006830844,0.002835168,0.995255375,0.004744625,0.002835168,0.41816436,-0.410549104,0.292166899,-0.429504623,0.127415351,0.990372535,0.002815856,0.004721347,0,0.002090262
Anthus campestris,0.890369925,0.999000999,0.993006993,0.993006993,1,1,1,1,1,0.004995005,0.005994006,0.005994006,0.002997003,0.001998002,0.005994006,0.005994006,0.001998002,0.99710897,0.00289103,0.00289932,0.99710897,0.00289103,0.00289932,-0.218180892,-0.571517302,0.065289358,-0.836229694,0.387850529,0.994226366,0.002890962,0.002882672,0,0
Anthus petrosus,0.889674945,1,0.999000999,0.999000999,1,1,0.998001998,0.998001998,1,0.002997003,0.002997003,0.002997003,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.99521017,0.00478983,0.009505216,0.99521017,0.00478983,0.008316203,2.380964679,0.228032722,2.462139688,0.320719988,0.123208406,0.985795364,0.008266823,0.004744518,0.001193296,0
Anthus pratensis,0.976622212,1,1,1,1,1,1,1,1,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.999644787,0.000355213,0.000344499,0.999644787,0.000355213,0.000344499,-0.401637166,0.38536183,-0.260531062,0.399126225,0.141775849,0.999300533,0.000344377,0.000355091,0,0
Anthus trivialis,0.971874355,1,0.993006993,0.993006993,1,1,1,1,1,0.000999001,0.001998002,0.001998002,0.000999001,0.002997003,0.005994006,0.005994006,0.002997003,0.999162198,0.000837802,0.001689553,0.999162198,0.000837802,0.001689553,-0.467234018,0.843306097,-0.449095513,0.871790335,0.033769176,0.997475473,0.00168814,0.000836387,0,0
Apus apus,0.960032557,1,1,1,1,1,1,1,1,0.002997003,0.002997003,0.002997003,0.002997003,0.000999001,0.000999001,0.000999001,0.000999001,0.999653653,0.000346347,0.000519501,0.999653653,0.000346347,0.000519501,-0.227969364,0.375663227,-0.208486172,0.425666616,0.053665013,0.999134512,0.000519321,0.000346167,0,0
