"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","nS_NA","nE_NA","nU_NA","nS_A","nE_A","nU_A","n_centroid_hist_X","n_centroid_hist_Y","n_centroid_rec_X","n_centroid_rec_Y","n_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Acrocephalus arundinaceus",0.889544732164071,0.999000999000999,0.999000999000999,0.999000999000999,1,0.999000999000999,0.998001998001998,0.998001998001998,1,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.002997002997003,0.002997002997003,0.000999000999000999,0.997875493866791,0.00212450613320916,0.00192761172039928,0.997875493866791,0.00212450613320916,0.00192761172039928,-0.0236755302788287,0.823267231849944,-0.140219845609079,0.854312859649858,0.12060849240948,0.995956056031384,0.00192352437473796,0.00212041959387765,0,0
"Acrocephalus paludicola",0.555677001850769,0.996003996003996,1,1,0.988011988011988,0.994005994005994,1,1,0.991008991008991,0.00599400599400599,0.018981018981019,0.018981018981019,0.014985014985015,0.00599400599400599,0.016983016983017,0.016983016983017,0.00999000999000999,1,0,0.325321145824813,1,0,0.325321145824813,1.33128561849232,0.571720715343449,1.71232961323498,0.767537066348062,0.428414016169185,0.674678854175187,0.325321145824813,0,0,0
"Acrocephalus palustris",0.914328285238566,1,1,1,0.996003996003996,1,0.999000999000999,0.999000999000999,0.997002997002997,0.001998001998002,0.003996003996004,0.003996003996004,0.00599400599400599,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.002997002997003,0.995468815119418,0.00453118488058164,0.00456969409802033,0.995549893563056,0.00445010643694412,0.00456969409802033,-0.0213847779274759,1.02559994192572,-0.0673463327889013,1.0213065254829,0.0461616502091437,0.990940345688641,0.00454908216309571,0.00442950176529484,0,8.10703829688553e-05
"Acrocephalus schoenobaenus",0.922926135571532,1,1,1,1,1,0.999000999000999,0.999000999000999,1,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.001998001998002,0.00599400599400599,0.00599400599400599,0.001998001998002,0.999810500562635,0.000189499437365177,0.00896888414523492,0.999810500562635,0.000189499437365177,0.00889375407892123,0.157586524431353,1.13409096004395,0.189800748433147,1.18116542839683,0.0570417548708326,0.990845000054574,0.00889140977274782,0.000187800158050728,7.57900146270904e-05,0
"Acrocephalus scirpaceus",0.925629008280855,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.997498348351519,0.00250165164848056,0.000611689716676447,0.997498348351519,0.00250165164848056,0.000611689716676447,-0.0391351885248075,0.372559364621238,-0.0661430150326685,0.437647245244438,0.0704688221605742,0.996889714344553,0.000610160415776937,0.0025001252396706,0,0
"Aegithalos caudatus",0.94413347052345,1,1,1,1,1,1,1,1,0.003996003996004,0.003996003996004,0.003996003996004,0.003996003996004,0.003996003996004,0.003996003996004,0.003996003996004,0.003996003996004,0.998336622002769,0.00166337799723097,0.000390775508087969,0.998336622002769,0.00166337799723097,0.000390775508087969,-0.180411372739636,0.204966943125579,-0.176265440648836,0.320045131959037,0.115152847546601,0.997947145175074,0.000390125754290578,0.00166272907063513,0,0
"Alectoris graeca",0.915070029455606,1,0.632367632367632,0.632367632367632,1,1,0.655344655344655,0.655344655344655,1,0.002997002997003,0.333666333666334,0.333666333666334,0.002997002997003,0.001998001998002,0.340659340659341,0.340659340659341,0.000999000999000999,0.998668586361757,0.00133141363824321,0.000506869845650642,0.998805728810921,0.00119427118907881,0.000439836352622868,-0.887605081945044,1.10841935139047,-1.3453831640126,1.39807530485157,0.541720724909903,0.998163064983295,0.00043922158744613,0.00119350275646829,6.69737463868535e-05,0.000137236926403841
"Alectoris rufa",0.897508396903568,1,0.981018981018981,0.981018981018981,1,0.999000999000999,1,1,0.999000999000999,0.002997002997003,0.01998001998002,0.01998001998002,0.002997002997003,0.001998001998002,0.000999000999000999,0.000999000999000999,0.001998001998002,0.993169155926369,0.00683084407363125,0.00283516793583632,0.995255374846235,0.0047446251537646,0.00283516793583632,0.418164359690498,-0.410549104412498,0.292166899093086,-0.429504623433676,0.127415351423439,0.990372534719543,0.00281585587927064,0.00472134746376419,0,0.00209026193742195
"Anthus campestris",0.890369925361376,0.999000999000999,0.993006993006993,0.993006993006993,1,1,1,1,1,0.004995004995005,0.00599400599400599,0.00599400599400599,0.002997002997003,0.001998001998002,0.00599400599400599,0.00599400599400599,0.001998001998002,0.997108970343401,0.00289102965659932,0.00289931982768993,0.997108970343401,0.00289102965659932,0.00289931982768993,-0.218180891721516,-0.571517301574244,0.0652893577972758,-0.836229693831883,0.387850529169432,0.99422636616021,0.00289096204018461,0.00288267179960504,0,0
"Anthus petrosus",0.889674945326453,1,0.999000999000999,0.999000999000999,1,1,0.998001998001998,0.998001998001998,1,0.002997002997003,0.002997002997003,0.002997002997003,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.995210169796779,0.00478983020322062,0.00950521623249175,0.995210169796779,0.00478983020322062,0.0083162026855052,2.3809646787814,0.228032722442879,2.46213968848966,0.320719987754642,0.123208406174696,0.985795363593917,0.00826682262257274,0.00474451784159439,0.00119329594191574,0
"Anthus pratensis",0.976622212336048,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.999644787130271,0.000355212869729298,0.000344498876295279,0.999644787130271,0.000355212869729298,0.000344498876295279,-0.401637166170277,0.385361829720548,-0.260531061506395,0.399126224955136,0.141775848964443,0.99930053290925,0.000344376548002319,0.000355090542747414,0,0
"Anthus trivialis",0.971874355037378,1,0.993006993006993,0.993006993006993,1,1,1,1,1,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.002997002997003,0.00599400599400599,0.00599400599400599,0.002997002997003,0.999162198444351,0.000837801555649017,0.00168955308730592,0.999162198444351,0.000837801555649017,0.00168955308730592,-0.467234017940723,0.843306096704002,-0.449095512785918,0.87179033526854,0.0337691755281708,0.997475472803961,0.00168813996668038,0.000836387229358779,0,0
"Apus apus",0.960032556927975,1,1,1,1,1,1,1,1,0.002997002997003,0.002997002997003,0.002997002997003,0.002997002997003,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.999653653107372,0.000346346892627994,0.000519500786673405,0.999653653107372,0.000346346892627994,0.000519500786673405,-0.22796936400766,0.375663227459818,-0.208486172062112,0.425666615512451,0.0536650126724042,0.99913451201994,0.000519320952630335,0.000346167027429774,0,0
