"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","nS_NA","nE_NA","nU_NA","nS_A","nE_A","nU_A","n_centroid_hist_X","n_centroid_hist_Y","n_centroid_rec_X","n_centroid_rec_Y","n_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Acrocephalus arundinaceus",0.906614116185502,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.999962871081419,3.71289185811058e-05,0.00403755919181731,0.999962871081419,3.71289185811058e-05,0.00403755919181731,-0.242194298099926,0.839529644168775,-0.287816184016011,1.00461137742847,0.171269772962319,0.995925611099222,0.00403740988685976,3.69790139181381e-05,0,0
"Acrocephalus paludicola",0.534251980853599,1,1,1,0.991008991008991,1,1,1,0.993006993006993,0.003996003996004,0.032967032967033,0.032967032967033,0.00999000999000999,0.003996003996004,0.021978021978022,0.021978021978022,0.001998001998002,1,0,0.354681191810233,1,0,0.353360461812283,1.60449697576229,0.198733801202144,1.77354570306183,0.233794378928325,0.172646217195999,0.645318808189767,0.352638740150609,0,0.00204245165962358,0
"Acrocephalus palustris",0.965017291149203,1,1,1,0.997002997002997,1,1,1,0.999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.004995004995005,0.004995004995005,0.004995004995005,0.00799200799200799,1,0,0.00568578641197081,1,0,0.00568578641197081,-0.144575282039732,0.979912614388888,-0.169111891192738,1.00302925993144,0.0337108957144052,0.994314213588029,0.00568578641197081,0,0,0
"Acrocephalus schoenobaenus",0.920666349360137,1,1,1,0.999000999000999,1,1,1,0.999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,1,0,0.00946975416926086,1,0,0.0093623123953232,0.108666281419993,1.11395228054203,0.0983431787744066,1.25942860585404,0.145842132713826,0.990530245830739,0.0093612969852853,0,0.000108457183975562,0
"Acrocephalus scirpaceus",0.959087556392732,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,1,0,0.00219417970928576,1,0,0.00219417970928576,-0.082714398623617,0.348275791684172,-0.0796528894896597,0.369009233263438,0.0209582546481847,0.997805820290714,0.00219417970928575,0,0,0
"Aegithalos caudatus",0.952889439557278,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.999727529510541,0.0002724704894591,0.000959180296144372,0.999727529510541,0.0002724704894591,0.000959180296144372,-0.184086880544789,0.19931578409224,-0.158564818032402,0.191147562358057,0.026797304364152,0.998768871589293,0.000958919198431528,0.000272209212275752,0,0
"Alectoris graeca",0.89371237581418,1,0.992007992007992,0.992007992007992,1,1,1,1,1,0.000999000999000999,0.004995004995005,0.004995004995005,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.999690029245659,0.000309970754341081,0.00276882665866031,0.99986744116045,0.000132558839550186,0.00276882665866031,-0.88800352784848,1.10611118088186,-1.5110528541052,1.3551810514608,0.670989018821597,0.996922916456652,0.00276797077899785,0.000132168465024829,0,0.000176944299325892
"Alectoris rufa",0.933802431516083,1,1,1,1,1,1,1,1,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,0,0.00827547888221213,1,0,0.00827547888221213,0.438571615773404,-0.464117518165115,0.560225412469997,-0.527772144868914,0.13730097505661,0.991724521117788,0.00827547888221213,0,0,0
"Anthus campestris",0.866497731571167,0.998001998001998,1,1,1,0.998001998001998,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.002997002997003,0.001998001998002,0.001998001998002,0.001998001998002,0.999706653364523,0.000293346635477258,0.00695768123068377,0.999706653364523,0.000293346635477258,0.00695768123068377,-0.223393389461332,-0.567775303357585,0.269974755545367,-0.72372303783782,0.51742808427536,0.992753039367462,0.00695565441488079,0.00029130621765711,0,0
"Anthus petrosus",0.881261703526335,0.999000999000999,1,1,1,0.999000999000999,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.999728716209667,0.000271283790333057,0.00961389947528216,0.999728716209667,0.000271283790333057,0.00813718495885672,-2.36084505127386,0.222773957125597,-2.61344061317799,0.323976259568347,0.272114725645963,0.990120007156603,0.00812288706413862,0.000268676395977111,0.00148842938328123,0
