species,centroid_hist_X,centroid_hist_Y,centroid_rec_X,centroid_rec_Y,Eucl_distance,NS_shift,EW_shift,shift_direction,n_cells_hist,n_cells_rec,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,rS_NA,rE_NA,rU_NA,rS_A,rE_A,rU_A,range_stability_std,range_unfilling_std,range_expansion_std
Acrocephalus arundinaceus,4671018.795,2843627.301,4697707.511,2888997.045,52637.45105,45369.74442,26688.71567,34.10924432,1245,1312,0.948346587,1,0.584415584,0.584415584,1,1,0.604395604,0.604395604,1,0.000999001,0.401598402,0.401598402,0.000999001,0.000999001,0.411588412,0.411588412,0.000999001,0.996445656,0.003554344,0,0.996512045,0.003487955,0,0.996445656,0,0.003554344
Acrocephalus paludicola,5120702.497,3360271.026,5189333.729,3370440.545,69380.581,10169.51953,68631.23117,90.98080718,54,41,0.63594794,0.986013986,0.971028971,0.971028971,0.992007992,0.983016983,0.971028971,0.971028971,0.988011988,0.010989011,0.020979021,0.020979021,0.003996004,0.016983017,0.02997003,0.02997003,0.007992008,0.990713312,0.009286688,0.26578484,0.990713312,0.009286688,0.265683808,0.72919658,0.263968122,0.006835298
Acrocephalus palustris,4841587.392,3238676.865,4829802.298,3273255.281,36531.56556,34578.41587,-11785.09391,-12.84978039,1152,1226,0.953929905,1,0.834165834,0.834165834,1,1,0.816183816,0.816183816,1,0.000999001,0.175824176,0.175824176,0.000999001,0.000999001,0.163836164,0.163836164,0.000999001,0.99797045,0.00202955,0.001822498,0.997987651,0.002012349,0.001822498,0.996155335,0.001818806,0.002025859
Acrocephalus schoenobaenus,4676976.341,3475153.706,4683155.075,3509138.144,34541.55083,33984.43738,6178.733655,14.71581575,1454,1401,0.951861215,1,1,1,1,1,1,1,1,0.000999001,0.227772228,0.227772228,0.000999001,0.001998002,0.226773227,0.226773227,0.001998002,1,0,0.022435293,1,0,0.022435293,0.977564707,0.022435293,0
Acrocephalus scirpaceus,4517394.596,3003413.666,4529682.293,2996121.41,14288.61346,-7292.255444,12287.6965,122.8250163,1453,1623,0.932422559,1,0.482517483,0.482517483,1,1,0.493506494,0.493506494,1,0.001998002,0.498501499,0.498501499,0.001998002,0.000999001,0.512487512,0.512487512,0.000999001,0.996331028,0.003668972,0,0.996331028,0.003668972,0,0.996331028,0,0.003668972
Aegithalos caudatus,4450945.246,3033253.962,4479594.451,3048044.464,32241.83426,14790.50121,28649.20505,64.12292818,1777,1840,0.95928586,1,0.831168831,0.831168831,1,1,0.84015984,0.84015984,1,0.000999001,0.146853147,0.146853147,0.000999001,0.000999001,0.183816184,0.183816184,0.000999001,0.995886532,0.004113468,0.000318729,0.995886532,0.004113468,0.000318729,0.995570419,0.000317419,0.004112162
Alectoris graeca,4768832.579,2214608.374,4748365.764,2260965.881,50674.53989,46357.50707,-20466.81537,-19.79129667,179,144,0.848657262,1,0.999000999,0.999000999,1,1,1,1,1,0.000999001,0.003996004,0.003996004,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.998527089,0.001472911,0.053226655,0.998527089,0.001472911,0.053226655,0.945452955,0.053152423,0.001394622
Alectoris rufa,3480040.776,2494095.82,3526608.201,2516654.321,51743.70463,22558.50094,46567.42428,56.04791777,463,519,0.908357966,1,0.739260739,0.739260739,1,0.999000999,0.736263736,0.736263736,1,0.001998002,0.250749251,0.250749251,0.001998002,0.001998002,0.267732268,0.267732268,0.000999001,0.967191936,0.032808064,0,0.967488854,0.032511146,0,0.967191936,0,0.032808064
Anthus campestris,4609199.492,2654635.381,4608211.602,2609400.947,45245.22033,-45234.43417,-987.8907399,-175.9375203,852,778,0.895911766,1,0.72027972,0.72027972,1,1,0.727272727,0.727272727,1,0.000999001,0.23976024,0.23976024,0.000999001,0.000999001,0.262737263,0.262737263,0.000999001,0.996249233,0.003750767,0.00529645,0.996249233,0.003750767,0.00529645,0.990992336,0.005276689,0.003730976
Anthus petrosus,4005103.093,3907572.634,4014176.218,3928397.807,22715.84026,20825.17234,9073.124931,19.02552703,234,225,0.936686506,1,1,1,1,1,1,1,1,0.000999001,0.26973027,0.26973027,0.000999001,0.000999001,0.278721279,0.278721279,0.000999001,1,0,0.034726945,1,0,0.033721817,0.965273055,0.034726945,0
Anthus pratensis,4498815.456,3675137.549,4471407.868,3678556.185,27619.97365,3418.635923,-27407.58787,-80.58951911,1381,1360,0.978049509,1,0.847152847,0.847152847,1,1,0.823176823,0.823176823,1,0.000999001,0.162837163,0.162837163,0.000999001,0.000999001,0.15984016,0.15984016,0.000999001,0.999899007,0.000100993,0.002672796,0.999899007,0.000100993,0.002672796,0.99722675,0.002672527,0.000100723
Anthus trivialis,4599687.798,3330528.478,4589514.191,3320691.136,14151.87482,-9837.341122,-10173.60706,-130.7371055,1751,1740,0.971866908,1,0.909090909,0.909090909,1,1,0.899100899,0.899100899,1,0.000999001,0.096903097,0.096903097,0.000999001,0.000999001,0.086913087,0.086913087,0.000999001,0.999883131,0.000116869,0.005695614,0.999883131,0.000116869,0.005695614,0.994188844,0.005694952,0.000116203
Apus apus,4502958.457,3115065.016,4516066.854,3105477.033,16240.67359,-9587.982937,13108.39661,128.2116387,1968,1970,0.989287964,1,1,1,1,1,1,1,1,0.000999001,0.048951049,0.048951049,0.000999001,0.000999001,0.057942058,0.057942058,0.000999001,1,0,0.000259387,1,0,0.000259387,0.999740613,0.000259387,0
Apus pallidus,4132172.5,1974700.491,4095683.761,2048435.873,82269.88977,73735.38271,-36488.73936,-27.73008664,166,285,0.863623993,0.998001998,0.84015984,0.84015984,1,1,0.813186813,0.813186813,1,0.000999001,0.157842158,0.157842158,0.000999001,0.000999001,0.187812188,0.187812188,0.000999001,0.969281492,0.030718508,0.006713432,0.969281492,0.030718508,0.006713432,0.962972877,0.006508548,0.030518575
