"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Acrocephalus arundinaceus",4671018.79508425,2843627.30056344,4697707.51075206,2888997.04498605,52637.4510493276,45369.7444226132,26688.7156678084,34.1092443200519,1245,1312,0.948346587266249,1,0.584415584415584,0.584415584415584,1,1,0.604395604395604,0.604395604395604,1,0.000999000999000999,0.401598401598402,0.401598401598402,0.000999000999000999,0.000999000999000999,0.411588411588412,0.411588411588412,0.000999000999000999,0.996445656312842,0.00355434368715781,0,0.996512044905275,0.00348795509472468,0,0.996445656312842,0,0.00355434368715781
"Acrocephalus paludicola",5120702.49744516,3360271.02552902,5189333.72861469,3370440.54505934,69380.5809958613,10169.5195303243,68631.2311695311,90.9808071827909,54,41,0.635947940020795,0.986013986013986,0.971028971028971,0.971028971028971,0.992007992007992,0.983016983016983,0.971028971028971,0.971028971028971,0.988011988011988,0.010989010989011,0.020979020979021,0.020979020979021,0.003996003996004,0.016983016983017,0.02997002997003,0.02997002997003,0.00799200799200799,0.990713312031253,0.00928668796874745,0.265784840404743,0.990713312031253,0.00928668796874745,0.265683807838968,0.729196579897917,0.263968121713384,0.00683529838869891
"Acrocephalus palustris",4841587.39217933,3238676.86486093,4829802.29826954,3273255.28073021,36531.5655631081,34578.4158692816,-11785.0939097945,-12.8497803912633,1152,1226,0.953929905239124,1,0.834165834165834,0.834165834165834,1,1,0.816183816183816,0.816183816183816,1,0.000999000999000999,0.175824175824176,0.175824175824176,0.000999000999000999,0.000999000999000999,0.163836163836164,0.163836163836164,0.000999000999000999,0.997970449768679,0.00202955023132107,0.00182249821131002,0.997987651027837,0.00201234897216268,0.00182249821131002,0.996155335039856,0.0018188060871376,0.00202585887300619
"Acrocephalus schoenobaenus",4676976.34137048,3475153.70618324,4683155.07502566,3509138.14356507,34541.5508299984,33984.4373818319,6178.73365518451,14.7158157470186,1454,1401,0.951861214730297,1,1,1,1,1,1,1,1,0.000999000999000999,0.227772227772228,0.227772227772228,0.000999000999000999,0.001998001998002,0.226773226773227,0.226773226773227,0.001998001998002,1,0,0.0224352926713337,1,0,0.0224352926713337,0.977564707328666,0.0224352926713337,0
"Acrocephalus scirpaceus",4517394.59600482,3003413.66575382,4529682.29250138,2996121.41030983,14288.6134614931,-7292.25544399023,12287.6964965593,122.825016253621,1453,1623,0.932422558513263,1,0.482517482517482,0.482517482517482,1,1,0.493506493506494,0.493506493506494,1,0.001998001998002,0.498501498501498,0.498501498501498,0.001998001998002,0.000999000999000999,0.512487512487512,0.512487512487512,0.000999000999000999,0.996331028372044,0.00366897162795566,0,0.996331028372044,0.00366897162795566,0,0.996331028372044,0,0.00366897162795566
"Aegithalos caudatus",4450945.24617591,3033253.96228874,4479594.45122684,3048044.46350039,32241.8342552333,14790.5012116488,28649.2050509285,64.122928184783,1777,1840,0.959285859698497,1,0.831168831168831,0.831168831168831,1,1,0.84015984015984,0.84015984015984,1,0.000999000999000999,0.146853146853147,0.146853146853147,0.000999000999000999,0.000999000999000999,0.183816183816184,0.183816183816184,0.000999000999000999,0.995886531985804,0.00411346801419636,0.00031872940382808,0.995886531985804,0.00411346801419636,0.00031872940382808,0.995570418940842,0.000317418736782625,0.00411216232237549
"Alectoris graeca",4768832.57913025,2214608.37433272,4748365.7637602,2260965.88139885,50674.5398871879,46357.5070661348,-20466.8153700437,-19.7912966682023,179,144,0.8486572624457,1,0.999000999000999,0.999000999000999,1,1,1,1,1,0.000999000999000999,0.003996003996004,0.003996003996004,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.99852708929623,0.00147291070377029,0.0532266545371641,0.99852708929623,0.00147291070377029,0.0532266545371641,0.945452954592231,0.0531524234774701,0.00139462193029899
"Alectoris rufa",3480040.77632534,2494095.82028745,3526608.20060324,2516654.32122813,51743.7046274106,22558.5009406838,46567.4242778993,56.0479177654274,463,519,0.908357965889884,1,0.739260739260739,0.739260739260739,1,0.999000999000999,0.736263736263736,0.736263736263736,1,0.001998001998002,0.250749250749251,0.250749250749251,0.001998001998002,0.001998001998002,0.267732267732268,0.267732267732268,0.000999000999000999,0.967191936079645,0.0328080639203551,0,0.967488854062368,0.0325111459376323,0,0.967191936079645,0,0.0328080639203551
"Anthus campestris",4609199.49237946,2654635.381099,4608211.60163952,2609400.94692603,45245.2203338915,-45234.4341729651,-987.890739948489,-175.937520345725,852,778,0.895911765538709,1,0.72027972027972,0.72027972027972,1,1,0.727272727272727,0.727272727272727,1,0.000999000999000999,0.23976023976024,0.23976023976024,0.000999000999000999,0.000999000999000999,0.262737262737263,0.262737262737263,0.000999000999000999,0.996249232710286,0.00375076728971435,0.00529644951456459,0.996249232710286,0.00375076728971435,0.00529644951456459,0.9909923357509,0.00527668859034794,0.00373097565875167
"Anthus petrosus",4005103.09348872,3907572.63443071,4014176.2184202,3928397.80676846,22715.8402644297,20825.1723377472,9073.12493147841,19.025527028003,234,225,0.936686506259899,1,1,1,1,1,1,1,1,0.000999000999000999,0.26973026973027,0.26973026973027,0.000999000999000999,0.000999000999000999,0.278721278721279,0.278721278721279,0.000999000999000999,1,0,0.0347269449530848,1,0,0.0337218169395702,0.965273055046915,0.0347269449530848,0
"Anthus pratensis",4498815.4558578,3675137.54898498,4471407.86799206,3678556.18490816,27619.9736457697,3418.63592317328,-27407.5878657317,-80.5895191065475,1381,1360,0.978049508622979,1,0.847152847152847,0.847152847152847,1,1,0.823176823176823,0.823176823176823,1,0.000999000999000999,0.162837162837163,0.162837162837163,0.000999000999000999,0.000999000999000999,0.15984015984016,0.15984015984016,0.000999000999000999,0.999899007435527,0.000100992564472874,0.00267279641713947,0.999899007435527,0.000100992564472874,0.00267279641713947,0.997226750134926,0.00267252720597711,0.000100722659096719
"Anthus trivialis",4599687.79801843,3330528.47755623,4589514.19095873,3320691.13643379,14151.8748215365,-9837.34112243727,-10173.6070597032,-130.737105452035,1751,1740,0.971866908231008,1,0.909090909090909,0.909090909090909,1,1,0.899100899100899,0.899100899100899,1,0.000999000999000999,0.0969030969030969,0.0969030969030969,0.000999000999000999,0.000999000999000999,0.0869130869130869,0.0869130869130869,0.000999000999000999,0.999883131023133,0.000116868976867145,0.00569561399425522,0.999883131023133,0.000116868976867145,0.00569561399425522,0.994188844441897,0.00569495214446633,0.000116203413636713
"Apus apus",4502958.45742775,3115065.01635337,4516066.85404138,3105477.03341602,16240.673587858,-9587.98293735506,13108.3966136342,128.211638682683,1968,1970,0.989287963515682,1,1,1,1,1,1,1,1,0.000999000999000999,0.048951048951049,0.048951048951049,0.000999000999000999,0.000999000999000999,0.0579420579420579,0.0579420579420579,0.000999000999000999,1,0,0.000259386551957936,1,0,0.000259386551957936,0.999740613448042,0.000259386551957936,0
"Apus pallidus",4132172.50030851,1974700.49051651,4095683.76094389,2048435.87322314,82269.8897733065,73735.3827066266,-36488.7393646222,-27.7300866422583,166,285,0.863623992703938,0.998001998001998,0.84015984015984,0.84015984015984,1,1,0.813186813186813,0.813186813186813,1,0.000999000999000999,0.157842157842158,0.157842157842158,0.000999000999000999,0.000999000999000999,0.187812187812188,0.187812187812188,0.000999000999000999,0.969281492253293,0.0307185077467072,0.00671343206875371,0.969281492253293,0.0307185077467072,0.00671343206875371,0.962972877436411,0.00650854768950135,0.0305185748740874
"Aquila adalberti",2956344.88128768,1915488.84947656,3021949.40253361,1929762.51275538,67139.3377335944,14273.6632788137,65604.5212459378,65.8682243694668,30,42,0.691381084022854,0.982017982017982,0.927072927072927,0.927072927072927,0.977022977022977,0.976023976023976,0.927072927072927,0.927072927072927,0.971028971028971,0.021978021978022,0.0709290709290709,0.0709290709290709,0.038961038961039,0.032967032967033,0.0849150849150849,0.0849150849150849,0.041958041958042,0.764776478403315,0.235223521596685,0.0373480491061121,0.764776478403315,0.235223521596685,0.0373480491061121,0.742738631523325,0.028816062604331,0.228445305872344
"Aquila chrysaetos",4425846.28857444,3164574.56524839,4417767.80434123,3270321.16260238,106054.72530469,105746.597353991,-8078.48423321359,-3.17717215653178,695,812,0.916476051366995,1,1,1,1,1,1,1,1,0.000999000999000999,0.609390609390609,0.609390609390609,0.000999000999000999,0.001998001998002,0.632367632367632,0.632367632367632,0.001998001998002,1,0,0.0229365232348473,1,0,0.0229365232348473,0.977063476765153,0.0229365232348473,0
"Branta leucopsis",4381394.26386287,4417172.05358506,4421728.22059959,3953124.53728335,465797.086134967,-464047.51630171,40333.956736722,176.061366834552,41,281,0.643554826271286,1,0.763236763236763,0.763236763236763,1,1,0.755244755244755,0.755244755244755,1,0.000999000999000999,0.247752247752248,0.247752247752248,0.000999000999000999,0.000999000999000999,0.22977022977023,0.22977022977023,0.000999000999000999,0.932356247214813,0.0676437527851872,0.0208353507729652,0.939745898116368,0.0602541018836322,0.0203712612044681,0.914218760599456,0.0194533866958452,0.0663278527046988
"Buteo buteo",4527269.87824686,3050396.24331133,4509565.24389556,3041030.13113651,20029.4317139684,-9366.11217482062,-17704.6343512991,-115.606761117196,1895,1936,0.976704696568263,1,1,1,1,1,1,1,1,0.000999000999000999,0.487512487512487,0.487512487512487,0.000999000999000999,0.000999000999000999,0.507492507492508,0.507492507492508,0.000999000999000999,1,0,9.59333956953796e-05,1,0,9.59333956953796e-05,0.999904066604305,9.59333956953796e-05,0
"Caprimulgus ruficollis",3108632.12539844,1959143.6892079,3131781.09949623,1949247.64693781,25175.5169637422,-9896.04227009951,23148.9740977883,102.590416214338,102,110,0.909129655395339,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.988951281676346,0.011048718323654,0.0372396325510928,0.988951281676346,0.011048718323654,0.0372396325510928,0.952515011837943,0.0368433415411933,0.0106416466208631
"Carduelis carduelis",4480765.99505855,2891019.60559263,4484597.60946429,2970986.11469039,80058.2528302789,79966.5090977629,3831.61440573819,4.42056918298006,1765,1873,0.948466137896258,1,0.510489510489511,0.510489510489511,1,1,0.480519480519481,0.480519480519481,1,0.001998001998002,0.513486513486514,0.513486513486514,0.001998001998002,0.001998001998002,0.513486513486514,0.513486513486514,0.001998001998002,0.995496535653392,0.00450346434660738,0,0.995496535653392,0.00450346434660738,0,0.995496535653393,0,0.00450346434660738
"Carduelis citrinella",3841630.95928123,2421286.0277433,3827298.12849041,2397544.01579138,27732.8896800067,-23742.0119519187,-14332.8307908233,-153.397264947073,140,138,0.904407441352044,0.998001998001998,0.998001998001998,0.998001998001998,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.002997002997003,0.002997002997003,0.001998001998002,0.950325625101761,0.0496743748982391,0,0.950325625101761,0.0496743748982391,0,0.950325625101761,0,0.0496743748982391
"Certhia brachydactyla",4249870.37020888,2627404.2184293,4264973.97994245,2627837.79258633,15109.8316844899,433.574157027528,15103.6097335694,87.6377496268481,1087,1126,0.968418142133414,1,0.976023976023976,0.976023976023976,1,1,0.97002997002997,0.97002997002997,1,0.000999000999000999,0.030969030969031,0.030969030969031,0.000999000999000999,0.000999000999000999,0.030969030969031,0.030969030969031,0.000999000999000999,0.996125477732406,0.00387452226759429,0.000422755482233496,0.996125477732406,0.00387452226759429,0.000422755482233496,0.99570599116775,0.000421118196485136,0.00387289063576472
"Cettia cetti",3950033.02305914,2266205.71053641,3957174.47296573,2341040.93905052,75175.2069071108,74835.228514106,7141.44990659785,2.1500425514455,598,671,0.923931682141752,0.999000999000999,0.9000999000999,0.9000999000999,1,1,0.91008991008991,0.91008991008991,1,0.000999000999000999,0.0879120879120879,0.0879120879120879,0.000999000999000999,0.000999000999000999,0.0879120879120879,0.0879120879120879,0.000999000999000999,0.995763486072016,0.00423651392798446,0.00600321618620481,0.995763486072016,0.00423651392798446,0.00600321618620481,0.98981087616676,0.00597793551231347,0.00421118832092595
"Charadrius hiaticula",4305876.4483712,4078374.30091629,4335366.4120044,4075739.45137113,29607.4380386668,-2634.84954516264,29489.9636332067,94.8988017825073,626,637,0.954184974002271,1,0.885114885114885,0.885114885114885,1,1,0.877122877122877,0.877122877122877,1,0.000999000999000999,0.124875124875125,0.124875124875125,0.000999000999000999,0.000999000999000999,0.140859140859141,0.140859140859141,0.000999000999000999,0.999942615010166,5.73849898343778e-05,0.00340512871867521,0.999942615010166,5.73849898343778e-05,0.00340512871867521,0.996537876421534,0.00340493398073356,5.71895977325067e-05
"Ciconia ciconia",4814503.31565627,2918622.68800251,4692989.64609168,2863154.66649233,133574.972585833,-55468.0215101726,-121513.669564593,-109.282770971746,919,1109,0.896050236539988,1,0.9000999000999,0.9000999000999,1,0.999000999000999,0.893106893106893,0.893106893106893,1,0.003996003996004,0.0959040959040959,0.0959040959040959,0.000999000999000999,0.000999000999000999,0.101898101898102,0.101898101898102,0.000999000999000999,0.996938208834106,0.00306179116589439,0.00028431245992696,0.996938208834106,0.00306179116589439,0.00028431245992696,0.996655634473647,0.000283442201286762,0.00306092332506645
"Cinclus cinclus",4272710.50632323,3136730.83829723,4297583.14373574,3196247.77736264,64505.148070294,59516.9390654131,24872.6374125155,22.1375378641257,1035,1018,0.92564835941734,1,0.958041958041958,0.958041958041958,1,1,0.961038961038961,0.961038961038961,1,0.000999000999000999,0.036963036963037,0.036963036963037,0.000999000999000999,0.001998001998002,0.040959040959041,0.040959040959041,0.001998001998002,0.999942079116615,5.7920883385389e-05,0.0197885502214617,0.999942079116615,5.7920883385389e-05,0.0197885502214617,0.980155798490938,0.019787426730913,5.67747781492108e-05
