"species","stability"
"Acanthis flammea",0.36697812708126
"Accipiter brevipes",0.403671664216246
"Accipiter gentilis",0.454489745317283
"Accipiter nisus",0.480222991364009
"Acrocephalus agricola",0.0493943705791671
"Acrocephalus arundinaceus",0.618569224057945
"Acrocephalus dumetorum",0.343154476170259
"Acrocephalus melanopogon",0.431041633672754
"Acrocephalus paludicola",0.93087207032538
"Acrocephalus palustris",0.838022001728719
"Acrocephalus schoenobaenus",0.675276339777947
"Acrocephalus scirpaceus",0.523288661116388
"Actitis hypoleucos",0.421112956098137
"Aegithalos caudatus",0.535375592744181
"Aegolius funereus",0.363440798160976
"Aegypius monachus",0.0852376717531467
"Aix galericulata",0.178212321300181
"Alauda arvensis",0.502519408343743
"Alcedo atthis",0.368152458312298
"Alectoris chukar",0.073136796599159
"Alectoris graeca",0.861669545458874
"Alectoris rufa",0.991589857484489
"Alopochen aegyptiaca",0.0857970242192679
"Anas acuta",0.362751809702716
"Anas crecca",0.465604214004047
"Anser anser",0.379967828870547
"Anser brachyrhynchus",0.52982322557266
"Anser fabalis",0.101138376830361
"Anthus campestris",0.52279874329364
"Anthus cervinus",0.172709378695455
"Anthus petrosus",0.978217333448653
"Anthus pratensis",0.862475875102008
"Anthus spinoletta",0.324188627048858
"Anthus trivialis",0.583662128078549
"Apus apus",0.537592402396177
"Apus pallidus",0.654774086618128
"Aquila adalberti",0.957095842697428
"Aquila chrysaetos",0.541450123832634
"Aquila fasciata",0.284870493132916
"Aquila heliaca",0.115351093492255
"Ardea alba",0.16253982824598
"Ardea cinerea",0.225803140322154
"Ardea purpurea",0.174728219521803
"Ardeola ralloides",0.134659480107664
"Arenaria interpres",0.324269889388797
"Asio flammeus",0.433436132624989
"Asio otus",0.461867356994755
"Athene noctua",0.335552169056659
"Aythya ferina",0.366342140050314
"Aythya fuligula",0.404834711088863
"Aythya marila",0.440953676375025
"Aythya nyroca",0.415216105393915
"Bombycilla garrulus",0.279125339407919
"Botaurus stellaris",0.271232201886264
"Branta canadensis",0.485212722687009
"Branta leucopsis",0.695252346328381
"Bubo bubo",0.372413956309163
"Bubo scandiacus",0.085612743619973
"Bubulcus ibis",0.209844456436802
"Bucephala clangula",0.321367906762302
"Burhinus oedicnemus",0.461518964520723
"Buteo buteo",0.721339104805555
"Buteo lagopus",0.281087235749244
"Buteo rufinus",0.290362020437301
"Calandrella brachydactyla",0.435108536678801
"Calcarius lapponicus",0.252073205076266
"Calidris alpina",0.446056213819058
"Calidris maritima",0.43070173481821
"Calidris temminckii",0.260971038220605
"Caprimulgus europaeus",0.485267664298871
"Caprimulgus ruficollis",0.842834761077663
"Carduelis carduelis",0.75897570547894
"Carduelis citrinella",0.99706139183306
"Carpodacus erythrinus",0.302318902300717
"Cecropis daurica",0.234830381835995
"Certhia brachydactyla",0.966375778002529
"Certhia familiaris",0.485570448123224
"Cettia cetti",0.621436662504715
"Charadrius alexandrinus",0.271299555684972
"Charadrius dubius",0.355470035470547
"Charadrius hiaticula",0.536799130352684
"Chersophilus duponti",0.364220266311007
"Chlidonias hybrida",0.254198542873687
"Chlidonias leucopterus",0.148034970180408
"Chlidonias niger",0.345147622166673
"Ciconia ciconia",0.864509436228036
"Ciconia nigra",0.254388743924551
"Cinclus cinclus",0.560022121623939
"Circaetus gallicus",0.414988322250613
"Circus aeruginosus",0.51237415982477
