"species","stability","PCA_percent"
"Acanthis flammea",0.376990482821577,0.727812691382706
"Accipiter brevipes",0.399707725771684,0.704838902586074
"Accipiter gentilis",0.452480081918222,0.68522122180777
"Accipiter nisus",0.481924620116261,0.660365034181513
"Acrocephalus agricola",0.0507105828202866,0.677656985373012
"Acrocephalus arundinaceus",0.641400123373168,0.669951314455341
"Acrocephalus dumetorum",0.373645938607803,0.687225955455921
"Acrocephalus melanopogon",0.416079297315335,0.719720898172545
"Acrocephalus paludicola",0.917922613267479,0.704749100044906
"Acrocephalus palustris",0.836732764779571,0.623599378288095
"Acrocephalus schoenobaenus",0.671359617912055,0.738591866680765
"Acrocephalus scirpaceus",0.529188657005796,0.723130460640574
"Actitis hypoleucos",0.415601580499897,0.729000193790523
"Aegithalos caudatus",0.533830658274373,0.695698083903994
"Aegolius funereus",0.360750192326943,0.731853118132131
"Aegypius monachus",0.0990455714795046,0.720816946662347
"Alauda arvensis",0.505649801341114,0.720718768110627
"Alcedo atthis",0.378760168304376,0.675978391610965
"Alectoris chukar",0.0732468293477713,0.658228358862112
"Alectoris graeca",0.837655222552887,0.733567060339367
"Alectoris rufa",0.990895140386133,0.743083921199595
"Anas acuta",0.336768483572893,0.702532585891665
"Anas crecca",0.46119761409459,0.741088481807764
"Anser anser",0.382790667962526,0.761641446582965
"Anser brachyrhynchus",0.491063923966279,0.860398306919039
"Anser fabalis",0.0970131690023907,0.685667833816536
"Anthus campestris",0.519866505771403,0.670724660729872
"Anthus cervinus",0.133432364695881,0.727643287659845
"Anthus petrosus",0.977986283367981,0.728913383870069
"Anthus pratensis",0.853724612093393,0.736039298925016
"Anthus spinoletta",0.338352580212794,0.767614456602055
"Anthus trivialis",0.598165673118646,0.724542760167847
"Apus apus",0.546280130737152,0.700632031545478
"Apus pallidus",0.700855357134225,0.761777647725168
"Aquila adalberti",0.971312950740405,0.739761308451168
"Aquila chrysaetos",0.544559648550878,0.697358232484678
"Aquila fasciata",0.299087290688084,0.640134138444916
"Aquila heliaca",0.10601190269861,0.732879786798074
"Ardea alba",0.16418853668744,0.717416328960253
"Ardea cinerea",0.228216014580117,0.725588182613388
"Ardea purpurea",0.176973475853075,0.6892812162903
"Ardeola ralloides",0.131901407623734,0.670926331555778
"Arenaria interpres",0.307071183257144,0.749088689864104
"Asio flammeus",0.427362236428823,0.71054129733968
"Asio otus",0.471380130706232,0.716969906598668
"Athene noctua",0.338222842450371,0.666670434011263
"Aythya ferina",0.370472864722248,0.73968309106569
"Aythya fuligula",0.40761287144712,0.7538817986973
"Aythya marila",0.393698935501294,0.698683914556213
"Aythya nyroca",0.431526057192466,0.700338819254422
"Bombycilla garrulus",0.255353788223082,0.720282145354125
"Botaurus stellaris",0.273347751377418,0.662553782379034
"Branta leucopsis",0.642818633929918,0.783940298571864
"Bubo bubo",0.381345376073421,0.65910933718121
"Bubo scandiacus",0.0677633869521276,0.724149294038373
"Bubulcus ibis",0.209961569609043,0.685117315928918
"Bucephala clangula",0.321354147107298,0.726807944875364
"Burhinus oedicnemus",0.46964053547042,0.693114476328737
"Buteo buteo",0.735701422522496,0.681848792754115
"Buteo lagopus",0.240774834986164,0.774065588416526
"Buteo rufinus",0.288608439907233,0.67666184249824
"Calandrella brachydactyla",0.443266586658987,0.675848043016022
"Calcarius lapponicus",0.224635743121525,0.737127460006377
"Calidris alpina",0.438322409380048,0.747899535329487
"Calidris maritima",0.427484337812976,0.738608562941862
"Calidris temminckii",0.231735456246947,0.773780604616322
"Caprimulgus europaeus",0.485371999418112,0.713962401628209
"Caprimulgus ruficollis",0.839808428818732,0.699647775260301
"Carduelis carduelis",0.762322989226975,0.716949377064046
"Carduelis citrinella",0.99757453590788,0.752663647488663
"Carpodacus erythrinus",0.304691428415571,0.612529745668339
"Cecropis daurica",0.235918049326364,0.68562111399303
"Certhia brachydactyla",0.973946665705101,0.67307274901568
"Certhia familiaris",0.48510951767662,0.725283195903391
"Cettia cetti",0.617162803811353,0.672383315117935
"Charadrius alexandrinus",0.285217469263112,0.688289819010934
"Charadrius dubius",0.36269351181308,0.678157049344169
"Charadrius hiaticula",0.505652756746897,0.756542280817467
"Chersophilus duponti",0.367550816896888,0.78638510071011
"Chlidonias hybrida",0.274996308890734,0.67272272169492
"Chlidonias leucopterus",0.144372398744926,0.704668103145282
"Chlidonias niger",0.319963731318916,0.670464673701778
"Ciconia ciconia",0.871623689445648,0.684285229962481
"Ciconia nigra",0.257089544226201,0.677038363685057
"Cinclus cinclus",0.555259299614921,0.642690720672264
"Circaetus gallicus",0.435347545424174,0.695228295562915
"Circus aeruginosus",0.504418177399978,0.694823018938004
"Circus cyaneus",0.402187335616793,0.71449368268327
"Circus macrourus",0.218647236134514,0.747571459393214
"Circus pygargus",0.630675707709776,0.706072931681858
"Cisticola juncidis",0.240006891769342,0.642278016961593
"Clamator glandarius",0.14881664812301,0.651081105819735
"Clangula hyemalis",0.287718904557946,0.759634121366996
"Coccothraustes coccothraustes",0.564635771037839,0.70035912609426
"Columba oenas",0.764159996984331,0.668473478541513
"Columba palumbus",0.830931999084119,0.691299295427067
"Coracias garrulus",0.602844553891279,0.690188311490978
"Corvus corax",0.395016084031622,0.684550178821414
"Corvus frugilegus",0.389484868440226,0.684193228318902
"Coturnix coturnix",0.496707426401793,0.653685324456356
"Crex crex",0.512029598361104,0.740049163202943
