"species","niche_breadth_zcor"
"Acanthis flammea",6.77405892553805
"Accipiter brevipes",5.44690496770362
"Accipiter gentilis",6.8656430242812
"Accipiter nisus",6.7398908449444
"Acrocephalus agricola",5.39622236671717
"Acrocephalus arundinaceus",5.89968434899527
"Acrocephalus dumetorum",5.07384691533124
"Acrocephalus melanopogon",5.1076285686094
"Acrocephalus paludicola",2.02249129704393
"Acrocephalus palustris",5.23875594813944
"Acrocephalus schoenobaenus",5.99714230928867
"Acrocephalus scirpaceus",6.43312257723394
"Actitis hypoleucos",6.52578777527367
"Aegithalos caudatus",6.52076833540889
"Aegolius funereus",6.44852537364943
"Aegypius monachus",5.72872137435949
"Aix galericulata",6.30322295000166
"Alauda arvensis",6.74884712473292
"Alcedo atthis",7.32136822910697
"Alectoris chukar",6.27933612844054
"Alectoris graeca",5.98513263368397
"Alectoris rufa",5.29031756255457
"Alopochen aegyptiaca",5.96502669414177
"Anas acuta",6.38526445316468
"Anas crecca",6.27685503496878
"Anser anser",6.27589212323315
"Anser brachyrhynchus",5.21861048358194
"Anser fabalis",5.34964155058404
"Anthus campestris",5.96678543599257
"Anthus cervinus",5.26043699341308
"Anthus petrosus",5.60329222493389
"Anthus pratensis",6.25898378239884
"Anthus spinoletta",6.13152859687328
"Anthus trivialis",6.33815118273335
"Apus apus",6.33944239664841
"Apus pallidus",5.58566637423702
"Aquila adalberti",3.71977194269919
"Aquila chrysaetos",6.99897144345732
"Aquila fasciata",6.35598958930229
"Aquila heliaca",5.60562971546207
"Ardea alba",7.60144926831615
"Ardea cinerea",7.20292904725846
"Ardea purpurea",7.14723156523688
"Ardeola ralloides",6.42122789123036
"Arenaria interpres",6.1276448377469
"Asio flammeus",7.14151277890734
"Asio otus",6.37419614635212
"Athene noctua",6.60024138332031
"Aythya ferina",5.86606898083229
"Aythya fuligula",6.20299597554191
"Aythya marila",6.18567132216002
"Aythya nyroca",5.92595027930009
"Bombycilla garrulus",5.88925114036874
"Botaurus stellaris",6.05185155268771
"Branta canadensis",6.7312658359391
"Branta leucopsis",5.49590209718457
"Bubo bubo",6.5303119861642
"Bubo scandiacus",6.02189497337432
"Bubulcus ibis",7.40789237383676
"Bucephala clangula",6.1348533108235
"Burhinus oedicnemus",5.85673410586049
"Buteo buteo",6.01186574573948
"Buteo lagopus",5.87606820766
"Buteo rufinus",5.86485515739684
"Calandrella brachydactyla",5.8805938577692
"Calcarius lapponicus",6.26754851839207
"Calidris alpina",6.47581851675047
"Calidris maritima",6.12512085715007
"Calidris temminckii",5.53844392312926
"Caprimulgus europaeus",6.17078664873398
"Caprimulgus ruficollis",4.33966221278577
"Carduelis carduelis",6.27853226434411
"Carduelis citrinella",5.11961930747572
"Carpodacus erythrinus",6.56754004611544
"Cecropis daurica",7.15546791890319
"Certhia brachydactyla",5.35480250211582
"Certhia familiaris",6.25694097932807
"Cettia cetti",5.95652059851709
"Charadrius alexandrinus",6.57366424768646
"Charadrius dubius",7.2134731893379
"Charadrius hiaticula",6.41795724978877
"Chersophilus duponti",4.11478103297832
"Chlidonias hybrida",6.39002843597701
"Chlidonias leucopterus",5.62377166794408
"Chlidonias niger",5.33707375985077
"Ciconia ciconia",5.41739989350932
"Ciconia nigra",6.1613171719548
"Cinclus cinclus",6.76412576140838
"Circaetus gallicus",6.52964299505826
"Circus aeruginosus",5.9205025122981
"Circus cyaneus",6.03025639013506
"Circus macrourus",5.26660953003423
"Circus pygargus",5.55141075970065
"Cisticola juncidis",7.09454479140111
"Clamator glandarius",6.00242019584752
"Clangula hyemalis",6.51058758252333
"Coccothraustes coccothraustes",5.86595861971851
"Columba livia",6.9899528007718
"Columba oenas",5.65115635125416
"Columba palumbus",6.24210206060825
"Coracias garrulus",5.84183591677845
"Corvus corax",7.16013814670984
"Corvus frugilegus",6.11320818136866
"Coturnix coturnix",6.6500461337542
"Crex crex",6.01154594101737
"Cyanistes caeruleus",5.95184622767331
"Cygnus cygnus",5.91520348623605
"Cygnus olor",5.69243209650404
"Dendrocopos major",6.67380367741716
"Dryocopus martius",6.13078902151188
"Egretta garzetta",7.3379500248004
"Elanus caeruleus",6.93416327081539
"Emberiza caesia",4.76023950330701
"Emberiza calandra",5.637747707221
"Emberiza cia",6.46027088483317
"Emberiza cirlus",5.36371383323279
"Emberiza citrinella",6.36167210945295
"Emberiza hortulana",5.75065931224986
"Emberiza melanocephala",5.3978212571697
"Emberiza pusilla",5.22090729616186
"Emberiza rustica",5.35153435779608
"Emberiza schoeniclus",6.35605320347203
"Eremophila alpestris",6.89789100703742
"Erithacus rubecula",5.99394586147709
"Estrilda astrild",6.17163950125494
"Falco biarmicus",6.11726731397327
"Falco cherrug",5.56895102948005
"Falco columbarius",6.46799615805775
"Falco eleonorae",3.75405406586311
"Falco naumanni",5.91867667946033
"Falco peregrinus",7.75566705463665
"Falco rusticolus",6.36496588675433
"Falco subbuteo",6.48350550678276
"Falco vespertinus",5.35499987046706
"Ficedula albicollis",4.59344428724687
"Ficedula hypoleuca",5.83042412565689
"Ficedula parva",5.17016320586659
"Ficedula semitorquata",5.57511140489144
"Fringilla montifringilla",5.81516054866322
"Fulica atra",7.00039700867883
"Galerida cristata",6.48609280057133
"Galerida theklae",5.75805907419099
"Gallinago gallinago",6.28244900048044
"Gallinula chloropus",7.49861294214138
"Garrulus glandarius",6.37514161929397
"Gavia arctica",6.03299399149208
"Gavia immer",6.51976416056929
"Gavia stellata",6.59618151252742
"Glareola pratincola",6.26744815754063
"Glaucidium passerinum",5.6126716620535
"Grus grus",5.78835745278612
"Gypaetus barbatus",6.53001290465864
"Gyps fulvus",6.07663808102841
"Haematopus ostralegus",6.17088484925688
"Haliaeetus albicilla",6.27090804662707
