"species","stability"
"Sylvia undata",0.991486718555498
"Passer italiae",0.989641964271173
"Carduelis citrinella",0.986849567035766
"Alectoris rufa",0.986412217643537
"Alectoris graeca",0.984287746039303
"Loxia pytyopsittacus",0.981110760309706
"Anthus petrosus",0.980748880708787
"Regulus ignicapilla",0.979262263396981
"Emberiza cirlus",0.975168617861566
"Prunella modularis",0.958099851943432
"Milvus milvus",0.956856938850509
"Certhia brachydactyla",0.956439625890682
"Lophophanes cristatus",0.947624335860084
"Anthus pratensis",0.938690325476275
"Serinus serinus",0.927548680848676
"Lullula arborea",0.919543517896709
"Hippolais polyglotta",0.918593070605515
"Sturnus unicolor",0.915187052736227
"Erithacus rubecula",0.913425799477147
"Ficedula albicollis",0.909201451087383
"Hippolais olivetorum",0.903932014434515
"Phylloscopus bonelli",0.903408685768664
"Cyanistes caeruleus",0.902446830740626
"Turdus torquatus",0.893481907015025
"Sylvia melanocephala",0.883593151202961
"Branta leucopsis",0.878249696961896
"Columba palumbus",0.855367117039644
"Emberiza caesia",0.848173119102172
"Acrocephalus palustris",0.848107140861821
"Sylvia atricapilla",0.846572795896292
"Anser brachyrhynchus",0.845136710488626
"Aquila adalberti",0.844396651837901
"Hippolais icterina",0.842787273943399
"Sylvia borin",0.835765905942952
"Ciconia ciconia",0.832642075900301
"Saxicola rubetra",0.822622304071254
"Falco eleonorae",0.818665432255408
"Strix aluco",0.815072008378855
"Ficedula hypoleuca",0.801013168864996
"Columba oenas",0.798151042385808
"Pluvialis apricaria",0.796849482257815
"Pernis apivorus",0.77737496519829
"Lanius senator",0.768555187175794
"Buteo buteo",0.766405758843157
"Linaria cannabina",0.7656749273019
"Emberiza hortulana",0.755363550363047
"Ficedula parva",0.748834276966626
"Oenanthe hispanica",0.723214430006293
"Phoenicurus phoenicurus",0.719143474654041
"Sylvia conspicillata",0.71727843342551
"Caprimulgus ruficollis",0.714676072486395
"Turdus philomelos",0.714272303256729
"Acrocephalus schoenobaenus",0.711734343166453
"Sylvia communis",0.710816827765609
"Emberiza cia",0.691289310314325
"Emberiza citrinella",0.679424090389784
"Somateria mollissima",0.669871084937935
"Locustella luscinioides",0.669333771403894
"Sitta neumayer",0.668483586019101
"Lanius collurio",0.662267271070161
"Sylvia hortensis",0.661386738657633
"Carduelis carduelis",0.659148252823879
"Poecile lugubris",0.656717815900707
"Turdus iliacus",0.651183004461096
"Turdus viscivorus",0.648632932775003
"Emberiza melanocephala",0.647874085149965
"Charadrius hiaticula",0.646260077317028
"Troglodytes troglodytes",0.644578556681601
"Numenius phaeopus",0.644352041974534
"Emberiza calandra",0.639689451916896
"Melanocorypha calandra",0.636228647121657
"Regulus regulus",0.635166404394076
"Anthus trivialis",0.63025519221468
"Otus scops",0.626769480213628
"Cygnus olor",0.623666702422572
"Perdix perdix",0.619531800835411
"Locustella naevia",0.617367038426645
"Remiz pendulinus",0.615800830222655
"Luscinia megarhynchos",0.613363588752554
"Spinus spinus",0.607732492958913
"Circus pygargus",0.603677795894021
"Aquila chrysaetos",0.603286664394179
"Coracias garrulus",0.601107201322004
"Phasianus colchicus",0.59658200653935
"Sturnus vulgaris",0.585089975296501
"Apus pallidus",0.583546821175902
"Luscinia luscinia",0.577894873396395
"Haematopus ostralegus",0.577873220805107
"Poecile palustris",0.575444124301386
"Tetrao urogallus",0.573693242715948
"Cinclus cinclus",0.573421936706374
"Rallus aquaticus",0.569610286524398
"Locustella fluviatilis",0.565818415760386
"Phylloscopus trochilus",0.560430598016376
"Melanitta nigra",0.549712524802613
"Acrocephalus melanopogon",0.549386914984098
"Numenius arquata",0.54728691064637
"Apus apus",0.544353410896229
"Sylvia ruppeli",0.54345894312315
"Oenanthe leucura",0.537885943186365
"Coccothraustes coccothraustes",0.537249452133566
"Dendrocopos major",0.536707835806751
"Vanellus vanellus",0.533011401590038
"Turdus pilaris",0.52988330513494
"Cettia cetti",0.528476334471363
"Porzana porzana",0.52800322336741
"Hieraaetus pennatus",0.526463448444913
"Aegithalos caudatus",0.522972474259439
"Garrulus glandarius",0.521947583643749
"Lanius minor",0.521612234810564
"Crex crex",0.521454041949373
"Periparus ater",0.520258155348742
"Larus ridibundus",0.517685220206022
"Sylvia curruca",0.517533791039239
"Ficedula semitorquata",0.51576219958192
"Oriolus oriolus",0.511140775850286
"Circus aeruginosus",0.506513115453453
"Accipiter nisus",0.506449418624365
"Pyrrhula pyrrhula",0.505870438430078
"Merops apiaster",0.503261518726167
"Anthus campestris",0.503092173703249
"Limosa limosa",0.497808303458091
"Tringa totanus",0.496979241043859
"Tringa nebularia",0.496268068999856
"Monticola solitarius",0.495981775789707
"Jynx torquilla",0.494086179060089
"Ptyonoprogne rupestris",0.494069982963109
"Streptopelia turtur",0.49183204713401
"Fringilla montifringilla",0.491168328366206
"Anas crecca",0.490301534482203
"Acrocephalus scirpaceus",0.489406403305328
"Pica pica",0.489383310955027
"Caprimulgus europaeus",0.488434190490315
"Loxia curvirostra",0.486797034057552
"Emberiza schoeniclus",0.48358207648156
"Accipiter gentilis",0.482294613424341
"Asio otus",0.480158547140165
"Scolopax rusticola",0.478923677999411
"Columba livia",0.476121516445205
"Riparia riparia",0.473756639139661
"Melanitta fusca",0.47346301309042
"Falco columbarius",0.472051917755021
"Poecile montanus",0.471927066001265
"Coturnix coturnix",0.471138986798567
"Streptopelia decaocto",0.468159728309862
"Sitta europaea",0.467736688658234
"Sterna paradisaea",0.466725332404322
"Picus canus",0.462671126384636
"Oenanthe oenanthe",0.46231383790332
"Gallinago gallinago",0.461597208797121
