"species","Mass","Hand.Wing.Index","Trophic.Level","Habitat.Density","Range.Size","Migration","Centroid.Latitude","Centroid.Longitude","niche_breadth_zcor","region","range_shift","range_D","range_stability_std","range_unfilling_std","range_expansion_std","niche_D","niche_stability_std","niche_unfilling_std","niche_expansion_std","phylo_species"
"Accipiter cooperii",429.67,32.3,3,2,8393137.06,3,41.25,-100.49,6.129558041411,"US",272443.379999463,0.662240774068947,0.909714126505258,0.0234356300317172,0.0668502434630248,0.671501016719547,0.899903452109865,0.0229473944618857,0.0693763174859316,"Accipiter cooperii"
"Accipiter striatus",130.59,30.7,3,1,16375303.87,3,34.35,-96.11,7.40102410926146,"US",760036.3795903,0.350038552665393,0.600257997110996,0.366238500440796,0.033503502448208,0.23132707983667,0.483528305508954,0.379902546697342,0.082408405053381,"Accipiter striatus"
"Actitis macularius",40.4,47.5,3,3,13627000.39,3,52.38,-107.73,6.78565546800761,"US",232607.563586844,0.731798732394926,0.948510098355415,0.0458452592816006,0.0056446423629846,0.635047010330638,0.91146936551483,0.029692288782142,0.0104106985241649,"Actitis macularius"
"Aix sponsa",657.59,49.4,1,3,6191757.66,1,42.14,-92.18,6.25152606580864,"US",101460.21677262,0.854893323777534,0.96962586712703,0.000100172832314347,0.0302739600406561,0.732912363978591,0.887572122503505,0.0131227249399059,0.079376283701289,"Aix sponsa"
"Ammodramus savannarum",17.61,21.1,2,3,5240933.14,2,40.3,-94.6,6.09530614008607,"US",138191.648424318,0.801640878756127,0.975401723731392,0.00799734510651741,0.0166009311620906,0.740862603186293,0.899054432636327,0.0240446550378027,0.0660041425177175,"Ammodramus savannarum"
"Anas platyrhynchos",843.42,50.7,1,3,39707247.47,2,51.63,11.04,7.1164706935186,"US",86127.9722995336,0.896294686762188,0.986631704448875,0.00264119346866306,0.0107271020824617,0.787247376621889,0.932141775479937,0.0229782493785847,0.0277661621817844,"Anas platyrhynchos"
"Antrostomus carolinensis",109,51.5,3,2,1808676.44,3,33.91,-88.6,5.19438246824082,"US",45314.9108111201,0.872406609799251,0.946525256248104,0.030476755997642,0.0229979877542542,0.662619698504483,0.83285110548555,0.0580318405980265,0.0839858161355775,"Caprimulgus carolinensis"
"Antrostomus vociferus",53.3,46.1,3,1,3403564.97,3,42.29,-86.2,5.59664390293356,"US",154027.048016969,0.76489255080407,0.827161442878438,0.120355767187897,0.0524827899336658,0.431949673218825,0.67325736905668,0.184411514228633,0.0579847526869566,"Caprimulgus vociferus"
"Aphelocoma californica",85.74,14.1,2,2,2323260.89,1,34.81,-110.7,5.64079017591745,"US",17610.8574131529,0.960099922512782,0.995483727037693,0.00185215598220437,0.00266411698010242,0.726326311269237,0.691394071255604,0.15656747873305,0.138519400618489,"Aphelocoma californica"
"Archilochus alexandri",3.39,64.4,1,2,2369566.67,3,36.81,-111.12,5.59683534819887,"US",277518.19799391,0.799248961807401,0.859682165762263,0.0378994517010987,0.102418382536639,0.594322044262435,0.620199929729021,0.138650193669641,0.238552867892519,"Archilochus alexandri"
"Archilochus colubris",3.09,65,2,2,4936988.47,3,41.87,-87.72,5.98464989389596,"US",60129.0073232716,0.851594014797284,0.964776256129998,0.0324496931118438,0.00277405075815817,0.757224079987667,0.931182699921575,0.0186198170575041,0.0233759912997824,"Archilochus colubris"
"Ardea herodias",2523.41,36.6,3,3,12219055.66,2,44.07,-99.18,6.86025444318096,"US",219639.923857236,0.795125116644656,0.985391727196612,0.0128174396886019,0.00179083311478555,0.725480791231294,0.953144662152705,0.0304291330731702,0.00196257686517588,"Ardea herodias"
"Baeolophus bicolor",21.6,16.1,3,1,2969712.5,1,36.97,-86.71,5.44302635162433,"US",91293.1608671786,0.894217176419846,0.976833228162199,0.0021018654334424,0.0210649064043588,0.749230395387435,0.933760889442518,0.0137936550421562,0.030739876808136,"Baeolophus bicolor"
"Bartramia longicauda",158.92,52.9,3,3,3282893.45,3,49.36,-105.81,5.72456284429376,"US",284898.501092,0.771486653900362,0.82635646273743,0.169275513268373,0.00436802399419726,0.785746799437357,0.909186601746867,0.0737922917327084,0.0119169935621475,"Bartramia longicauda"
"Bombycilla cedrorum",31.58,35.1,1,2,7437954.14,3,47.88,-97.87,6.3605082874071,"US",121007.937226395,0.763010299869824,0.923043786172292,0,0.0769562138277085,0.66621039969312,0.889718980958379,0.00941458750715398,0.085043478297894,"Bombycilla cedrorum"
"Bonasa umbellus",530.91,38.3,1,1,8071254.33,1,52.89,-105.75,6.36708596797012,"US",143471.119657,0.771571948166078,0.894258440539776,0.0831208292481079,0.022620730212116,0.709408249699247,0.897644154267759,0.0804037548728588,0.00203192479966837,"Bonasa umbellus"
"Botaurus lentiginosus",706,32,3,1,8778053.14,3,48.37,-97.84,6.01818191297279,"US",255373.396615636,0.84256113553598,0.950355809740241,0.02377903580688,0.0258651544528787,0.810274281365778,0.946559594973657,0.000814820032142064,0.047686528971131,"Botaurus lentiginosus"
"Branta canadensis",2811.68,49.4,1,3,12236810.45,3,53.3,-104.21,6.9988465014728,"US",273558.258618791,0.65373627955927,0.853922763070348,0.00467659568396007,0.141400641245691,0.557452334291173,0.813985133417386,0.00803019803921971,0.159652461834859,"Branta canadensis"
"Bubo virginianus",1354.5,30.4,3,2,24426738.59,1,34.04,-94.19,7.60354604267807,"US",217828.449223838,0.851177933902207,0.986705173280135,0.00385644979969897,0.00943837692016622,0.704307251185029,0.926518642177863,0.0027152718504209,0.046022322899776,"Bubo virginianus"
"Buteo jamaicensis",1101.16,34.1,3,2,15462822.34,3,45.5,-105.33,7.06775300648738,"US",122611.130837498,0.922729357623872,0.995457483317713,0.00295765427721335,0.00158486240507402,0.835407400227708,0.970143927108656,0.00410831563002762,0.0106898556183903,"Buteo jamaicensis"
"Buteo lineatus",603.72,33.4,3,1,3542030.5,3,37.72,-86.88,5.76685045911209,"US",116694.930734719,0.816380044452831,0.950173423308276,0,0.0498265766917242,0.729419226455264,0.916221468031876,0.00862907114271487,0.049392533342682,"Buteo lineatus"
"Buteo platypterus",453.65,36.9,3,2,4864047.78,3,42.9,-87.09,6.04091682891388,"US",74526.9193070715,0.825139035971139,0.921521771718357,0.0129205572336403,0.0655576710480022,0.706415263573679,0.897286413197605,0.0127272019507283,0.0150117587540157,"Buteo platypterus"
"Buteo swainsoni",946.61,46.6,3,3,4303055.16,3,40.95,-107.07,5.39083722643445,"US",208422.206919232,0.883204362812201,0.913065597259008,0.0443725335470457,0.0425618691939464,0.662694303292203,0.835653625000365,0.00372970747001865,0.149036679306038,"Buteo swainsoni"
"Calamospiza melanocorys",37.6,24.3,2,3,1660961.79,3,43.6,-103.81,4.70862415526982,"US",169325.425335626,0.76665448892444,0.765938734914084,0.167275426525297,0.0667858385606196,0.778499771766764,0.886798378253182,0.0685203393142393,0.0442040543422919,"Calamospiza melanocorys"
"Callipepla californica",165.7,26.2,1,2,1087257.04,1,40.86,-118.9,6.59258660085971,"US",57419.8811669179,0.908801791108492,0.950654203785493,0.00861747066013392,0.040728325554373,0.660032554652978,0.724022541494136,0.178998673703353,0.040276117741204,"Callipepla californica"
"Cardellina canadensis",10.04,25.9,3,1,2768373.43,3,49.78,-87.55,5.37389024373091,"US",154766.415006374,0.812999245611247,0.919004675614176,0.0809953243858241,0,0.665853097001969,0.743160965494632,0.00521959483245542,0.0997865183934365,"Wilsonia canadensis"
"Cardinalis cardinalis",42.64,15.5,1,2,5834572.06,1,34.85,-92.41,6.25307939618957,"US",37688.7165907636,0.934750304815195,0.995490552039093,0,0.00450944796090708,0.83046138456765,0.963937807849496,0.00519550872946494,0.0125546968624283,"Cardinalis cardinalis"
"Cathartes aura",1518.24,26.9,3,3,28126442.74,2,6.76,-77.26,7.47151022037282,"US",179973.812279263,0.774235656160774,0.962859335053031,0.00828385824751918,0.0288568066994492,0.70878496598611,0.941157777438741,0.00155573502739893,0.0428162212640286,"Cathartes aura"
"Catharus fuscescens",31.9,28.5,3,1,3681872.46,3,47.14,-95.63,5.62307744257229,"US",93158.1753920397,0.88701366768212,0.976707914763155,0.0205404017279684,0.00275168350887616,0.778441405207516,0.902674248165038,0.0435661832394075,0.0354641544547515,"Catharus fuscescens"
"Catharus guttatus",30.1,26.9,2,1,8383811.92,3,51.07,-107.41,6.69506032602404,"US",208350.138099278,0.857164576069425,0.981083155668892,0.0180206387898548,0.000896205541252781,0.556800194615937,0.860845131278323,0.0481522924700165,0.00879189590823071,"Catharus guttatus"
"Catharus ustulatus",30.3,30.6,2,1,489246.29,3,49.34,-125.97,6.01895596971354,"US",100586.361582991,0.625917875481018,0.814112306692463,0,0.185887693307537,0.599852985486493,0.84488739916753,0.00222053288138758,0.0176122907823959,"Catharus ustulatus"
"Centronyx henslowii",12.8,15.6,2,3,1306487.74,2,40.85,-87.72,4.86047413782763,"US",490062.168986503,0.349255132790346,0.334905338560062,0.507382773244526,0.157711888195411,0.413359043469526,0.393580399568287,0.166151695737264,0.414891128729347,"Ammodramus henslowii"
"Certhia americana",8.1,24.1,3,1,6543644.5,1,45.97,-101.91,6.83506360376443,"US",360367.555774275,0.726907865101425,0.883311561762609,0.0467717013005117,0.0699167369368789,0.610013606095475,0.866354241359788,0.0136875958929861,0.00114194565893466,"Certhia americana"
"Chaetura pelagica",23.6,70.3,3,1,5841319.17,3,40.95,-88.88,6.11636042768096,"US",19232.9144617322,0.928439984608411,0.990960656070948,0,0.00903934392905174,0.8370451898901,0.958377311150731,0.0108143988319169,0.00554920774314758,"Chaetura pelagica"
"Chamaea fasciata",14.73,11.8,2,2,246063.25,1,37.92,-120.9,5.37227720312087,"US",19033.1945933101,0.870348732432529,0.921413276729913,0.0125967644772368,0.0659899587928503,0.552584784081483,0.579343221532997,0.223931885826569,0.0832816450246277,"Chamaea fasciata"
"Chondestes grammacus",29,28.8,1,3,5604939.24,2,38.78,-103.76,5.71127109713483,"US",90498.3758524828,0.917953909973149,0.964041846251371,0.0190756732313112,0.0168824805173179,0.820420803542316,0.943713800777044,0.0252425824411866,0.0286238735348117,"Chondestes grammacus"
"Chordeiles minor",79.3,60.7,3,3,13037233.58,3,45.23,-100.42,6.82919061914796,"US",319657.283603994,0.87521854461944,0.954675157543721,0.0340530681045848,0.0112717743516943,0.803884349290603,0.967970358849589,0.0143480667682927,0.00242594672257253,"Chordeiles minor"
"Circus hudsonius",392.98,44.6,3,3,12347245.55,3,52.86,-111.67,6.71855670778787,"US",120840.129426275,0.857877325955006,0.949270331687454,0.0500512251470209,0.000678443165525201,0.80076371818407,0.920441208878706,0.0376619700036231,0.022894543475829,"Circus cyaneus"
"Cistothorus palustris",10.8,20,3,3,4855077.99,2,44.47,-102.65,5.88371295629556,"US",77671.4275080341,0.751824489257255,0.934177515954501,0.0631017084044839,0.00272077564101505,0.642235025825108,0.917429648754391,0.0456013055611103,0.000405227480287275,"Cistothorus palustris"
"Coccyzus americanus",64,43,3,1,5270361.03,3,36.04,-90.96,6.18573148106934,"US",28324.0950690139,0.92333987348343,0.982457158653766,0.0175428413462338,0,0.854644793686719,0.952941025538975,0.0204814562374052,0.00508443101490984,"Coccyzus americanus"
