"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","niche_stability_NA","niche_expansion_NA","niche_unfilling_NA","niche_stability_A","niche_expansion_A","niche_unfilling_A","n_cells_hist","n_cells_rec","niche_centroid_hist_X","niche_centroid_hist_Y","niche_centroid_rec_X","niche_centroid_rec_Y","niche_centroids_dist","std_niche_stability","std_niche_unfilling","std_niche_expansion","std_niche_abandonment","std_niche_pioneering"
"Accipiter gentilis",0.817576821524806,0.994005994005994,0.985014985014985,0.985014985014985,0.986013986013986,0.989010989010989,0.991008991008991,0.991008991008991,0.983016983016983,0.00899100899100899,0.016983016983017,0.016983016983017,0.024975024975025,0.00699300699300699,0.011988011988012,0.011988011988012,0.014985014985015,0.99594591023797,0.00405408976202972,0.012052748071348,0.996115148120933,0.00388485187906726,0.0110662884198276,NA,NA,-0.0775183904384693,1.06348652562437,-0.410808180108258,0.740549557954219,0.464080132074326,0.983990105721519,0.0110109688694622,0.00383756417961003,0.000993502852897536,0.000167858376511493
"Accipiter nisus",0.851502509327608,0.994005994005994,0.963036963036963,0.963036963036963,0.99000999000999,0.996003996003996,0.988011988011988,0.988011988011988,0.997002997002997,0.001998001998002,0.032967032967033,0.032967032967033,0.013986013986014,0.00899100899100899,0.00999000999000999,0.00999000999000999,0.00699300699300699,0.998328095826974,0.00167190417302653,0.00663149427856854,0.998720071298774,0.00127992870122654,0.00511468125619557,NA,NA,-0.0600771032628282,0.64236796969369,-0.417816900723752,0.38501138011873,0.440692837342562,0.991718684177526,0.0050984016648133,0.00127095594040756,0.00152207879354044,0.00038987942371321
"Acrocephalus melanopogon",0.724146220330652,0.979020979020979,0.993006993006993,0.993006993006993,1,0.99000999000999,0.994005994005994,0.994005994005994,1,0.017982017982018,0.00799200799200799,0.00799200799200799,0.002997002997003,0.018981018981019,0.001998001998002,0.001998001998002,0.000999000999000999,0.990300650297893,0.00969934970210728,0.042086551776637,0.990300650297893,0.00969934970210728,0.042086551776637,NA,NA,-2.50315200583479,-0.935148516604026,-2.12540349072963,0.493805183053032,1.47804012679891,0.949009708029711,0.0416953601472045,0.00929493182308424,0,0
"Acrocephalus palustris",0.809034966550342,0.997002997002997,0.986013986013986,0.986013986013986,0.955044955044955,0.997002997002997,0.989010989010989,0.989010989010989,0.965034965034965,0.00699300699300699,0.017982017982018,0.017982017982018,0.036963036963037,0.00999000999000999,0.013986013986014,0.013986013986014,0.043956043956044,0.987859574807511,0.0121404251924894,0.00946120343388273,0.987859574807511,0.0121404251924894,0.00946120343388273,NA,NA,-0.212081685390811,1.4324275267496,-0.436188308804068,1.15922512667828,0.353360057253812,0.978625642315126,0.00934741407368948,0.0120269436111845,0,0
"Acrocephalus schoenobaenus",0.875588967381175,1,0.99000999000999,0.99000999000999,0.986013986013986,1,1,1,1,0.000999000999000999,0.017982017982018,0.017982017982018,0.01998001998002,0.00699300699300699,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.997329485561803,0.00267051443819672,0.00981576413050758,0.998079458726007,0.00192054127399344,0.00793644146482466,NA,NA,0.0215499646799605,1.46911707367139,-0.208149095734212,1.17236895210515,0.375261383582492,0.987565821772108,0.00790045987449492,0.00190031054633622,0.00188934773777607,0.000744060069284755
"Acrocephalus scirpaceus",0.84819533965564,0.999000999000999,0.984015984015984,0.984015984015984,0.99000999000999,0.998001998001998,0.985014985014985,0.985014985014985,0.988011988011988,0.001998001998002,0.014985014985015,0.014985014985015,0.00699300699300699,0.002997002997003,0.016983016983017,0.016983016983017,0.010989010989011,0.99298851569371,0.0070114843062897,0.00368014471746929,0.99298851569371,0.0070114843062897,0.00368014471746929,NA,NA,-0.483774119511522,0.532677720280769,-0.719565766573092,0.43148182854754,0.256589768556136,0.989359702975573,0.00365443573695523,0.0069858612874717,0,0
"Aegithalos caudatus",0.866853382630785,0.998001998001998,0.999000999000999,0.999000999000999,0.999000999000999,0.999000999000999,1,1,0.997002997002997,0.003996003996004,0.00699300699300699,0.00699300699300699,0.003996003996004,0.002997002997003,0.000999000999000999,0.000999000999000999,0.001998001998002,0.995365006311977,0.004634993688023,0.0024257922552687,0.996077444642566,0.00392255535743377,0.0024257922552687,NA,NA,-0.312716989628722,0.411915232427983,-0.493677042757186,0.307053632453126,0.209147067819617,0.992961621984065,0.00241457587183765,0.00391028524035839,0,0.000713516903739396
"Alectoris graeca",0.735288505166946,0.943056943056943,0.843156843156843,0.843156843156843,0.963036963036963,0.956043956043956,0.843156843156843,0.843156843156843,0.975024975024975,0.047952047952048,0.162837162837163,0.162837162837163,0.036963036963037,0.043956043956044,0.151848151848152,0.151848151848152,0.01998001998002,0.959686395566336,0.0403136044336638,0.0090472757144269,0.959821816736762,0.0401781832632384,0.00756085146352786,NA,NA,-0.774137328057102,-0.974273151207795,0.164639030511314,-1.02573941706028,0.940186060270931,0.95135083271281,0.00724782204173675,0.0398235875011922,0.00143789330447991,0.000139864439780805
"Alectoris rufa",0.852995675707788,1,0.998001998001998,0.998001998001998,1,1,0.994005994005994,0.994005994005994,1,0.000999000999000999,0.00699300699300699,0.00699300699300699,0.000999000999000999,0.000999000999000999,0.00699300699300699,0.00699300699300699,0.000999000999000999,0.993913963172662,0.0060860368273385,0.0077974525227369,0.993954020902241,0.00604597909775869,0.00771492137021098,NA,NA,-1.13326441260651,-1.49236691019312,-0.943341766311464,-1.54123676925463,0.196109343735593,0.986210767440277,0.0076676941829696,0.00599887878165233,8.26705546332369e-05,3.9989040467806e-05
"Anas crecca",0.864034781256396,1,0.857142857142857,0.857142857142857,0.998001998001998,1,0.981018981018981,0.981018981018981,1,0.001998001998002,0.142857142857143,0.142857142857143,0.002997002997003,0.002997002997003,0.020979020979021,0.020979020979021,0.000999000999000999,0.99493639300323,0.00506360699676975,0.0083358753020847,0.998051034259051,0.00194896574094928,0.00433641312408366,NA,NA,0.539158843348743,1.12375549936398,0.127447425902306,0.935009560481175,0.45291425314347,0.986684374846988,0.00429730596640568,0.00192676925096759,0.00399670982623518,0.00309484010940323
"Anser brachyrhynchus",0.624659459288163,0.995004995004995,0.932067932067932,0.932067932067932,0.994005994005994,0.992007992007992,0.937062937062937,0.937062937062937,1,0.013986013986014,0.0759240759240759,0.0759240759240759,0.00799200799200799,0.012987012987013,0.0679320679320679,0.0679320679320679,0.000999000999000999,0.941643807959293,0.0583561920407064,0.106071799589868,0.946632240067754,0.0533677599322456,0.0168817493465701,NA,NA,3.65774845719515,0.971397016489378,3.63123591157272,0.0801986199164023,0.891592674448161,0.847004869339347,0.0145444598246523,0.0477511229969412,0.0859595076203684,0.00474004021869065
"Anthus campestris",0.796038916246075,0.99000999000999,0.993006993006993,0.993006993006993,0.997002997002997,0.983016983016983,0.988011988011988,0.988011988011988,0.999000999000999,0.00799200799200799,0.011988011988012,0.011988011988012,0.00799200799200799,0.012987012987013,0.00599400599400599,0.00599400599400599,0.001998001998002,0.98789923612993,0.0121007638700701,0.00200958664065302,0.987948140402292,0.0120518595977085,0.00198407250835157,NA,NA,-1.2600076493816,0.292408570173363,-1.60021752821046,0.501577645621945,0.399367579776783,0.985937942601556,0.00196006127053802,0.0120273374384298,2.52561147218657e-05,4.9402574754184e-05
"Anthus petrosus",0.871364227638685,1,0.999000999000999,0.999000999000999,0.999000999000999,1,1,1,0.999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.978320973079578,0.0216790269204222,0.00598797012873201,0.983848150269992,0.016151849730008,0.00536193527100429,NA,NA,1.83420985912971,-2.21666752188317,1.997717361353,-2.4431277235901,0.279318682225946,0.972589071377185,0.00524307266224678,0.0159670092642054,0.000615844666643114,0.00558500202971927
"Anthus pratensis",0.9059895418199,1,0.939060939060939,0.939060939060939,0.999000999000999,1,1,1,1,0.001998001998002,0.0749250749250749,0.0749250749250749,0.001998001998002,0.004995004995005,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.996919791537747,0.00308020846225296,0.00532201945355305,0.999788461219924,0.000211538780075789,0.00158620302265663,NA,NA,0.553353080175433,1.11737979400352,0.251537388620612,0.849525673992509,0.403532577712863,0.991630420740987,0.00157542611640543,0.000209812673006482,0.00373028738397711,0.00285405308562431
"Anthus trivialis",0.862533558795028,0.996003996003996,0.97002997002997,0.97002997002997,0.954045954045954,1,0.99000999000999,0.99000999000999,0.978021978021978,0.002997002997003,0.028971028971029,0.028971028971029,0.042957042957043,0.00599400599400599,0.014985014985015,0.014985014985015,0.027972027972028,0.994705095576292,0.00529490442370803,0.0107975945361062,0.995228328369185,0.00477167163081543,0.00960351000259712,NA,NA,0.123757394023662,1.13142451135537,-0.201684890563269,0.897167451554178,0.400985100301571,0.984020931943364,0.00954168856425149,0.0047179372122343,0.00119934782979475,0.000520094450355686
"Apus apus",0.890760826707043,1,0.994005994005994,0.994005994005994,0.993006993006993,1,1,1,1,0.001998001998002,0.004995004995005,0.004995004995005,0.00899100899100899,0.00599400599400599,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.998560676256533,0.00143932374346672,0.00480702583424705,0.998866232040835,0.00113376795916477,0.00333838865937333,NA,NA,-0.316229494474766,0.537042862938353,-0.564433328278554,0.38076088437522,0.293307347228988,0.993767445032908,0.00332869444433576,0.00112798055625259,0.00147144573502129,0.000304434231482015
"Apus pallidus",0.632372604674511,1,0.986013986013986,0.986013986013986,1,1,0.985014985014985,0.985014985014985,1,0.002997002997003,0.015984015984016,0.015984015984016,0.000999000999000999,0.003996003996004,0.013986013986014,0.013986013986014,0.001998001998002,0.918351540822646,0.0816484591773544,0.00070215183375981,0.918571420686895,0.0814285793131049,0.00070215183375981,NA,NA,-3.63431953908784,-2.24966505946009,-3.11746233906099,-2.06634444716267,0.548404788557408,0.917759333393774,0.000644859187953959,0.0813565902297655,0,0.000239217188506086
"Aquila adalberti",0.673288266812449,0.992007992007992,0.99000999000999,0.99000999000999,0.998001998001998,0.992007992007992,0.988011988011988,0.988011988011988,0.994005994005994,0.00599400599400599,0.00599400599400599,0.00599400599400599,0.001998001998002,0.00899100899100899,0.01998001998002,0.01998001998002,0.002997002997003,0.899995917057871,0.100004082942129,0.0663774490286412,0.899995917057871,0.100004082942129,0.0663774490286412,NA,NA,-4.25128308700844,-1.49965209757683,-4.50410989589339,-0.856879928973906,0.690707938293357,0.845871391710255,0.0601386343224219,0.0939899739673233,0,0
"Aquila chrysaetos",0.816473976994035,1,0.974025974025974,0.974025974025974,1,1,1,1,1,0.001998001998002,0.024975024975025,0.024975024975025,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.996029193313216,0.00397080668678432,0.014326034169311,0.99852319074474,0.00147680925526048,0.0010594769464117,NA,NA,0.926977387951525,0.0225190961602438,0.823227572545788,-0.0567561143527878,0.130570223246382,0.98181589654914,0.00104131455678122,0.00145209927663693,0.0132286454599489,0.00246204415749281
"Asio otus",0.848734154673553,0.995004995004995,0.988011988011988,0.988011988011988,0.985014985014985,0.996003996003996,0.984015984015984,0.984015984015984,0.983016983016983,0.00799200799200799,0.021978021978022,0.021978021978022,0.025974025974026,0.00599400599400599,0.015984015984016,0.015984015984016,0.020979020979021,0.996681670420561,0.00331832957943899,0.00525700637329151,0.996815773515444,0.00318422648455619,0.00509388719605364,NA,NA,-0.223913393753581,0.971631402671483,-0.513295506572666,0.618601733831089,0.45647776977767,0.991459404020511,0.00507624015829348,0.003167116107634,0.000163413138276057,0.000133826575284973
"Branta leucopsis",0.383808166902164,0.894105894105894,0.962037962037962,0.962037962037962,0.988011988011988,0.884115884115884,1,1,1,0.117882117882118,0.036963036963037,0.036963036963037,0.00999000999000999,0.112887112887113,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.981771256647075,0.0182287433529247,0.0807139833276006,0.985738260342496,0.014261739657504,0.0345228826088779,NA,NA,1.87573848174522,2.16197454710809,0.263148702371887,0.967338321842943,2.00688851390781,0.903858447835107,0.0323195635894217,0.0130770960090167,0.0470398679323915,0.00370502463406283
"Buteo buteo",0.879802491648026,0.997002997002997,0.992007992007992,0.992007992007992,0.991008991008991,0.998001998001998,1,1,0.999000999000999,0.002997002997003,0.001998001998002,0.001998001998002,0.00699300699300699,0.002997002997003,0.000999000999000999,0.000999000999000999,0.00599400599400599,0.998002356554241,0.0019976434457593,0.0053950201140482,0.998225765341447,0.00177423465855309,0.00445647340213241,NA,NA,-0.396185573497527,0.700672242570493,-0.601085656353304,0.355257075533037,0.401616336288526,0.99262881165163,0.00444342590668327,0.00176428669932025,0.000940874909162615,0.000222600833204273
"Caprimulgus europaeus",0.838697135411891,0.994005994005994,0.977022977022977,0.977022977022977,0.996003996003996,0.994005994005994,0.978021978021978,0.978021978021978,0.991008991008991,0.003996003996004,0.021978021978022,0.021978021978022,0.013986013986014,0.012987012987013,0.028971028971029,0.028971028971029,0.018981018981019,0.994001886355305,0.00599811364469552,0.00374511325170808,0.994016086270798,0.00598391372920167,0.00374511325170808,NA,NA,-0.531701822599828,0.634393928917969,-0.745290877777681,0.492629731222043,0.256353997901608,0.990301482469625,0.00372273326285846,0.00596155205015906,0,1.42322173569444e-05
"Caprimulgus ruficollis",0.756327698571439,0.995004995004995,0.996003996003996,0.996003996003996,0.997002997002997,1,0.999000999000999,0.999000999000999,1,0.002997002997003,0.002997002997003,0.002997002997003,0.001998001998002,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.994419323512065,0.00558067648793537,0.0534466757854809,0.994419323512065,0.00558067648793537,0.0534466757854809,NA,NA,-3.74577868305898,-1.51986839552967,-4.33968735778431,-1.15434955377221,0.697374746885569,0.941551751662804,0.0531642644096496,0.00528398392754606,0,0
"Carduelis carduelis",0.874974050777718,1,0.993006993006993,0.993006993006993,0.999000999000999,1,1,1,1,0.003996003996004,0.00999000999000999,0.00999000999000999,0.004995004995005,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.994125087617545,0.0058749123824549,0.000722026953866122,0.994815632370056,0.00518436762994392,0.000520124139970882,NA,NA,-0.614747992775116,0.179181558152362,-0.693955463494614,0.109552165236561,0.105461252484518,0.993411516406536,0.000516966197206835,0.00517705024055729,0.000200821956313708,0.000693645199386517
"Carduelis citrinella",0.813674204659988,0.997002997002997,0.985014985014985,0.985014985014985,0.995004995004995,1,0.993006993006993,0.993006993006993,0.993006993006993,0.004995004995005,0.012987012987013,0.012987012987013,0.00699300699300699,0.002997002997003,0.016983016983017,0.016983016983017,0.001998001998002,0.970636202689479,0.0293637973105208,0.0532861777677973,0.970636202689479,0.0293637973105208,0.0517224472110446,NA,NA,1.04707083304648,-0.705603925669364,1.46383933569099,-0.594025956303826,0.431445973494114,0.920354774316542,0.0501994390671974,0.02784267779413,0.00160310882213042,0
"Certhia brachydactyla",0.879723902026464,1,0.982017982017982,0.982017982017982,0.995004995004995,1,0.983016983016983,0.983016983016983,0.997002997002997,0.003996003996004,0.022977022977023,0.022977022977023,0.00799200799200799,0.001998001998002,0.024975024975025,0.024975024975025,0.00699300699300699,0.996421096282713,0.00357890371728696,0.00472697163739343,0.996421096282713,0.00357890371728696,0.00464842102466898,NA,NA,-0.854689917748478,-0.4656035281086,-0.862930697265191,-0.480477788050818,0.0170045304513754,0.991727819454457,0.00463149759750918,0.00356204660140537,7.86363466283259e-05,0
"Cettia cetti",0.84100249458982,0.998001998001998,0.987012987012987,0.987012987012987,0.989010989010989,1,0.989010989010989,0.989010989010989,0.987012987012987,0.002997002997003,0.015984015984016,0.015984015984016,0.012987012987013,0.004995004995005,0.015984015984016,0.015984015984016,0.01998001998002,0.978450903487874,0.0215490965121262,0.00426752453437626,0.978480396032278,0.0215196039677224,0.00426752453437626,NA,NA,-2.06855712571908,-1.63018564439641,-1.71921440801723,-1.69933063869766,0.356119873986598,0.974364944116601,0.00417594726184794,0.0214290933190342,8.67361737988404e-19,3.00153025168913e-05
"Charadrius hiaticula",0.822065821629282,1,0.8001998001998,0.8001998001998,1,1,0.998001998001998,0.998001998001998,1,0.002997002997003,0.203796203796204,0.203796203796204,0.002997002997003,0.003996003996004,0.004995004995005,0.004995004995005,0.000999000999000999,0.994103012811141,0.00589698718885938,0.0196527911162684,0.999985285912574,1.47140874258729e-05,0.00223608307247413,NA,NA,1.81970293819584,0.423077095398553,1.36671953603467,0.365942147547707,0.456572409262132,0.974679071710208,0.00218434775638845,1.43417240986948e-05,0.0173548155401848,0.00576742326911976
"Ciconia ciconia",0.794056092725231,0.998001998001998,0.996003996003996,0.996003996003996,0.999000999000999,0.999000999000999,0.997002997002997,0.997002997002997,0.999000999000999,0.003996003996004,0.00599400599400599,0.00599400599400599,0.002997002997003,0.001998001998002,0.002997002997003,0.002997002997003,0.001998001998002,0.984933519799853,0.0150664802001474,0.00102268777099278,0.984933519799853,0.0150664802001474,0.00102268777099278,NA,NA,-0.921017653100665,1.4155642949494,-0.898467238615982,0.845626330652934,0.570383909608109,0.983941401203176,0.00100729498664861,0.0150513038101753,0,0
"Cinclus cinclus",0.864991552777069,1,0.968031968031968,0.968031968031968,0.99000999000999,1,0.995004995004995,0.995004995004995,1,0.001998001998002,0.041958041958042,0.041958041958042,0.00999000999000999,0.000999000999000999,0.00599400599400599,0.00599400599400599,0.000999000999000999,0.991086786761225,0.00891321323877544,0.00445449317993696,0.9926279058219,0.00737209417810003,0.00290274808518017,NA,NA,0.906976749958789,-0.0538225839924809,0.615630744088856,-0.0793570905956132,0.292462828687388,0.986711173658919,0.00287251214910477,0.0073281515219685,0.00154245247433123,0.0015457101956766
"Circus aeruginosus",0.831446992379485,0.998001998001998,0.988011988011988,0.988011988011988,0.983016983016983,0.997002997002997,0.984015984015984,0.984015984015984,0.981018981018981,0.00599400599400599,0.012987012987013,0.012987012987013,0.014985014985015,0.00799200799200799,0.013986013986014,0.013986013986014,0.017982017982018,0.988681613238419,0.0113183867615814,0.00232240542986164,0.988681613238419,0.0113183867615814,0.00232240542986164,NA,NA,-0.609574859531391,1.3131086107299,-0.725760832230115,0.962163330172243,0.369677927658173,0.986411422386542,0.00229617990410528,0.0112923977093525,0,0
"Circus pygargus",0.842085686824467,0.998001998001998,0.998001998001998,0.998001998001998,0.998001998001998,0.999000999000999,1,1,1,0.00799200799200799,0.004995004995005,0.004995004995005,0.004995004995005,0.010989010989011,0.00599400599400599,0.00599400599400599,0.00599400599400599,0.996817672197078,0.00318232780292234,0.01248482774331,0.996817672197078,0.00318232780292234,0.01248482774331,NA,NA,-0.775734185903119,-0.0434977062762159,-0.857715943420715,0.738582841021221,0.786365685305973,0.984411686746271,0.0124455914023504,0.00314272185137883,0,0
"Coccothraustes coccothraustes",0.789385313644361,0.998001998001998,1,1,1,0.997002997002997,0.999000999000999,0.999000999000999,1,0.003996003996004,0.004995004995005,0.004995004995005,0.001998001998002,0.004995004995005,0.002997002997003,0.002997002997003,0.001998001998002,0.987336906653134,0.0126630933468662,0.00290164597099381,0.987375398707099,0.0126246012929005,0.00290164597099381,NA,NA,-0.455052607865039,0.940795601666294,-0.591379652087172,0.714018343682549,0.264599674461193,0.984508179081137,0.00286500742850302,0.0125879409662969,0,3.88725240626359e-05
"Columba livia",0.861544442176709,1,0.984015984015984,0.984015984015984,0.99000999000999,1,1,1,0.999000999000999,0.002997002997003,0.017982017982018,0.017982017982018,0.00999000999000999,0.002997002997003,0.000999000999000999,0.000999000999000999,0.003996003996004,0.998366159354788,0.00163384064521182,0.00515376463460588,0.99865745317379,0.00134254682621027,0.0044872967726498,NA,NA,-0.381417383762887,0.444480053848446,-0.627035668076115,0.329073497680439,0.271379834909547,0.993229178567225,0.00447700373188355,0.00133524931611641,0.000668383798962681,0.000290184585812151
"Columba oenas",0.825821018634281,0.999000999000999,0.995004995004995,0.995004995004995,1,0.999000999000999,0.994005994005994,0.994005994005994,1,0.004995004995005,0.00999000999000999,0.00999000999000999,0.002997002997003,0.001998001998002,0.00899100899100899,0.00899100899100899,0.000999000999000999,0.997913426976674,0.00208657302332655,0.0131558558421232,0.997913426976674,0.00208657302332655,0.0131558558421232,NA,NA,-0.186144890079128,0.741631284108038,-0.3583124870519,0.641265667594253,0.199286071830349,0.984812055523341,0.0131287655814244,0.00205917889523477,0,0
"Columba palumbus",0.897247452609525,1,0.996003996003996,0.996003996003996,0.993006993006993,1,1,1,0.996003996003996,0.002997002997003,0.00599400599400599,0.00599400599400599,0.00899100899100899,0.001998001998002,0.000999000999000999,0.000999000999000999,0.004995004995005,0.996033380774005,0.00396661922599467,0.00486597443526685,0.996532953418506,0.00346704658149405,0.00405557357336357,NA,NA,-0.176064938806891,0.629349176310751,-0.433358379614904,0.475302495244978,0.299883801880339,0.99120583953403,0.00403627762946669,0.00344851297262638,0.000810488887759646,0.000498880976117156
"Coracias garrulus",0.734495270514933,0.993006993006993,0.998001998001998,0.998001998001998,0.993006993006993,0.999000999000999,0.999000999000999,0.999000999000999,0.993006993006993,0.010989010989011,0.00799200799200799,0.00799200799200799,0.00899100899100899,0.00999000999000999,0.001998001998002,0.001998001998002,0.004995004995005,0.987006456555802,0.0129935434441981,0.0185282024138945,0.987342737879519,0.0126572621204813,0.0182794956741042,NA,NA,-1.70969722643257,1.22376788276025,-2.22672190782709,0.0465930597887949,1.2857118981362,0.968952273500818,0.018041753038492,0.012421505154609,0.000250106082657527,0.000334362223423335
"Coturnix coturnix",0.819048042492129,1,0.976023976023976,0.976023976023976,0.999000999000999,1,0.992007992007992,0.992007992007992,1,0.002997002997003,0.017982017982018,0.017982017982018,0.00599400599400599,0.003996003996004,0.010989010989011,0.010989010989011,0.000999000999000999,0.991641081954351,0.00835891804564889,0.00147794678777755,0.991835619527069,0.0081643804729306,0.00140882759685879,NA,NA,-0.772700859139168,0.33201906854219,-0.613456172621464,0.465565342200753,0.207830405360259,0.990187722017487,0.00139697188138751,0.00815081566240783,6.86389765245886e-05,0.000195851462192956
"Crex crex",0.786870538276958,0.996003996003996,0.99000999000999,0.99000999000999,0.982017982017982,0.999000999000999,1,1,0.988011988011988,0.00699300699300699,0.011988011988012,0.011988011988012,0.018981018981019,0.002997002997003,0.003996003996004,0.003996003996004,0.012987012987013,0.994644421256689,0.00535557874331158,0.00994484864034864,0.994965532090293,0.00503446790970666,0.00992141551472939,NA,NA,-0.198156197295327,1.53649148588279,-0.309652667466955,1.27382513953989,0.285350788262209,0.984805284179361,0.00986857263509467,0.00498305764431305,2.35424434738823e-05,0.000319543097757357
"Cyanistes caeruleus",0.894520849114372,1,0.993006993006993,0.993006993006993,0.997002997002997,1,1,1,0.996003996003996,0.002997002997003,0.00899100899100899,0.00899100899100899,0.003996003996004,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.002997002997003,0.996541486849497,0.00345851315050275,0.00144997515129902,0.997197993045813,0.00280200695418702,0.0012080472948715,NA,NA,-0.347288696567691,0.562005083177929,-0.458487386192983,0.373679196282311,0.218704797042504,0.995101516649746,0.00120358368132162,0.00279611610654991,0.000241383958011945,0.000657399604370151
"Cygnus olor",0.742932602513596,0.995004995004995,0.957042957042957,0.957042957042957,0.993006993006993,0.998001998001998,0.984015984015984,0.984015984015984,0.989010989010989,0.00599400599400599,0.032967032967033,0.032967032967033,0.016983016983017,0.00699300699300699,0.01998001998002,0.01998001998002,0.00699300699300699,0.970062709977745,0.0299372900222553,0.00055562704212997,0.970650368708477,0.0293496312915234,0.00055562704212997,NA,NA,-0.052880906489283,0.942035538785434,-0.463163526746923,0.77795235901354,0.44187681356859,0.96953984419817,0.00053900203996815,0.0293160522748472,0,0.000605101487015078
"Dendrocopos major",0.859184845931058,1,0.998001998001998,0.998001998001998,0.982017982017982,0.999000999000999,1,1,0.998001998001998,0.00599400599400599,0.010989010989011,0.010989010989011,0.018981018981019,0.00599400599400599,0.000999000999000999,0.000999000999000999,0.001998001998002,0.995877649501556,0.00412235049844383,0.00504156614591868,0.996549808087699,0.00345019191230096,0.00403530561499915,NA,NA,-0.201767261082192,1.00033332298287,-0.434679062476251,0.574693461805821,0.485198102481286,0.99087745996638,0.0040146938947946,0.0034305534662814,0.00100619349802792,0.000671099174516001
"Emberiza caesia",0.626618935733347,1,0.962037962037962,0.962037962037962,0.996003996003996,1,0.964035964035964,0.964035964035964,0.991008991008991,0.000999000999000999,0.026973026973027,0.026973026973027,0.002997002997003,0.000999000999000999,0.041958041958042,0.041958041958042,0.00899100899100899,0.998121258069677,0.0018787419303231,0.342777394351001,0.998121258069677,0.0018787419303231,0.342777394351001,NA,NA,-3.78710303356526,-2.7824548483465,-4.69236118313784,-3.57307874431595,1.20190617863687,0.656410576002036,0.342353876650713,0.00123554734725074,0,0
