species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,niche_stability_NA,niche_expansion_NA,niche_unfilling_NA,niche_stability_A,niche_expansion_A,niche_unfilling_A,niche_centroid_hist_X,niche_centroid_hist_Y,niche_centroid_rec_X,niche_centroid_rec_Y,niche_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Accipiter gentilis,0.827447032,0.995004995,0.987012987,0.987012987,0.974025974,0.995004995,0.998001998,0.998001998,0.991008991,0.003996004,0.006993007,0.006993007,0.010989011,0.004995005,0.001998002,0.001998002,0.008991009,0.996507676,0.003492324,0.010298988,0.996835082,0.003164918,0.009471303,-0.019270128,-1.004535412,-0.321177415,-0.662751139,0.456031247,0.986280129,0.009430679,0.003131406,0.000832711,0.000325075
Accipiter nisus,0.860968152,0.998001998,0.981018981,0.981018981,0.984015984,0.994005994,0.997002997,0.997002997,0.995004995,0.006993007,0.024975025,0.024975025,0.01998002,0.004995005,0.007992008,0.007992008,0.007992008,0.996913331,0.003086669,0.006255453,0.997298382,0.002701618,0.005401165,-0.014521462,-0.650155434,-0.339695052,-0.444325361,0.384842673,0.990696315,0.005379973,0.002683734,0.000856292,0.000383686
Acrocephalus melanopogon,0.737939189,0.993006993,0.998001998,0.998001998,1,0.989010989,0.994005994,0.994005994,1,0.010989011,0.006993007,0.006993007,0.000999001,0.010989011,0.004995005,0.004995005,0.002997003,0.98632076,0.01367924,0.058132453,0.98632076,0.01367924,0.058132453,-2.262196861,0.856542234,-1.958652038,-0.59560985,1.483538046,0.929722838,0.057382876,0.012894286,0,0
Acrocephalus palustris,0.813760871,0.997002997,0.985014985,0.985014985,0.955044955,1,0.988011988,0.988011988,0.969030969,0.003996004,0.022977023,0.022977023,0.055944056,0.013986014,0.027972028,0.027972028,0.055944056,0.988538834,0.011461166,0.009372218,0.988538834,0.011461166,0.009372218,-0.172301994,-1.374747864,-0.382664815,-1.065473414,0.374036364,0.979379234,0.009265797,0.01135497,0,0
Acrocephalus schoenobaenus,0.843040037,1,0.992007992,0.992007992,0.984015984,1,1,1,0.994005994,0.002997003,0.015984016,0.015984016,0.021978022,0.001998002,0.000999001,0.000999001,0.002997003,0.998407844,0.001592156,0.016866291,0.998982979,0.001017021,0.015293254,0.057382778,-1.373569951,-0.201938177,-1.126650651,0.358073314,0.981594766,0.015244923,0.000999319,0.001594967,0.000566026
Acrocephalus scirpaceus,0.849328342,0.994005994,0.978021978,0.978021978,0.983016983,0.997002997,0.977022977,0.977022977,0.985014985,0.004995005,0.02997003,0.02997003,0.017982018,0.006993007,0.021978022,0.021978022,0.012987013,0.992191329,0.007808671,0.005001978,0.992191329,0.007808671,0.005001978,-0.410776988,-0.580121283,-0.607951447,-0.407307924,0.262187385,0.987266971,0.004963113,0.007769916,0,0
Aegithalos caudatus,0.863898428,1,0.998001998,0.998001998,0.999000999,1,1,1,0.999000999,0.002997003,0.005994006,0.005994006,0.004995005,0.002997003,0.000999001,0.000999001,0.006993007,0.996851438,0.003148562,0.006849396,0.99743558,0.00256442,0.006849396,-0.22559471,-0.457492515,-0.440566029,-0.348548703,0.241000875,0.990044959,0.006827977,0.002545418,8.67E-19,0.000581646
Alectoris graeca,0.792933825,0.999000999,0.945054945,0.945054945,0.997002997,1,0.94005994,0.94005994,1,0.006993007,0.071928072,0.071928072,0.006993007,0.004995005,0.066933067,0.066933067,0.003996004,0.97340336,0.02659664,0.01276909,0.97340336,0.02659664,0.010591814,-0.325198735,0.852532052,0.837602523,0.890046137,1.163406237,0.961300356,0.010290914,0.026265946,0.002142784,0
Alectoris rufa,0.848504528,1,0.988011988,0.988011988,1,1,0.995004995,0.995004995,1,0.000999001,0.005994006,0.005994006,0.000999001,0.002997003,0.013986014,0.013986014,0.004995005,0.992696007,0.007303993,0.009338266,0.992696007,0.007303993,0.009338266,-0.91349133,1.372866365,-0.722898499,1.448809877,0.205165894,0.983493027,0.009270692,0.00723628,0,0
Anas crecca,0.868703952,1,0.977022977,0.977022977,0.985014985,1,1,1,1,0.002997003,0.024975025,0.024975025,0.017982018,0.000999001,0.000999001,0.000999001,0.000999001,0.997852783,0.002147217,0.012606295,0.99919635,0.00080365,0.009952916,0.430016041,-1.084934862,0.10637946,-0.889243605,0.378200615,0.985300227,0.009905196,0.000792474,0.002674371,0.001327732
Anser brachyrhynchus,0.661001407,0.994005994,0.925074925,0.925074925,0.983016983,0.996003996,0.934065934,0.934065934,1,0.002997003,0.056943057,0.056943057,0.00999001,0.003996004,0.050949051,0.050949051,0.000999001,0.852831485,0.147168515,0.047117891,0.853036711,0.146963289,0.004060192,3.488290638,-0.747585026,3.728267846,0.297098504,1.07189213,0.818322332,0.003336091,0.140982609,0.03712812,0.000230848
Anthus campestris,0.862868492,1,0.999000999,0.999000999,0.999000999,0.999000999,0.994005994,0.994005994,0.996003996,0.001998002,0.001998002,0.001998002,0.003996004,0.002997003,0.006993007,0.006993007,0.003996004,0.991631593,0.008368407,0.002497724,0.991631593,0.008368407,0.002470365,-1.159112019,-0.479585673,-1.379565389,-0.391890967,0.237255243,0.989175447,0.002449676,0.008347679,2.72E-05,0
Anthus petrosus,0.848784606,1,1,1,0.998001998,0.999000999,1,1,0.998001998,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.001998002,0.970008779,0.029991221,0.007409798,0.974878651,0.025121349,0.007409798,1.520235604,2.186640995,1.837629316,2.441171501,0.40684708,0.963035225,0.007189166,0.024816159,0,0.004959449
Anthus pratensis,0.898585242,1,0.997002997,0.997002997,0.985014985,1,1,1,1,0.003996004,0.013986014,0.013986014,0.028971029,0.002997003,0.000999001,0.000999001,0.000999001,0.994793037,0.005206963,0.005677024,0.995984701,0.004015299,0.003826348,0.433750251,-1.151799286,0.138550296,-0.858674439,0.416011045,0.989174813,0.003799465,0.003987845,0.001848165,0.00118971
Anthus trivialis,0.866729371,1,0.962037962,0.962037962,0.964035964,1,0.982017982,0.982017982,0.974025974,0.002997003,0.024975025,0.024975025,0.041958042,0.000999001,0.014985015,0.014985015,0.022977023,0.9940693,0.0059307,0.00868011,0.994776881,0.005223119,0.007724114,0.135456158,-1.071992828,-0.160603822,-0.813021133,0.3933419,0.985491401,0.007671302,0.005174365,0.000957773,0.000705159
Apus apus,0.883696221,1,0.995004995,0.995004995,0.994005994,1,1,1,1,0.002997003,0.006993007,0.006993007,0.010989011,0.002997003,0.000999001,0.000999001,0.000999001,0.997739122,0.002260878,0.004750887,0.998139317,0.001860683,0.003725639,-0.171888477,-0.60945876,-0.428754912,-0.431966688,0.31222396,0.993009642,0.003713431,0.001851121,0.001026766,0.00039904
Apus pallidus,0.745676678,1,0.991008991,0.991008991,0.999000999,0.999000999,0.987012987,0.987012987,1,0.001998002,0.017982018,0.017982018,0.000999001,0.003996004,0.012987013,0.012987013,0.001998002,0.936608284,0.063391716,0.001718373,0.936608284,0.063391716,0.001718373,-3.384774658,2.135059514,-2.966214184,1.837669598,0.513452659,0.935100703,0.001609617,0.06328968,0,0
Aquila adalberti,0.657977528,0.986013986,0.981018981,0.981018981,0.988011988,0.99000999,0.987012987,0.987012987,0.994005994,0.013986014,0.025974026,0.025974026,0.008991009,0.010989011,0.016983017,0.016983017,0.00999001,0.88447663,0.11552337,0.085074803,0.88447663,0.11552337,0.085074803,-3.999587195,1.624170678,-4.043225728,0.874765454,0.750674704,0.817262111,0.075993549,0.106744339,0,0
Aquila chrysaetos,0.796437537,1,0.974025974,0.974025974,1,1,1,1,1,0.001998002,0.022977023,0.022977023,0.001998002,0.000999001,0.000999001,0.000999001,0.000999001,0.998054318,0.001945682,0.019372349,0.999982499,1.75E-05,0.006825272,0.947324172,0.027894909,0.837691951,-0.013336504,0.117129216,0.978756553,0.006726188,1.71E-05,0.012609198,0.001890932
