"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","niche_stability_NA","niche_expansion_NA","niche_unfilling_NA","niche_stability_A","niche_expansion_A","niche_unfilling_A","n_cells_hist","n_cells_rec","niche_centroid_hist_X","niche_centroid_hist_Y","niche_centroid_rec_X","niche_centroid_rec_Y","niche_centroids_dist","std_niche_stability","std_niche_unfilling","std_niche_expansion","std_niche_abandonment","std_niche_pioneering"
"Accipiter gentilis",0.877767843340443,0.995004995004995,0.941058941058941,0.941058941058941,1,0.994005994005994,0.948051948051948,0.948051948051948,1,0.00699300699300699,0.0649350649350649,0.0649350649350649,0.001998001998002,0.002997002997003,0.0609390609390609,0.0609390609390609,0.000999000999000999,0.998374984368001,0.00162501563199933,0.00263137631570463,0.998374984368001,0.00162501563199933,0.00263137631570463,NA,NA,0.0728352696420122,0.987989511231403,-0.0651718507961938,0.969565055075524,0.139231554887121,0.995752141943631,0.00262711152165944,0.00162074653470963,0,0
"Accipiter nisus",0.900860501358599,0.995004995004995,0.996003996003996,0.996003996003996,1,0.997002997002997,0.997002997002997,0.997002997002997,1,0.004995004995005,0.00599400599400599,0.00599400599400599,0.002997002997003,0.004995004995005,0.004995004995005,0.004995004995005,0.001998001998002,0.999799403986007,0.000200596013993457,0.00108365003844787,0.999799403986007,0.000200596013993457,0.00108365003844787,NA,NA,0.0650780361613468,0.504046179648242,-0.0944125666794493,0.464810317841429,0.164245868277542,0.998716188420246,0.00108343289808177,0.000200378681672673,0,0
"Acrocephalus melanopogon",0.686055102246828,0.992007992007992,0.942057942057942,0.942057942057942,0.996003996003996,0.989010989010989,0.948051948051948,0.948051948051948,0.994005994005994,0.011988011988012,0.04995004995005,0.04995004995005,0.00699300699300699,0.013986013986014,0.0549450549450549,0.0549450549450549,0.010989010989011,0.995707958438744,0.00429204156125553,0.0606734399056887,0.995707958438744,0.00429204156125553,0.0606734399056887,NA,NA,-1.4076188575833,0.190826515837367,-0.280885299012873,1.89145505468078,2.04001616148928,0.935538557791772,0.0604287634110278,0.00403267879720012,0,0
"Acrocephalus palustris",0.875784000549236,1,0.998001998001998,0.998001998001998,0.982017982017982,1,0.999000999000999,0.999000999000999,0.986013986013986,0.001998001998002,0.004995004995005,0.004995004995005,0.018981018981019,0.001998001998002,0.001998001998002,0.001998001998002,0.00999000999000999,0.99103227699792,0.0089677230020801,0.00533854834469634,0.99103227699792,0.0089677230020801,0.00533854834469634,NA,NA,-0.400485891483811,1.13506599288398,-0.392446802463955,1.16128985656156,0.0274284155293293,0.985788797542843,0.00529092702304332,0.00892027543411322,0,0
"Acrocephalus schoenobaenus",0.926233920035231,1,0.998001998001998,0.998001998001998,1,1,0.997002997002997,0.997002997002997,1,0.002997002997003,0.004995004995005,0.004995004995005,0.002997002997003,0.001998001998002,0.004995004995005,0.004995004995005,0.000999000999000999,0.999966535002794,3.34649972061284e-05,0.00698538000440193,0.999966535002794,3.34649972061284e-05,0.00673697638547585,NA,NA,-0.111945693257305,1.24445755925488,-0.0987253519730687,1.24472350135312,0.013223015876543,0.99298162088918,0.00673506772334873,3.3231239252122e-05,0.000250080148219012,6.7762635780344e-21
"Acrocephalus scirpaceus",0.890929827115349,1,0.99000999000999,0.99000999000999,1,0.999000999000999,0.99000999000999,0.99000999000999,1,0.004995004995005,0.010989010989011,0.010989010989011,0.003996003996004,0.002997002997003,0.003996003996004,0.003996003996004,0.001998001998002,0.996755900193997,0.00324409980600263,0.00102785660030817,0.996761040823731,0.00323895917626924,0.00102785660030817,NA,NA,-0.362775269663753,0.380534018682531,-0.396993790780434,0.476662325295468,0.102037044840017,0.995734698309967,0.0010245255471596,0.00323562409256633,0,5.15205030751252e-06
"Aegithalos caudatus",0.919126536136925,0.998001998001998,0.995004995004995,0.995004995004995,1,1,0.992007992007992,0.992007992007992,1,0.003996003996004,0.00899100899100899,0.00899100899100899,0.001998001998002,0.001998001998002,0.00599400599400599,0.00599400599400599,0.001998001998002,0.998704960430144,0.00129503956985574,0.000549368047901609,0.998704960430144,0.00129503956985574,0.000549368047901609,NA,NA,-0.165173325855176,0.274630553197702,-0.202802246810326,0.358570425452666,0.0919882484148308,0.998157013977765,0.000548656984885018,0.00129432903735004,0,0
"Alectoris graeca",0.894752616879189,1,0.535464535464535,0.535464535464535,1,1,0.536463536463537,0.536463536463537,1,0.001998001998002,0.497502497502497,0.497502497502497,0.001998001998002,0.001998001998002,0.453546453546454,0.453546453546454,0.000999000999000999,0.995775828726573,0.00422417127342739,0.0016087913246006,0.995969785584622,0.00403021441537744,0.00142924877710774,NA,NA,0.729739728533111,-0.897209308572277,1.50682966413888,-1.29635234879739,0.873603991852102,0.99418058947456,0.00142296516294978,0.00402297439257848,0.000179041238483785,0.000194429731428124
"Alectoris rufa",0.887511760192843,1,0.818181818181818,0.818181818181818,1,1,0.839160839160839,0.839160839160839,1,0.000999000999000999,0.191808191808192,0.191808191808192,0.000999000999000999,0.001998001998002,0.171828171828172,0.171828171828172,0.001998001998002,0.993013237907399,0.0069867620926007,0.00175261765377613,0.994022738714788,0.00597726128521189,0.00175261765377613,NA,NA,-0.935025877015462,-0.418773060047573,-0.725251961300958,-0.419570250232031,0.20977543046407,0.991285003782599,0.00174039384252586,0.00596079872718177,0,0.00101380364769377
"Anas crecca",0.940138546017537,1,0.952047952047952,0.952047952047952,1,1,0.962037962037962,0.962037962037962,1,0.001998001998002,0.044955044955045,0.044955044955045,0.001998001998002,0.002997002997003,0.036963036963037,0.036963036963037,0.000999000999000999,0.998767694326704,0.00123230567329559,0.00200693894501435,0.998767694326704,0.00123230567329559,0.0019944503207745,NA,NA,0.453785396331746,0.907148672513434,0.421313316518231,0.94198948047469,0.0476268607700369,0.996765693707222,0.00199197254783839,0.00122983555263055,1.24981923094246e-05,2.16840434497101e-19
"Anser brachyrhynchus",0.629760401334677,0.984015984015984,0.982017982017982,0.982017982017982,1,0.984015984015984,1,1,1,0.011988011988012,0.012987012987013,0.012987012987013,0.000999000999000999,0.016983016983017,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.972856798726796,0.0271432012732036,0.0178068580103016,0.980110880691819,0.019889119308181,0,NA,NA,1.30147183041441,1.55993121778835,1.25691848680554,1.47329290278755,0.097422779948567,0.95599534198138,0,0.0193997493439843,0.0173318999954397,0.00727300867919603
"Anthus campestris",0.826505763707041,0.996003996003996,0.999000999000999,0.999000999000999,1,0.996003996003996,0.999000999000999,0.999000999000999,1,0.00799200799200799,0.003996003996004,0.003996003996004,0.000999000999000999,0.00699300699300699,0.00599400599400599,0.00599400599400599,0.002997002997003,0.994786875788007,0.00521312421199348,0.00238007825598226,0.994786875788007,0.00521312421199348,0.00238007825598226,NA,NA,-0.032612476953034,0.396812296520923,-0.191288728063542,0.936530330801498,0.562559960532363,0.992431518912174,0.00236769998997715,0.00520078109784899,0,0
"Anthus petrosus",0.893199292606168,1,0.998001998001998,0.998001998001998,1,1,0.998001998001998,0.998001998001998,1,0.000999000999000999,0.00699300699300699,0.00699300699300699,0.000999000999000999,0.000999000999000999,0.00799200799200799,0.00799200799200799,0.000999000999000999,0.991972570693513,0.00802742930648672,0.0101398288770884,0.991972570693513,0.00802742930648672,0.00248940667306217,NA,NA,-1.57454449100043,-0.684530368543565,-1.64322381676738,-0.797920877314883,0.132567934536302,0.981994069711029,0.00245068333750004,0.00794667938094633,0.0076085675705245,0
"Anthus pratensis",0.977235615211947,1,1,1,1,1,1,1,1,0.002997002997003,0.002997002997003,0.002997002997003,0.002997002997003,0.001998001998002,0.000999000999000999,0.000999000999000999,0.001998001998002,0.999766531926214,0.000233468073786094,0.00021752833660466,0.999837036418172,0.000162963581827735,0.00021752833660466,NA,NA,0.155308893821557,-0.416511191018369,0.127093647214409,-0.435186929743521,0.0338361250445776,0.999549105138554,0.000217477561727717,0.000162916651867214,0,7.05006478514516e-05
"Anthus trivialis",0.940982358368247,1,0.762237762237762,0.762237762237762,1,1,0.759240759240759,0.759240759240759,1,0.001998001998002,0.216783216783217,0.216783216783217,0.000999000999000999,0.002997002997003,0.238761238761239,0.238761238761239,0.000999000999000999,0.998931767526444,0.00106823247355597,0.00336377493006129,0.998931767526444,0.00106823247355597,0.00335546412394705,NA,NA,0.278226124518557,1.05957585365062,0.186176423095301,1.17230768161681,0.145539041389957,0.995575163283873,0.00335186380182715,0.00106464300551685,8.32990878271928e-06,0
"Apus apus",0.938945781949932,1,1,1,1,1,1,1,1,0.002997002997003,0.017982017982018,0.017982017982018,0.002997002997003,0.002997002997003,0.011988011988012,0.011988011988012,0.002997002997003,1,0,0.000674354994842164,1,0,0.000674354994842164,NA,NA,-0.171634757598415,0.396749512846387,-0.251556072800269,0.429582226908206,0.0864025678800078,0.999325645005158,0.000674354994842164,0,0,0
"Apus pallidus",0.617436596833683,0.994005994005994,0.935064935064935,0.935064935064935,1,0.987012987012987,0.922077922077922,0.922077922077922,1,0.013986013986014,0.0679320679320679,0.0679320679320679,0.001998001998002,0.010989010989011,0.0599400599400599,0.0599400599400599,0.001998001998002,0.931160915423755,0.0688390845762451,0,0.932619207390848,0.067380792609152,0,NA,NA,-3.03816118676942,-0.671738339541516,-2.09656479736484,-0.349218123743781,0.995300482335842,0.931160915423755,0,0.067275432492376,0,0.00156365208386913
"Aquila adalberti",0.803922001483784,0.998001998001998,0.995004995004995,0.995004995004995,0.999000999000999,0.996003996003996,0.995004995004995,0.995004995004995,1,0.003996003996004,0.003996003996004,0.003996003996004,0.002997002997003,0.003996003996004,0.002997002997003,0.002997002997003,0.000999000999000999,0.947085774607754,0.0529142253922465,0.00672043256394547,0.947085774607754,0.0529142253922465,0.00672043256394547,NA,NA,-2.34276023237686,-1.47759848948285,-2.03505977737859,-1.95550996253175,0.568400339618051,0.941055593997716,0.00636709025910013,0.0525773157431837,0,0
"Aquila chrysaetos",0.922279473520552,1,0.995004995004995,0.995004995004995,1,1,1,1,1,0.000999000999000999,0.012987012987013,0.012987012987013,0.000999000999000999,0.000999000999000999,0.00899100899100899,0.00899100899100899,0.000999000999000999,0.999972326782141,2.76732178593806e-05,0.00747050962162678,1,0,0.00747050962162678,NA,NA,1.10361634998693,-0.00659171883155933,1.20059043610151,0.19972844349117,0.227973644877286,0.992502229076557,0.00747030443294525,0,0,2.74664904973318e-05
"Asio otus",0.878249645578895,0.997002997002997,1,1,1,0.999000999000999,1,1,1,0.00699300699300699,0.004995004995005,0.004995004995005,0.004995004995005,0.002997002997003,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.998680277499178,0.00131972250082222,0.00142564613667182,0.998968113469254,0.00103188653074601,0.00142564613667182,NA,NA,-0.181132945448631,0.930805828138732,-0.28062433547055,0.892138015034336,0.106741446771019,0.997258389118852,0.00142376735814451,0.00103012046683998,0,0.000287723056163759
"Branta leucopsis",0.537508347015516,0.992007992007992,0.866133866133866,0.866133866133866,1,0.994005994005994,0.879120879120879,0.879120879120879,1,0.014985014985015,0.122877122877123,0.122877122877123,0.001998001998002,0.013986013986014,0.126873126873127,0.126873126873127,0.000999000999000999,0.98653252045895,0.0134674795410496,0.044919409395027,0.98653252045895,0.0134674795410496,0.0389473369735611,NA,NA,0.966883264416665,1.11488025300804,0.952373339802711,-0.0430200585268968,1.15799122162692,0.942788403292342,0.0382071649665491,0.0128703142264095,0.00613411751469917,0
"Buteo buteo",0.931634324185852,1,1,1,1,1,1,1,1,0.002997002997003,0.002997002997003,0.002997002997003,0.002997002997003,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.999571385958872,0.000428614041128279,0.000613342833427547,0.999571385958872,0.000428614041128279,0.000613342833427547,NA,NA,-0.211313229664888,0.602377388894982,-0.280928949785648,0.463351741222494,0.155481443261524,0.998958568626366,0.000613080107248119,0.000428351266385976,0,0
"Caprimulgus europaeus",0.886115948331903,0.997002997002997,0.993006993006993,0.993006993006993,1,0.997002997002997,0.993006993006993,0.993006993006993,1,0.00699300699300699,0.015984015984016,0.015984015984016,0.004995004995005,0.00599400599400599,0.00899100899100899,0.00899100899100899,0.000999000999000999,0.997732370482314,0.00226762951768575,0.00120216082032409,0.997732370482314,0.00226762951768575,0.00119249786179418,NA,NA,-0.313311341951306,-0.484908100522645,-0.435366370764153,-0.573414724752339,0.150767544886296,0.996535652328709,0.00118978545121021,0.00226490963659364,9.65258348718497e-06,0
"Caprimulgus ruficollis",0.878705742523945,0.996003996003996,0.994005994005994,0.994005994005994,1,0.997002997002997,0.991008991008991,0.991008991008991,1,0.002997002997003,0.00699300699300699,0.00699300699300699,0.001998001998002,0.004995004995005,0.00699300699300699,0.00699300699300699,0.001998001998002,0.983423269243323,0.0165767307566775,0.00303352798649592,0.983423269243323,0.0165767307566775,0.00303352798649592,NA,NA,-1.96868890545792,1.33035286502571,-2.14917999434227,1.67388326360737,0.388059490176869,0.980489332097185,0.00298339203260309,0.0165272758702114,0,0
"Carduelis carduelis",0.908307901084223,1,0.969030969030969,0.969030969030969,1,1,0.966033966033966,0.966033966033966,1,0.003996003996004,0.026973026973027,0.026973026973027,0.003996003996004,0.002997002997003,0.02997002997003,0.02997002997003,0.002997002997003,0.996437553110071,0.00356244688992918,0,0.996441422205174,0.00355857779482611,0,NA,NA,-0.400903463389955,0.165315295396887,-0.309194113676369,0.309519637981599,0.17089615924642,0.996437553110071,0,0.00355856397717902,0,3.8829127501634e-06
"Carduelis citrinella",0.891191284059242,1,0.725274725274725,0.725274725274725,0.998001998001998,1,0.732267732267732,0.732267732267732,0.994005994005994,0.000999000999000999,0.283716283716284,0.283716283716284,0.00699300699300699,0.000999000999000999,0.275724275724276,0.275724275724276,0.00699300699300699,0.989639158906026,0.0103608410939741,0.0905852632806385,0.99007299613583,0.00992700386416971,0.0905852632806385,NA,NA,1.79923405198958,-0.685757655913011,2.19212028642886,-0.548376542998603,0.416212882306016,0.900837907119114,0.0897309397953447,0.00903228491218757,1.38777878078145e-17,0.000398868173354027
"Certhia brachydactyla",0.943042905343544,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.000999000999000999,0.000999000999000999,0.001998001998002,0.999255680819427,0.000744319180573275,0.000556070817843312,0.999271430073747,0.000728569926252922,0.000556070817843312,NA,NA,0.236966210753885,-0.3770048411703,0.183775533919003,-0.284924651079098,0.106339125017017,0.998700437252053,0.000555657153651093,0.000728153614742883,0,1.57519795531068e-05
"Cettia cetti",0.866196036154754,1,0.898101898101898,0.898101898101898,0.999000999000999,1,0.86013986013986,0.86013986013986,1,0.000999000999000999,0.133866133866134,0.133866133866134,0.001998001998002,0.000999000999000999,0.132867132867133,0.132867132867133,0.002997002997003,0.985612704480887,0.0143872955191131,0.00162031510014693,0.985612704480887,0.0143872955191131,0.00162031510014693,NA,NA,-1.21642710239827,-0.415914772678755,-0.911488511918552,-0.446841145778606,0.306502829541371,0.984038641194667,0.00159704037809595,0.0143643184272374,0,0
"Charadrius hiaticula",0.939700601107347,1,1,1,1,1,1,1,1,0.003996003996004,0.164835164835165,0.164835164835165,0.003996003996004,0.002997002997003,0.162837162837163,0.162837162837163,0.000999000999000999,1,0,0.00166124620264005,1,0,0.00133429402900145,NA,NA,-0.454398734099365,0.340474797380786,-0.258745658816273,0.33095649441054,0.195884465844449,0.99833875379736,0.00133385719580447,0,0.000327389006835582,0
"Ciconia ciconia",0.814988575608402,1,0.998001998001998,0.998001998001998,1,0.999000999000999,0.998001998001998,0.998001998001998,1,0.002997002997003,0.00599400599400599,0.00599400599400599,0.002997002997003,0.00599400599400599,0.00799200799200799,0.00799200799200799,0.002997002997003,0.989404318888699,0.0105956811113013,7.88776333946703e-05,0.989404318888699,0.0105956811113013,7.88776333946703e-05,NA,NA,0.45995147758278,1.48838396301237,0.424631258095253,1.16697471115941,0.323344127952444,0.989327103859801,7.80419363689106e-05,0.0105948542038303,0,0
"Cinclus cinclus",0.936407373825313,1,0.84015984015984,0.84015984015984,1,1,0.829170829170829,0.829170829170829,1,0.001998001998002,0.166833166833167,0.166833166833167,0.001998001998002,0.001998001998002,0.144855144855145,0.144855144855145,0.001998001998002,0.998339198694897,0.00166080130510267,0.00471526004975376,0.998339198694897,0.00166080130510267,0.00471526004975376,NA,NA,0.945166573593428,0.153081111323113,0.972018883081891,0.0873722585668065,0.070983799950511,0.993639551055857,0.00470746580439197,0.00165298313975101,0,0
"Circus aeruginosus",0.875874299630614,1,0.954045954045954,0.954045954045954,1,1,0.951048951048951,0.951048951048951,1,0.000999000999000999,0.045954045954046,0.045954045954046,0.000999000999000999,0.001998001998002,0.046953046953047,0.046953046953047,0.001998001998002,0.991531639005291,0.0084683609947093,0.000338859858916377,0.991531639005291,0.0084683609947093,0.000338859858916377,NA,NA,-0.451531841388919,1.30091095942595,-0.395559530501482,1.24818755638349,0.0768938021849446,0.991198493064903,0.000335991235460743,0.00846551569963636,0,0
"Circus pygargus",0.852518810284553,0.997002997002997,0.976023976023976,0.976023976023976,1,0.997002997002997,0.973026973026973,0.973026973026973,1,0.004995004995005,0.038961038961039,0.038961038961039,0.001998001998002,0.004995004995005,0.031968031968032,0.031968031968032,0.000999000999000999,0.997906178901801,0.00209382109819936,0.00884819301640492,0.997906178901801,0.00209382109819936,0.0088350637771696,NA,NA,-0.478733498113331,0.0363748493048066,-0.358394033195554,0.817863022678127,0.79069928034561,0.989094836916967,0.00881661128886621,0.00207533301370669,1.32187804601121e-05,0
"Coccothraustes coccothraustes",0.838042945705812,0.998001998001998,0.995004995004995,0.995004995004995,1,1,0.998001998001998,0.998001998001998,1,0.002997002997003,0.003996003996004,0.003996003996004,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.991387327327057,0.00861267267294289,0.00050314875182621,0.991387327327057,0.00861267267294289,0.00050314875182621,NA,NA,-0.298518234106712,0.849863435485069,-0.259046001826536,0.957152747716297,0.114319961687495,0.990892806020622,0.000498817457924191,0.00860837652145423,0,0
"Columba livia",0.889168489344632,1,1,1,1,1,1,1,1,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.999747817274747,0.000252182725252509,0.00181235420545777,0.999747817274747,0.000252182725252509,0.00181235420545777,NA,NA,-0.375542389149049,0.352257289281226,-0.496957735580064,0.481649599574492,0.177437471555453,0.997936376214967,0.00181189798915299,0.000251725795879725,0,0
"Columba oenas",0.83287866034771,0.997002997002997,0.982017982017982,0.982017982017982,0.998001998001998,0.999000999000999,0.986013986013986,0.986013986013986,1,0.001998001998002,0.013986013986014,0.013986013986014,0.001998001998002,0.002997002997003,0.018981018981019,0.018981018981019,0.001998001998002,0.997997555802818,0.00200244419718186,0.00930968543624123,0.997997555802818,0.00200244419718186,0.00930968543624123,NA,NA,-0.0606463543899259,0.609068008016332,-0.0599855626955897,0.823502997433697,0.214436007545582,0.988724944426734,0.00929121651868696,0.00198383905457925,0,0
"Columba palumbus",0.937826010806463,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.000999000999000999,0.000999000999000999,0.001998001998002,0.999282422530647,0.000717577469352907,0.000349245688973986,0.999289702167526,0.000710297832473694,0.000349245688973986,NA,NA,-0.121821406914164,0.525348150571688,-0.206196532922142,0.609141000108781,0.118913428688302,0.998933677796117,0.000348995165598281,0.00071004476938421,0,7.28226890095028e-06
"Coracias garrulus",0.696408699252585,0.995004995004995,0.978021978021978,0.978021978021978,1,0.994005994005994,0.987012987012987,0.987012987012987,0.998001998001998,0.00599400599400599,0.023976023976024,0.023976023976024,0.003996003996004,0.00599400599400599,0.013986013986014,0.013986013986014,0.001998001998002,0.992527170312307,0.00747282968769308,0.0225677362185424,0.992721580629766,0.00727841937023382,0.0225677362185424,NA,NA,0.101422641762038,1.23837289647412,-0.514385307508372,0.922519260511501,0.692085941004032,0.970291713642688,0.0224028694978926,0.00711396844911357,3.46944695195361e-18,0.000191448410306147
"Coturnix coturnix",0.830891952140299,0.998001998001998,0.963036963036963,0.963036963036963,0.999000999000999,1,0.964035964035964,0.964035964035964,1,0.004995004995005,0.03996003996004,0.03996003996004,0.003996003996004,0.004995004995005,0.042957042957043,0.042957042957043,0.003996003996004,0.992377372057917,0.00762262794208303,0.000750236409152703,0.992377372057917,0.00762262794208303,0.000750236409152703,NA,NA,-0.609355155222431,0.33812051722934,-0.263978384355079,0.564083869559182,0.412728179860426,0.99163852537742,0.000744521893888843,0.00761695272869118,0,0
"Crex crex",0.845695944960307,0.999000999000999,0.989010989010989,0.989010989010989,0.995004995004995,0.999000999000999,0.992007992007992,0.992007992007992,0.996003996003996,0.004995004995005,0.011988011988012,0.011988011988012,0.00599400599400599,0.002997002997003,0.010989010989011,0.010989010989011,0.00799200799200799,0.996956307699752,0.00304369230024812,0.00600348867629754,0.996956307699752,0.00304369230024812,0.00600348867629754,NA,NA,-0.551789936884586,1.20914629876828,-0.3397397692824,1.24809789889538,0.215598007255577,0.990989199915674,0.00598532527252446,0.00302547481180166,0,0
"Cyanistes caeruleus",0.931602983135937,1,0.463536463536464,0.463536463536464,1,1,0.467532467532468,0.467532467532468,1,0.000999000999000999,0.511488511488511,0.511488511488511,0.000999000999000999,0.003996003996004,0.538461538461538,0.538461538461538,0.003996003996004,0.999022623604335,0.000977376395665146,6.32429090788535e-05,0.999022623604335,0.000977376395665146,6.32429090788535e-05,NA,NA,-0.196272243541646,0.422991586352611,-0.155848115025306,0.43725933887056,0.0428681575090303,0.998959504255194,6.31811008576849e-05,0.000977314643948516,0,0
"Cygnus olor",0.808990208280744,0.998001998001998,0.991008991008991,0.991008991008991,1,0.996003996003996,1,1,1,0.003996003996004,0.00599400599400599,0.00599400599400599,0.000999000999000999,0.003996003996004,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.979365022876137,0.0206349771238634,2.30332271530315e-05,0.981023415523472,0.0189765844765277,0,NA,NA,-0.0263077242936339,0.770255585572112,-0.263772534784656,0.912814353999218,0.276970284826712,0.979342930411113,0,0.0189440777420384,2.25579477592096e-05,0.00169043389908909
"Dendrocopos major",0.920781651799694,1,0.951048951048951,0.951048951048951,1,1,0.944055944055944,0.944055944055944,1,0.001998001998002,0.0569430569430569,0.0569430569430569,0.001998001998002,0.000999000999000999,0.0549450549450549,0.0549450549450549,0.000999000999000999,0.998750870843313,0.00124912915668659,0.000222115628506022,0.998750870843313,0.00124912915668659,0.000222115628506022,NA,NA,-0.0810874132582868,0.936619560953197,-0.116616820777753,0.721915728027458,0.217623699701315,0.998529309708978,0.000221838238947564,0.00124885205207425,0,0
