"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","niche_stability_NA","niche_expansion_NA","niche_unfilling_NA","niche_stability_A","niche_expansion_A","niche_unfilling_A","niche_centroid_hist_X","niche_centroid_hist_Y","niche_centroid_rec_X","niche_centroid_rec_Y","niche_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Accipiter gentilis",0.903028943487656,0.999000999000999,0.97002997002997,0.97002997002997,1,1,0.979020979020979,0.979020979020979,1,0.004995004995005,0.023976023976024,0.023976023976024,0.003996003996004,0.00599400599400599,0.023976023976024,0.023976023976024,0.001998001998002,0.998935119900175,0.00106488009982507,0.0033247808181387,0.998935119900175,0.00106488009982507,0.0033247808181387,-0.137413231148795,0.92255419350762,-0.0769254525471979,0.842437664374453,0.100386401472019,0.995617404551347,0.00332125208407871,0.00106134336457423,0,0
"Accipiter nisus",0.936313635726441,1,0.985014985014985,0.985014985014985,1,1,0.988011988011988,0.988011988011988,1,0.002997002997003,0.01998001998002,0.01998001998002,0.002997002997003,0.002997002997003,0.013986013986014,0.013986013986014,0.002997002997003,0.999425356229745,0.000574643770255175,0.00059140922022594,0.999425356229745,0.000574643770255175,0.00059140922022594,-0.114171491306834,0.500054823997401,-0.0230081643185228,0.505585301153406,0.0913309277580758,0.998834626312715,0.000591069571476637,0.000574304115808139,0,0
"Acrocephalus melanopogon",0.695341519779375,0.956043956043956,0.949050949050949,0.949050949050949,0.98001998001998,0.97002997002997,0.952047952047952,0.952047952047952,0.985014985014985,0.02997002997003,0.047952047952048,0.047952047952048,0.00999000999000999,0.03996003996004,0.0579420579420579,0.0579420579420579,0.016983016983017,0.991869051644203,0.00813094835579699,0.0744788626541978,0.991869051644203,0.00813094835579699,0.0744788626541978,1.16872028541092,-0.176050224009409,0.04046620750221,-1.96967199274525,2.11897057874826,0.918552032993476,0.0739180424363385,0.00752992457018552,0,0
"Acrocephalus palustris",0.886782889105098,1,0.998001998001998,0.998001998001998,0.991008991008991,1,1,1,0.995004995004995,0.002997002997003,0.003996003996004,0.003996003996004,0.011988011988012,0.003996003996004,0.000999000999000999,0.000999000999000999,0.013986013986014,0.993261772212054,0.0067382277879461,0.00351027915565258,0.994006578701942,0.00599342129805816,0.00351027915565258,0.270521117998065,1.09407261020836,0.175073174762162,1.10476147751729,0.0960445821080613,0.989798557882173,0.00348670856643135,0.005968048788314,0,0.000746684763081305
"Acrocephalus schoenobaenus",0.940649140526141,1,0.999000999000999,0.999000999000999,0.999000999000999,1,0.997002997002997,0.997002997002997,1,0.004995004995005,0.004995004995005,0.004995004995005,0.004995004995005,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.999919807679396,8.01923206041983e-05,0.00636241937097069,0.999919807679396,8.01923206041983e-05,0.00622501868541578,-0.0812649669503377,1.14570131668555,-0.0587125427873616,1.195964301862,0.0550906481580537,0.993558405456161,0.00622366205157931,7.96821440853814e-05,0.000138250348174336,0
"Acrocephalus scirpaceus",0.911088774516165,1,1,1,1,1,0.999000999000999,0.999000999000999,1,0.001998001998002,0.002997002997003,0.002997002997003,0.001998001998002,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.996919051027067,0.00308094897293257,0.00121709004962459,0.996919051027067,0.00308094897293257,0.00121709004962459,0.227602803933024,0.437791045661112,0.219661041128102,0.475558660379276,0.0385935787139434,0.995709444473427,0.0012133448070773,0.00307721071949539,0,0
"Aegithalos caudatus",0.936052433607021,1,0.998001998001998,0.998001998001998,1,1,0.997002997002997,0.997002997002997,1,0.001998001998002,0.00599400599400599,0.00599400599400599,0.001998001998002,0.001998001998002,0.00599400599400599,0.00599400599400599,0.001998001998002,0.998961218563409,0.00103878143659116,0.00124923158185576,0.998961218563409,0.00103878143659116,0.00124923158185576,0.0794917156058802,0.32137210520833,0.0834330812587107,0.427110866165239,0.1058121917924,0.997714579372966,0.00124793552269772,0.00103748510433612,0,0
"Alectoris graeca",0.919598190579093,1,0.852147852147852,0.852147852147852,1,1,0.86013986013986,0.86013986013986,1,0.000999000999000999,0.143856143856144,0.143856143856144,0.000999000999000999,0.000999000999000999,0.122877122877123,0.122877122877123,0.000999000999000999,0.998977781427131,0.00102221857286915,0.00110586762141795,0.999045890722955,0.00095410927704454,0.00100273332141718,-1.11571469516037,1.14201283928583,-1.73787895501592,1.44386315396504,0.691521495481908,0.997874172279439,0.00100160602686425,0.000952990261944809,0.000103132404970724,6.80990267811605e-05
"Alectoris rufa",0.900265778993942,0.999000999000999,0.968031968031968,0.968031968031968,1,0.999000999000999,1,1,1,0.002997002997003,0.031968031968032,0.031968031968032,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.99261986815485,0.00738013184515007,0.00200084337917003,0.994490436490831,0.00550956350916904,0.00200084337917003,0.646466335223437,-0.437306534500943,0.538535895572626,-0.4574792180145,0.109799439722412,0.990648419661561,0.00198610621904379,0.005488278401794,0,0.00187719571760105
"Anas crecca",0.944130342325065,1,1,1,1,1,1,1,1,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.999837780084904,0.000162219915096373,0.00365325216782678,0.999837780084904,0.000162219915096373,0.0036271806787756,0.263010034475231,0.795771782107457,0.323934477547257,0.824940973205588,0.0675472388255499,0.996185710917127,0.00362649953214552,0.000161627380625159,2.61621701026071e-05,0
