"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std","range_abandonment_std","range_pioneering_std"
"Accipiter gentilis",4607828.70147269,3193319.0029971,4621183.83313962,3130827.79258023,63902.3545826476,-62491.2104168693,13355.1316669285,2010,2129,0.931020331748937,1,0.94005994005994,0.94005994005994,1,1,0.945054945054945,0.945054945054945,1,0.000999000999000999,0.050949050949051,0.050949050949051,0.000999000999000999,0.000999000999000999,0.0579420579420579,0.0579420579420579,0.000999000999000999,0.999392567213308,0.000607432786692562,0.00185060896769413,0.999392567213308,0.000607432786692562,0.00185060896769413,0.997544203726127,0.00184948692617809,0.000606309347695042,0,0
"Accipiter nisus",4510290.86718486,3166898.30389824,4530175.51411039,3077743.10165805,91345.7676624421,-89155.2022401839,19884.6469255239,2225,2341,0.947545356179057,1,0.657342657342657,0.657342657342657,1,1,0.683316683316683,0.683316683316683,1,0.000999000999000999,0.347652347652348,0.347652347652348,0.000999000999000999,0.000999000999000999,0.385614385614386,0.385614385614386,0.000999000999000999,0.999995570142448,4.42985755232855e-06,0,0.999995570142448,4.42985755232855e-06,0,0.999995570142448,0,4.42985755232855e-06,0,0
"Acrocephalus melanopogon",4562131.46985409,2220468.76521107,4650068.4220562,2377698.69528875,180150.377392973,157229.930077687,87936.9522021115,119,105,0.796611132133885,0.999000999000999,0.812187812187812,0.812187812187812,1,0.997002997002997,0.797202797202797,0.797202797202797,1,0.00699300699300699,0.202797202797203,0.202797202797203,0.001998001998002,0.010989010989011,0.208791208791209,0.208791208791209,0.001998001998002,0.963347054048306,0.0366529459516935,0.010946442287169,0.963347054048306,0.0366529459516935,0.010946442287169,0.953184267097891,0.0105494555754421,0.0362662773266671,0,0
"Acrocephalus palustris",4878708.4637414,3231184.02301941,4909283.02507522,3230341.7378255,30586.1610062997,-842.285193901043,30574.5613338184,1260,1461,0.920636535473333,1,0.867132867132867,0.867132867132867,1,1,0.877122877122877,0.877122877122877,1,0.002997002997003,0.110889110889111,0.110889110889111,0.002997002997003,0.001998001998002,0.112887112887113,0.112887112887113,0.001998001998002,0.998205641204549,0.00179435879545131,0.00176899906150158,0.998205641204549,0.00179435879545131,0.00176899906150158,0.996442979290335,0.00176583044760903,0.00179119026205637,0,0
"Acrocephalus schoenobaenus",4724801.50491073,3481923.73526397,4737177.90733497,3494024.40336135,17309.000703955,12100.6680973782,12376.4024242349,1693,1695,0.949309868621718,1,1,1,1,1,1,1,1,0.000999000999000999,0.167832167832168,0.167832167832168,0.000999000999000999,0.000999000999000999,0.146853146853147,0.146853146853147,0.000999000999000999,1,0,0.0183461882075257,1,0,0.0183461882075257,0.981653811792474,0.0183461882075257,0,0,0
"Acrocephalus scirpaceus",4539151.22497803,2971381.09516762,4587171.39759287,2934890.24747312,60311.8474548952,-36490.8476944985,48020.1726148445,1615,1985,0.895105257195318,1,0.460539460539461,0.460539460539461,1,1,0.462537462537463,0.462537462537463,1,0.000999000999000999,0.53946053946054,0.53946053946054,0.000999000999000999,0.000999000999000999,0.541458541458541,0.541458541458541,0.000999000999000999,0.995428469695383,0.00457153030461715,0,0.995428469695383,0.00457153030461715,0,0.995428469695383,0,0.00457153030461715,0,0
"Aegithalos caudatus",4469164.27617104,2982216.12590842,4512218.36670383,2988831.48590101,43559.3583451029,6615.35999259073,43054.0905327881,2059,2230,0.940215141506552,1,0.832167832167832,0.832167832167832,1,1,0.853146853146853,0.853146853146853,1,0.001998001998002,0.161838161838162,0.161838161838162,0.001998001998002,0.002997002997003,0.16983016983017,0.16983016983017,0.002997002997003,0.996667908214843,0.0033320917851567,0.000386286127717001,0.996667908214843,0.0033320917851567,0.000386286127717001,0.996284191586023,0.000384999482432669,0.003330808931544,0,0
"Alectoris graeca",4861230.01669639,2194900.6142806,4851387.21583178,2240797.00753521,46939.9578466183,45896.3932546098,-9842.80086461734,235,200,0.845785099667435,0.999000999000999,0.997002997002997,0.997002997002997,1,1,0.998001998001998,0.998001998001998,1,0.000999000999000999,0.003996003996004,0.003996003996004,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.997902977409625,0.0020970225903751,0.0411759410570263,0.997902977409625,0.0020970225903751,0.0411759410570263,0.956896008214607,0.0410931424430306,0.00201084934236256,0,0
"Alectoris rufa",3436962.42497333,2441870.28430016,3481081.87331202,2461690.40217344,48366.9597372096,19820.1178732808,44119.4483386874,569,631,0.931995377991601,1,0.975024975024975,0.975024975024975,1,1,0.97002997002997,0.97002997002997,1,0.000999000999000999,0.041958041958042,0.041958041958042,0.000999000999000999,0.000999000999000999,0.02997002997003,0.02997002997003,0.000999000999000999,0.993712760820604,0.00628723917939612,0.00017165722757307,0.993712760820604,0.00628723917939612,0.00017165722757307,0.993543255124682,0.000170578161622935,0.00628616671369522,0,0
"Anas crecca",4478944.84037178,3720720.39265757,4494702.37010006,3721663.85885111,15785.749003329,943.466193536296,15757.5297282841,1459,1433,0.961947630347508,1,0.946053946053946,0.946053946053946,1,1,0.941058941058941,0.941058941058941,1,0.000999000999000999,0.051948051948052,0.051948051948052,0.000999000999000999,0.000999000999000999,0.0659340659340659,0.0659340659340659,0.000999000999000999,0.999650690718818,0.000349309281182449,0.00065261789539874,0.999650690718818,0.000349309281182449,0.00065261789539874,0.998998528526094,0.000652390078633234,0.000349081395273031,0,0
