"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std","range_abandonment_std","range_pioneering_std"
"Accipiter gentilis",4607828.70147269,3193319.0029971,4621183.83313962,3130827.79258023,63902.3545826476,-62491.2104168693,13355.1316669285,2010,2129,0.931347661246666,1,0.989010989010989,0.989010989010989,1,1,0.99000999000999,0.99000999000999,1,0.000999000999000999,0.012987012987013,0.012987012987013,0.000999000999000999,0.002997002997003,0.012987012987013,0.012987012987013,0.002997002997003,0.999451992096989,0.000548007903011043,0.0022248308300446,0.999493054492431,0.000506945507568644,0.0022248308300446,0.997229596338955,0.00222361431625277,0.000505797475636539,8.67361737988404e-19,4.09918691559484e-05
"Accipiter nisus",4510290.86718486,3166898.30389824,4530175.51411039,3077743.10165805,91345.7676624421,-89155.2022401839,19884.6469255239,2225,2341,0.94754297886582,1,0.639360639360639,0.639360639360639,1,1,0.632367632367632,0.632367632367632,1,0.000999000999000999,0.385614385614386,0.385614385614386,0.000999000999000999,0.000999000999000999,0.356643356643357,0.356643356643357,0.000999000999000999,0.999990823150246,9.17684975366509e-06,0,0.999990823150246,9.17684975366509e-06,0,0.999990823150246,0,9.17684975366509e-06,0,0
"Acrocephalus melanopogon",4562131.46985409,2220468.76521107,4650068.4220562,2377698.69528875,180150.377392973,157229.930077687,87936.9522021115,119,105,0.78198987017497,0.994005994005994,0.626373626373626,0.626373626373626,1,0.994005994005994,0.666333666333666,0.666333666333666,1,0.00599400599400599,0.352647352647353,0.352647352647353,0.000999000999000999,0.002997002997003,0.32967032967033,0.32967032967033,0.000999000999000999,0.970915258566121,0.0290847414338786,0.0200173207256051,0.970915258566121,0.0290847414338786,0.0200173207256051,0.952034409536026,0.0194464438204205,0.0285191466435532,0,0
"Acrocephalus palustris",4878708.4637414,3231184.02301941,4909283.02507522,3230341.7378255,30586.1610062997,-842.285193901043,30574.5613338184,1260,1461,0.921579601147155,1,0.874125874125874,0.874125874125874,1,1,0.882117882117882,0.882117882117882,1,0.000999000999000999,0.115884115884116,0.115884115884116,0.000999000999000999,0.000999000999000999,0.135864135864136,0.135864135864136,0.000999000999000999,0.998175184438842,0.00182481556115831,0.00154032164771585,0.998252836164367,0.00174716383563263,0.00154032164771585,0.996640474953987,0.00153751516645602,0.00174434184595757,0,7.76680335994695e-05
"Acrocephalus schoenobaenus",4724801.50491073,3481923.73526397,4737177.90733497,3494024.40336135,17309.000703955,12100.6680973782,12376.4024242349,1693,1695,0.943181579159834,1,1,1,1,1,1,1,1,0.000999000999000999,0.205794205794206,0.205794205794206,0.000999000999000999,0.000999000999000999,0.196803196803197,0.196803196803197,0.000999000999000999,1,0,0.022616164213894,1,0,0.022616164213894,0.977383835786106,0.022616164213894,0,0,0
"Acrocephalus scirpaceus",4539151.22497803,2971381.09516762,4587171.39759287,2934890.24747312,60311.8474548952,-36490.8476944985,48020.1726148445,1615,1985,0.894674675170652,1,0.417582417582418,0.417582417582418,1,1,0.44955044955045,0.44955044955045,1,0.001998001998002,0.553446553446553,0.553446553446553,0.001998001998002,0.000999000999000999,0.593406593406593,0.593406593406593,0.000999000999000999,0.995106464506188,0.00489353549381242,0,0.995112175815085,0.00488782418491451,0,0.995106464506188,0,0.00488779613192266,0,5.73936188975107e-06
"Aegithalos caudatus",4469164.27617104,2982216.12590842,4512218.36670383,2988831.48590101,43559.3583451029,6615.35999259073,43054.0905327881,2059,2230,0.940825768111568,1,0.655344655344655,0.655344655344655,1,1,0.623376623376623,0.623376623376623,1,0.000999000999000999,0.368631368631369,0.368631368631369,0.000999000999000999,0.000999000999000999,0.35964035964036,0.35964035964036,0.000999000999000999,0.995667124488993,0.0043328755110068,0.000325939025645404,0.995667124488993,0.0043328755110068,0.000325939025645404,0.995344003394346,0.000324527230737731,0.00433146937491608,0,0
"Alectoris graeca",4861230.01669639,2194900.6142806,4851387.21583178,2240797.00753521,46939.9578466183,45896.3932546098,-9842.80086461734,235,200,0.830409682501586,1,0.999000999000999,0.999000999000999,1,0.997002997002997,0.995004995004995,0.995004995004995,1,0.000999000999000999,0.002997002997003,0.002997002997003,0.000999000999000999,0.000999000999000999,0.002997002997003,0.002997002997003,0.000999000999000999,0.998575857713054,0.00142414228694576,0.0697480092605982,0.998575857713054,0.00142414228694576,0.0697480092605982,0.929019460056933,0.0696555971375277,0.00132494280553975,0,0
"Alectoris rufa",3436962.42497333,2441870.28430016,3481081.87331202,2461690.40217344,48366.9597372096,19820.1178732808,44119.4483386874,569,631,0.931575426912256,1,0.923076923076923,0.923076923076923,1,1,0.919080919080919,0.919080919080919,1,0.000999000999000999,0.0859140859140859,0.0859140859140859,0.000999000999000999,0.002997002997003,0.0699300699300699,0.0699300699300699,0.002997002997003,0.994166077188607,0.00583392281139256,0,0.994354230142379,0.00564576985762091,0,0.994166077188607,0,0.00564470155797193,0,0.000189221253420638
"Anas crecca",4478944.84037178,3720720.39265757,4494702.37010006,3721663.85885111,15785.749003329,943.466193536296,15757.5297282841,1459,1433,0.961696533526408,1,0.942057942057942,0.942057942057942,1,1,0.947052947052947,0.947052947052947,1,0.000999000999000999,0.0789210789210789,0.0789210789210789,0.000999000999000999,0.002997002997003,0.0669330669330669,0.0669330669330669,0.000999000999000999,0.999592257811043,0.00040774218895675,0.000644235700227585,0.999592257811043,0.00040774218895675,0.000637452649331084,0.998948547198767,0.000637188575502869,0.000407479613919725,6.78461181031359e-06,0
