"Trait","rangeD_coef","rangeD_stderr","rangeD_p","rangeD_varimp","range_stab_coef","range_stab_stderr","range_stab_p","range_stab_varimp","range_unf_coef","range_unf_stderr","range_unf_p","range_unf_varimp","range_exp_coef","range_exp_stderr","range_exp_p","range_exp_varimp","nicheD_coef","nicheD_stderr","nicheD_p","nicheD_varimp","niche_stab_coef","niche_stab_stderr","niche_stab_p","niche_stab_varimp","niche_unf_coef","niche_unf_stderr","niche_unf_p","niche_unf_varimp","niche_exp_coef","niche_exp_stderr","niche_exp_p","niche_exp_varimp"
"Intercept",2.593,0.305487126929944,0,NA,5.415,0.214645856764047,0,NA,-10.648,1.08894620287045,0,NA,-2.906,0.869893669833446,0.001,NA,2.009,0.236557455966409,0,NA,4.492,0.357247639532566,0,NA,-7,0.399968749579835,0,NA,-4.676,0.701290912541286,0,NA
"Mass",-0.134,0.0406471202124137,0.001,0.057,-0.171,0.0710797563927013,0.017,0.025,NA,NA,NA,NA,0.321,0.115205384073148,0.006,0.11,-0.117,0.0353730123195179,0.001,0.032,-0.141,0.053543291776996,0.009,0.014,-0.292,0.108768119458242,0.008,0,0.284,0.0931568525899775,0.002,0.043
"Hand.Wing.Index",-0.141,0.0426146392666178,0.001,0.056,-0.151,0.0736324954586244,0.041,0.015,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0.0364558485991724,0.006,0.018,-0.124,0.055818734959421,0.027,0,NA,NA,NA,NA,NA,NA,NA,NA
"Trophic.Level",NA,NA,NA,NA,NA,NA,NA,NA,0.519,0.173475687711361,0.003,0.129,-0.282,0.153776412735207,0.068,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Habitat.Density",-0.153,0.0515860358816195,0.003,0.032,-0.296,0.0894036999612734,0.001,0.055,0.448,0.161481696831256,0.006,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453,0.128549906855424,0,0.124,-0.173,0.117105068032613,0.141,0
"Range.Size",NA,NA,NA,NA,0.285,0.0955071087996273,0.003,0.043,NA,NA,NA,NA,-0.414,0.11680397566968,0,0.163,NA,NA,NA,NA,0.129,0.0725265953845787,0.076,0,NA,NA,NA,NA,-0.191,0.126116067004054,0.132,0
"Migration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221,0.114124042123996,0.054,0
"Centroid.Latitude",0.9,0.483173780298943,0.064,0,NA,NA,NA,NA,4.003,1.54188084639628,0.01,0.1,-5.05,1.35753564909193,0,0.201,0.687,0.419956262998918,0.103,0.01,1.149,0.635899213917157,0.072,0,NA,NA,NA,NA,-3.382,1.12215332081786,0.003,0.038
"niche_breadth_zcor",0.185,0.0412818701770051,0,0.119,0.335,0.0939835645247041,0,0.056,-0.274,0.133432950446326,0.041,0.05,NA,NA,NA,NA,0.167,0.0360928234506064,0,0.054,0.382,0.0716183716607885,0,0.035,-0.492,0.101434587521317,0,0.052,-0.289,0.126970254226895,0.024,0.027
"region",-0.961,0.0909058823831822,0,0.736,-1.775,0.148733370914639,0,0.806,1.784,0.295582445179418,0,0.613,1.45,0.251808217839374,0,0.48,-1.492,0.0792357345083862,0,0.885,-3.078,0.121532501405202,0,0.951,2.52,0.218678853907883,0,0.824,2.396,0.216225527047656,0,0.892
"R2",0.416,NA,NA,NA,0.415,NA,NA,NA,0.141,NA,NA,NA,0.258,NA,NA,NA,0.615,NA,NA,NA,0.75,NA,NA,NA,0.321,NA,NA,NA,0.452,NA,NA,NA
"lambda",0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.089,NA,NA,NA,0,NA,NA,NA
