"Trait","rangeD_coef","rangeD_stderr","rangeD_p","rangeD_varimp","range_stab_coef","range_stab_stderr","range_stab_p","range_stab_varimp","range_unf_coef","range_unf_stderr","range_unf_p","range_unf_varimp","range_exp_coef","range_exp_stderr","range_exp_p","range_exp_varimp","nicheD_coef","nicheD_stderr","nicheD_p","nicheD_varimp","niche_stab_coef","niche_stab_stderr","niche_stab_p","niche_stab_varimp","niche_unf_coef","niche_unf_stderr","niche_unf_p","niche_unf_varimp","niche_exp_coef","niche_exp_stderr","niche_exp_p","niche_exp_varimp"
"Intercept",2.308,0.477629957369851,0,NA,4.691,0.114635810058987,0,NA,-11.129,1.44556035975762,0,NA,-1.566,1.21030360276193,0.198,NA,1.724,0.545572742544348,0.002,NA,5.022,0.700566318634048,0,NA,-7.121,0.422531244864423,0,NA,-4.025,0.929923090993539,0,NA
"Mass",NA,NA,NA,NA,-0.284,0.115391411155865,0.015,0.186,NA,NA,NA,NA,0.422,0.17250529878945,0.016,0.202,NA,NA,NA,NA,-0.179,0.101573312324814,0.081,0.084,-0.316,0.157834852414772,0.048,0.135,0.348,0.14525425141899,0.018,0.144
"Hand.Wing.Index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16,0.105901394341666,0.133,0.037,NA,NA,NA,NA,0.407,0.147689623761456,0.007,0.198
"Trophic.Level",NA,NA,NA,NA,NA,NA,NA,NA,0.498,0.252193419035958,0.051,0.129,-0.563,0.227251375700638,0.015,0.219,0.164,0.102352301331754,0.111,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Habitat.Density",-0.188,0.0763475860094003,0.015,0.655,NA,NA,NA,NA,0.403,0.230215698353075,0.083,0.082,NA,NA,NA,NA,-0.126,0.080581627737601,0.12,0.24,-0.17,0.121174639222633,0.165,0.047,0.439,0.190869668342443,0.023,0.225,-0.27,0.172472895317902,0.12,0.055
"Range.Size",0.128,0.0814911559221785,0.12,0.104,0.484,0.154154872025206,0.002,0.372,NA,NA,NA,NA,-0.433,0.227164618773704,0.059,0.099,NA,NA,NA,NA,0.186,0.130104249348518,0.156,0.042,NA,NA,NA,NA,-0.598,0.140936816157945,0,0.509
"Migration",-0.16,0.0775088942033323,0.042,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24,0.0882467983566805,0.008,0.193,-0.25,0.121048119003402,0.041,0.121,NA,NA,NA,NA,NA,NA,NA,NA
"Centroid.Latitude",1.693,0.689970979922579,0.016,0,NA,NA,NA,NA,5.334,2.07493260938335,0.012,0.233,-6.164,1.85596238684786,0.001,0.393,1.371,0.728663090639798,0.063,0,1.587,1.07930655907639,0.144,0.037,NA,NA,NA,NA,-2.941,1.53144838217382,0.057,0.093
"niche_breadth_zcor",0.293,0.0800746538929525,0,0.443,0.523,0.154087397700025,0.001,0.442,-0.748,0.194993705847836,0,0.556,-0.429,0.229165311665217,0.064,0.087,0.325,0.0646824314136126,0,0.601,0.556,0.131867350422593,0,0.633,-0.564,0.154467435999789,0,0.64,NA,NA,NA,NA
"R2",0.323,NA,NA,NA,0.389,NA,NA,NA,0.19,NA,NA,NA,0.32,NA,NA,NA,0.232,NA,NA,NA,0.44,NA,NA,NA,0.161,NA,NA,NA,0.271,NA,NA,NA
"lambda",0.23,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.209,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
