"species","stability","niche_breadth_zcor","niche_breadth_Z"
"Passer italiae",1,8.9760094750214,8.76903308604436
"Carduelis citrinella",0.99706139183306,8.61377528926248,8.394893439372
"Regulus ignicapilla",0.991718790901846,8.88072457615146,8.20109428780739
"Alectoris rufa",0.991589857484489,8.88834286910928,8.42078803651065
"Emberiza cirlus",0.986191443026989,8.67522205564115,8.15932179231957
"Milvus milvus",0.983712932380368,8.59452453435256,7.92782758812797
"Sylvia undata",0.981721025279388,9.11228643150079,8.82737244413495
"Anthus petrosus",0.978217333448653,8.93274063486591,8.57645617538236
"Certhia brachydactyla",0.966375778002529,8.97613587330255,8.31142666293632
"Sturnus unicolor",0.959837834747193,9.03348385461329,8.62415619288432
"Aquila adalberti",0.957095842697428,8.96226355411676,8.63869773038556
"Phylloscopus bonelli",0.948360493264238,8.85708813531495,8.40971376406582
"Lophophanes cristatus",0.947349348076246,8.79739737401206,7.92543515979882
"Hippolais olivetorum",0.941309221873349,8.86333283343959,8.45249061938831
"Hippolais polyglotta",0.936408821280885,8.81180122393875,8.4210597677082
"Serinus serinus",0.935454239254731,8.92132407651127,8.25730778618169
"Prunella modularis",0.933733679903469,8.75715452765661,7.90101759629567
"Acrocephalus paludicola",0.93087207032538,8.77121506237538,8.54689652371799
"Sylvia melanocephala",0.917208210806077,8.89206162554694,8.46037131726369
"Lullula arborea",0.91535226028135,8.81996090128606,8.02204590651024
"Cyanistes caeruleus",0.909378820919637,8.7268056084461,8.0164628870728
"Loxia pytyopsittacus",0.906953178966245,8.71686338654481,7.70497280559357
"Turdus torquatus",0.899483526925377,8.86644061952617,8.49016365651909
"Erithacus rubecula",0.884755937439725,8.816111895794,8.10221234518784
"Lanius senator",0.883904287840469,9.04746843900354,8.48662656911942
"Sylvia atricapilla",0.882453854925786,8.77183540978982,8.0401189600746
"Ciconia ciconia",0.864509436228036,8.82922635473185,8.13943359197606
"Anthus pratensis",0.862475875102008,8.80372460211062,7.81583685655028
"Alectoris graeca",0.861669545458874,8.83156587912106,8.1983784814948
"Ficedula albicollis",0.849591060966568,8.45765547870004,7.71518346042068
"Sylvia hortensis",0.845208062601774,8.80222174640246,8.41768506479303
"Caprimulgus ruficollis",0.842834761077663,8.8246778911642,8.40342672356924
"Emberiza calandra",0.842670158953605,8.94923531437485,8.16487212504237
"Acrocephalus palustris",0.838022001728719,8.72176535714501,7.94864847461642
"Oenanthe hispanica",0.827911606120885,8.97752520096524,8.34888319187187
"Columba palumbus",0.823718704164998,8.67265729404031,7.97684555179661
"Hippolais icterina",0.815696055417362,8.62962862074603,7.758990470348
"Linaria cannabina",0.807038607606859,8.51879191277993,7.76091928713458
"Sylvia borin",0.793009954201109,8.73568594451502,7.97970914703323
"Sylvia conspicillata",0.788134476409733,8.64664125860312,8.20310357853026
"Ficedula hypoleuca",0.786337760977986,8.62299361030245,7.72176515954262
"Saxicola rubetra",0.784179783331586,8.65799806800726,7.87393498678424
"Strix aluco",0.774697719570015,8.67812085552252,7.94414686071759
"Ficedula parva",0.772126806538782,8.71653573254449,7.76561261577244
"Emberiza melanocephala",0.770564822735973,8.88155848863897,8.3388673557594
"Carduelis carduelis",0.75897570547894,8.73552518573323,8.05276932588528
"Pluvialis apricaria",0.755654711266453,8.71555212590782,8.06533441362682
"Columba oenas",0.753609804680448,8.68270762989381,7.866979054866
"Pernis apivorus",0.750048826394224,8.64874763115654,7.7915502510576
"Poecile lugubris",0.732801082617265,8.91502927235991,8.40440130294755
"Buteo buteo",0.721339104805555,8.65014941866486,7.79961903313232
"Somateria mollissima",0.701760582729926,8.82849412946665,8.23336479574961
"Lanius collurio",0.699990950932788,8.42858053305963,7.57601300204794
"Locustella fluviatilis",0.69724361017271,8.82526595351575,8.18898030209776
"Branta leucopsis",0.695252346328381,8.52158353971753,8.18011341026926
"Turdus philomelos",0.69163396227454,8.5876516550648,7.69847003832549
"Falco eleonorae",0.688456629852753,8.64962397859673,8.20769694907629
"Luscinia megarhynchos",0.680653302701961,8.95982562386584,8.3045342437089
"Acrocephalus schoenobaenus",0.675276339777947,8.76201995356159,8.07878486654331
"Troglodytes troglodytes",0.674295920374764,8.77863395266279,8.06716665903047
"Turdus viscivorus",0.669479595561142,8.66630261400408,7.86362357546487
"Sylvia communis",0.664505377308005,8.68946441235669,7.97069953759875
"Emberiza cia",0.660473701112925,8.9621353900666,8.39443774023432
