"species","stability","niche_breadth_zcor","niche_breadth_Z"
"Accipiter cooperii",0.973875826698863,8.31898612539206,7.2402678546331
"Accipiter striatus",0.862013405711236,8.44074401925283,6.98274131584317
"Actitis macularius",0.943911641035065,8.00302866638473,6.35927972894976
"Aechmophorus occidentalis",0.897348605663308,8.24617155985756,7.09249884591818
"Aeronautes saxatalis",0.73996214946823,8.35514473946184,7.34568969727677
"Aimophila ruficeps",0.749444951586934,8.72664341559844,8.16849348948912
"Aix sponsa",0.988468701742608,8.57791192645094,7.59661871092486
"Ammodramus savannarum",0.955563929833628,8.14612951002541,6.97094261264651
"Amphispiza bilineata",0.838213553483881,8.39072252736229,7.62158925404316
"Anas acuta",0.953851534496021,8.37216741936598,6.79332075752123
"Anas platyrhynchos",0.929283174024113,8.71259548774872,7.10002706539986
"Anhinga anhinga",0.305238732038122,8.29779262638086,7.26173834812463
"Antigone canadensis",0.951604140954545,8.20001364817543,6.4699558239535
"Antrostomus carolinensis",0.999884482636922,8.87919392811032,8.32638630714029
"Antrostomus vociferus",0.989683822450513,8.72923534965927,8.09322252113733
"Aphelocoma californica",0.875233375271942,8.56197533418813,7.61568298989781
"Aphelocoma woodhouseii",0.875233375271942,8.56197533418813,7.61568298989781
"Aquila chrysaetos",0.865808078544502,8.34616759436413,6.52765486166671
"Archilochus alexandri",0.992630801398214,8.59044365315583,7.88202834044175
"Archilochus colubris",0.986086575646912,8.86446405527967,8.1646343405638
"Ardea alba",0.595643215753231,8.38160253710989,6.93598263371011
"Ardea herodias",0.921786495726745,8.33615081612066,6.79234309557503
"Artemisiospiza nevadensis",1,8.49637805170232,7.86381937842769
"Athene cunicularia",0.657011980294639,8.3845756668014,7.26330663319442
"Auriparus flaviceps",0.795537766884927,8.73552518573323,8.07636958473127
"Aythya affinis",0.880306306089377,8.14235427684983,6.75440708995032
"Aythya americana",0.960691187146544,8.45574322910002,7.22578762215056
"Aythya collaris",0.989534884997621,7.95822719232231,6.75102406985455
"Aythya valisineria",0.925370133449896,7.77401507725073,6.48665214211525
"Baeolophus bicolor",0.998704051408885,8.86021535890118,8.17561449518694
"Baeolophus ridgwayi",1,8.63070043220983,7.87644230652418
"Bartramia longicauda",0.98970517834811,8.32385113133882,7.58400479234407
"Bombycilla cedrorum",0.97040487890146,8.00001409367807,6.56221164293861
"Bonasa umbellus",0.943200489070264,8.3228800217699,6.79933942748078
"Botaurus lentiginosus",0.981042798453881,8.00636756765025,6.76526775620082
"Branta canadensis",0.946088934334242,8.23110984032816,6.67137651140844
"Bubo virginianus",0.863672430136448,8.17751582384608,6.61905412070565
"Bubulcus ibis",0.616798646393828,8.41094339157353,7.11782591775106
"Buteo jamaicensis",0.892298708221137,8.68355472863146,7.16898741448316
"Buteo lineatus",0.982333974962096,8.85907931788153,7.93899094870423
"Buteo platypterus",0.932426957959589,8.83477381421388,8.09881369047209
"Buteo regalis",0.998632431403612,8.23747928861363,7.15042515662632
"Buteo swainsoni",0.956424348921003,7.74022952476318,6.59524459541143
"Butorides virescens",0.584878101513729,8.5249629286806,7.29360564372934
